date,price
2023-08-18,17.682
2023-08-19,17.682
2023-08-20,17.682
2023-08-21,17.829
2023-08-22,18.01
2023-08-23,17.904
2023-08-24,17.743
2023-08-25,17.986
2023-08-26,17.986
2023-08-27,17.986
2023-08-28,18.202
2023-08-29,18.176
2023-08-30,18.214
2023-08-31,18.27
2023-09-01,18.4
2023-09-02,18.4
2023-09-03,18.4
2023-09-04,18.647
2023-09-05,18.563
2023-09-06,18.518
2023-09-07,18.053
2023-09-08,17.919
2023-09-09,17.919
2023-09-10,17.919
2023-09-11,17.966
2023-09-12,17.988
2023-09-13,17.7
2023-09-14,17.764
2023-09-15,17.593
2023-09-16,17.593
2023-09-17,17.593
2023-09-18,17.45
2023-09-19,17.354
2023-09-20,17.308
2023-09-21,17.007
2023-09-22,17.158
2023-09-23,17.158
2023-09-24,17.158
2023-09-25,16.952
2023-09-26,17.112
2023-09-27,17.107
2023-09-28,17.25
2023-09-29,17.28
2023-09-30,17.28
2023-10-01,17.28
2023-10-02,17.329
2023-10-03,17.36
2023-10-04,17.206
2023-10-05,17.258
2023-10-06,17.456
2023-10-07,17.456
2023-10-08,17.456
2023-10-09,17.395
2023-10-10,17.435
2023-10-11,17.47
2023-10-12,17.54
2023-10-13,17.395
2023-10-14,17.395
2023-10-15,17.395
2023-10-16,17.68
2023-10-17,17.61
2023-10-18,17.599
2023-10-19,17.515
2023-10-20,17.81
2023-10-21,17.81
2023-10-22,17.81
2023-10-23,17.797
2023-10-24,17.792
2023-10-25,17.669
2023-10-26,17.516
2023-10-27,17.475
2023-10-28,17.475
2023-10-29,17.475
2023-10-30,17.213
2023-10-31,17.035
2023-11-01,16.921
2023-11-02,16.575
2023-11-03,16.528
2023-11-04,16.528
2023-11-05,16.528
2023-11-06,16.726
2023-11-07,16.925
2023-11-08,16.827
2023-11-09,16.894
2023-11-10,16.924
2023-11-11,16.924
2023-11-12,16.924
2023-11-13,16.916
2023-11-14,16.633
2023-11-15,16.654
2023-11-16,16.476
2023-11-17,16.625
2023-11-18,16.625
2023-11-19,16.625
2023-11-20,16.522
2023-11-21,16.723
2023-11-22,16.82
2023-11-23,16.623
2023-11-24,16.698
2023-11-25,16.698
2023-11-26,16.698
2023-11-27,16.36
2023-11-28,16.3
2023-11-29,16.26
2023-11-30,16.16
2023-12-01,16.136
2023-12-02,16.136
2023-12-03,16.136
2023-12-04,16.0
2023-12-05,16.0
2023-12-06,15.8
2023-12-07,15.641
2023-12-08,15.783
2023-12-09,15.783
2023-12-10,15.783
2023-12-11,15.44
2023-12-12,15.299
2023-12-13,15.483
2023-12-14,15.34
2023-12-15,15.631
2023-12-16,15.631
2023-12-17,15.631
2023-12-18,15.416
2023-12-19,15.56
2023-12-20,15.9
2023-12-21,15.85
2023-12-22,16.082
2023-12-23,16.082
2023-12-24,16.082
2023-12-25,16.04
2023-12-26,16.045
2023-12-27,16.074
2023-12-28,0.0
2023-12-29,16.07
2023-12-30,16.07
2023-12-31,16.07
2024-01-01,16.07
2024-01-02,16.07
2024-01-03,16.287
2024-01-04,16.367
2024-01-05,16.3
2024-01-06,16.3
2024-01-07,16.3
2024-01-08,16.594
2024-01-09,16.486
2024-01-10,16.458
2024-01-11,16.81
2024-01-12,16.78
2024-01-13,16.78
2024-01-14,16.78
2024-01-15,16.881
2024-01-16,16.86
2024-01-17,17.01
2024-01-18,16.962
2024-01-19,16.931
2024-01-20,16.931
2024-01-21,16.931
2024-01-22,17.0
2024-01-23,17.198
2024-01-24,16.94
2024-01-25,16.944
2024-01-26,17.02
2024-01-27,17.02
2024-01-28,17.02
2024-01-29,17.057
2024-01-30,17.1
2024-01-31,17.149
2024-02-01,17.4
2024-02-02,17.277
2024-02-03,17.277
2024-02-04,17.277
2024-02-05,17.423
2024-02-06,17.433
2024-02-07,17.493
2024-02-08,17.556
2024-02-09,17.96
2024-02-10,17.96
2024-02-11,17.96
2024-02-12,17.79
2024-02-13,17.98
2024-02-14,18.2
2024-02-15,18.189
2024-02-16,18.13
2024-02-17,18.13
2024-02-18,18.13
2024-02-19,18.016
2024-02-20,17.689
2024-02-21,17.586
2024-02-22,17.507
2024-02-23,17.507
2024-02-24,17.507
2024-02-25,17.507
2024-02-26,18.09
2024-02-27,17.803
2024-02-28,18.049
2024-02-29,18.12
2024-03-01,18.372
2024-03-02,18.372
2024-03-03,18.372
2024-03-04,18.559
2024-03-05,18.526
2024-03-06,18.579
2024-03-07,0.0
2024-03-08,18.561
2024-03-09,18.561
2024-03-10,18.561
2024-03-11,18.639
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,19.482
2024-03-16,19.482
2024-03-17,19.482
2024-03-18,19.55
2024-03-19,19.573
2024-03-20,19.46
2024-03-21,20.2
2024-03-22,20.1
2024-03-23,20.1
2024-03-24,20.1
2024-03-25,20.552
2024-03-26,20.749
2024-03-27,21.9
2024-03-28,21.9
2024-03-29,22.48
2024-03-30,22.48
2024-03-31,22.48
2024-04-01,23.95
2024-04-02,23.91
2024-04-03,24.226
2024-04-04,24.18
2024-04-05,23.998
2024-04-06,23.998
2024-04-07,23.998
2024-04-08,25.47
2024-04-09,23.85
2024-04-10,23.539
2024-04-11,23.3
2024-04-12,23.62
2024-04-13,23.62
2024-04-14,23.62
2024-04-15,23.851
2024-04-16,24.3
2024-04-17,25.523
2024-04-18,25.408
2024-04-19,25.408
2024-04-20,25.408
2024-04-21,25.408
2024-04-22,26.726
2024-04-23,26.624
2024-04-24,25.75
2024-04-25,25.731
2024-04-26,25.73
2024-04-27,25.849
2024-04-28,25.849
2024-04-29,26.22
2024-04-30,25.7
2024-05-01,25.7
2024-05-02,25.32
2024-05-03,25.825
2024-05-04,25.825
2024-05-05,25.825
2024-05-06,25.766
