date,price
2023-08-25,44.36
2023-08-26,44.36
2023-08-27,44.36
2023-08-28,44.96
2023-08-29,44.15
2023-08-30,44.11
2023-08-31,44.0
2023-09-01,44.06
2023-09-02,44.06
2023-09-03,44.06
2023-09-04,44.07
2023-09-05,43.99
2023-09-06,43.71
2023-09-07,42.41
2023-09-08,41.52
2023-09-09,41.52
2023-09-10,41.52
2023-09-11,41.73
2023-09-12,42.34
2023-09-13,41.93
2023-09-14,41.62
2023-09-15,41.43
2023-09-16,41.43
2023-09-17,41.43
2023-09-18,41.08
2023-09-19,40.37
2023-09-20,40.33
2023-09-21,39.61
2023-09-22,41.06
2023-09-23,41.06
2023-09-24,41.06
2023-09-25,40.37
2023-09-26,40.2
2023-09-27,41.2
2023-09-28,41.13
2023-09-29,41.41
2023-09-30,41.41
2023-10-01,41.41
2023-10-02,41.29
2023-10-03,40.74
2023-10-04,40.67
2023-10-05,40.49
2023-10-06,40.45
2023-10-07,40.45
2023-10-08,40.45
2023-10-09,40.41
2023-10-10,40.74
2023-10-11,40.77
2023-10-12,40.25
2023-10-13,40.39
2023-10-14,40.39
2023-10-15,40.39
2023-10-16,41.19
2023-10-17,40.98
2023-10-18,40.86
2023-10-19,40.83
2023-10-20,40.61
2023-10-21,40.61
2023-10-22,40.61
2023-10-23,41.02
2023-10-24,40.8
2023-10-25,40.89
2023-10-26,40.03
2023-10-27,40.22
2023-10-28,40.22
2023-10-29,40.22
2023-10-30,39.88
2023-10-31,39.43
2023-11-01,39.2
2023-11-02,39.05
2023-11-03,39.04
2023-11-04,39.04
2023-11-05,39.04
2023-11-06,39.6
2023-11-07,39.88
2023-11-08,39.95
2023-11-09,39.47
2023-11-10,39.15
2023-11-11,39.15
2023-11-12,39.15
2023-11-13,38.92
2023-11-14,38.1
2023-11-15,38.54
2023-11-16,38.5
2023-11-17,38.51
2023-11-18,38.51
2023-11-19,38.51
2023-11-20,38.39
2023-11-21,38.8
2023-11-22,38.61
2023-11-23,38.66
2023-11-24,38.22
2023-11-25,38.22
2023-11-26,38.22
2023-11-27,37.96
2023-11-28,37.22
2023-11-29,36.7
2023-11-30,36.36
2023-12-01,36.3
2023-12-02,36.3
2023-12-03,36.3
2023-12-04,36.05
2023-12-05,35.95
2023-12-06,35.39
2023-12-07,35.15
2023-12-08,35.2
2023-12-09,35.2
2023-12-10,35.2
2023-12-11,35.01
2023-12-12,35.58
2023-12-13,35.3
2023-12-14,35.68
