date,price
2023-08-25,85.19
2023-08-26,85.19
2023-08-27,85.19
2023-08-28,85.21
2023-08-29,82.84
2023-08-30,82.14
2023-08-31,81.3
2023-09-01,82.0
2023-09-02,82.0
2023-09-03,82.0
2023-09-04,82.92
2023-09-05,82.4
2023-09-06,81.9
2023-09-07,80.13
2023-09-08,79.49
2023-09-09,79.49
2023-09-10,79.49
2023-09-11,78.84
2023-09-12,79.26
2023-09-13,79.0
2023-09-14,78.7
2023-09-15,77.35
2023-09-16,77.35
2023-09-17,77.35
2023-09-18,75.92
2023-09-19,74.49
2023-09-20,72.9
2023-09-21,70.27
2023-09-22,72.0
2023-09-23,72.0
2023-09-24,72.0
2023-09-25,71.87
2023-09-26,72.33
2023-09-27,73.07
2023-09-28,73.32
2023-09-29,73.37
2023-09-30,73.37
2023-10-01,73.37
2023-10-02,72.7
2023-10-03,73.96
2023-10-04,73.72
2023-10-05,73.66
2023-10-06,74.2
2023-10-07,74.2
2023-10-08,74.2
2023-10-09,74.51
2023-10-10,76.94
2023-10-11,76.71
2023-10-12,76.5
2023-10-13,76.68
2023-10-14,76.68
2023-10-15,76.68
2023-10-16,77.01
2023-10-17,77.03
2023-10-18,73.12
2023-10-19,72.42
2023-10-20,71.97
2023-10-21,71.97
2023-10-22,71.97
2023-10-23,72.51
2023-10-24,72.39
2023-10-25,71.67
2023-10-26,70.57
2023-10-27,70.71
2023-10-28,70.71
2023-10-29,70.71
2023-10-30,70.15
2023-10-31,69.99
2023-11-01,70.24
2023-11-02,70.53
2023-11-03,70.12
2023-11-04,70.12
2023-11-05,70.12
2023-11-06,70.18
2023-11-07,70.54
2023-11-08,71.31
2023-11-09,71.0
2023-11-10,70.73
2023-11-11,70.73
2023-11-12,70.73
2023-11-13,70.68
2023-11-14,68.2
2023-11-15,68.63
2023-11-16,67.5
2023-11-17,66.68
2023-11-18,66.68
2023-11-19,66.68
2023-11-20,66.31
2023-11-21,66.84
2023-11-22,66.64
2023-11-23,66.31
2023-11-24,66.18
2023-11-25,66.18
2023-11-26,66.18
2023-11-27,65.77
2023-11-28,65.97
2023-11-29,66.86
2023-11-30,65.26
2023-12-01,65.0
2023-12-02,65.0
2023-12-03,65.0
2023-12-04,65.75
2023-12-05,66.2
2023-12-06,65.7
2023-12-07,67.45
2023-12-08,70.69
2023-12-09,70.69
2023-12-10,70.69
2023-12-11,70.11
2023-12-12,72.07
2023-12-13,71.54
2023-12-14,70.8
2023-12-15,71.25
2023-12-16,71.25
2023-12-17,71.25
2023-12-18,71.86
2023-12-19,72.37
2023-12-20,72.19
2023-12-21,71.52
2023-12-22,70.95
2023-12-23,70.95
2023-12-24,70.95
2023-12-25,70.1
2023-12-26,69.7
2023-12-27,69.9
2023-12-28,0.0
2023-12-29,69.63
2023-12-30,69.63
2023-12-31,69.63
2024-01-01,69.63
2024-01-02,69.63
2024-01-03,69.96
2024-01-04,70.89
2024-01-05,71.27
2024-01-06,71.27
2024-01-07,71.27
2024-01-08,71.18
2024-01-09,71.57
2024-01-10,71.6
2024-01-11,71.95
2024-01-12,73.28
2024-01-13,73.28
2024-01-14,73.28
2024-01-15,75.35
2024-01-16,73.93
2024-01-17,73.24
2024-01-18,72.74
2024-01-19,72.99
2024-01-20,72.99
2024-01-21,72.99
2024-01-22,72.68
2024-01-23,71.86
2024-01-24,70.72
2024-01-25,71.35
2024-01-26,71.18
2024-01-27,71.18
2024-01-28,71.18
2024-01-29,70.44
2024-01-30,71.2
2024-01-31,71.5
2024-02-01,70.98
2024-02-02,71.0
2024-02-03,71.0
2024-02-04,71.0
2024-02-05,70.84
2024-02-06,70.96
2024-02-07,70.55
2024-02-08,69.8
2024-02-09,69.23
2024-02-10,69.23
2024-02-11,69.23
2024-02-12,68.15
2024-02-13,68.07
2024-02-14,68.51
2024-02-15,68.4
2024-02-16,68.4
2024-02-17,68.4
2024-02-18,68.4
2024-02-19,69.43
2024-02-20,70.41
2024-02-21,69.81
2024-02-22,70.28
2024-02-23,70.28
2024-02-24,70.28
2024-02-25,70.28
2024-02-26,71.15
2024-02-27,72.48
2024-02-28,71.69
2024-02-29,71.38
2024-03-01,72.37
2024-03-02,72.37
2024-03-03,72.37
2024-03-04,73.13
2024-03-05,73.45
2024-03-06,74.38
2024-03-07,0.0
2024-03-08,74.45
2024-03-09,74.45
2024-03-10,74.45
2024-03-11,74.77
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,73.81
2024-03-16,73.81
2024-03-17,73.81
2024-03-18,74.5
2024-03-19,74.45
2024-03-20,76.98
2024-03-21,76.2
2024-03-22,77.0
2024-03-23,77.0
2024-03-24,77.0
2024-03-25,75.92
2024-03-26,76.5
2024-03-27,77.11
2024-03-28,78.13
2024-03-29,79.09
2024-03-30,79.09
2024-03-31,79.09
2024-04-01,79.0
2024-04-02,79.86
2024-04-03,78.95
2024-04-04,78.59
2024-04-05,77.71
2024-04-06,77.71
2024-04-07,77.71
2024-04-08,77.88
2024-04-09,76.7
2024-04-10,77.02
2024-04-11,76.8
2024-04-12,77.08
2024-04-13,77.08
2024-04-14,77.08
2024-04-15,76.84
2024-04-16,76.8
2024-04-17,76.09
2024-04-18,75.55
2024-04-19,76.44
2024-04-20,76.44
2024-04-21,76.44
2024-04-22,77.21
2024-04-23,76.43
2024-04-24,75.98
2024-04-25,75.86
2024-04-26,76.7
2024-04-27,76.96
2024-04-28,76.96
2024-04-29,76.86
2024-04-30,76.78
2024-05-01,76.78
2024-05-02,78.2
2024-05-03,78.12
2024-05-04,78.12
2024-05-05,78.12
2024-05-06,77.31
2024-05-07,77.2
2024-05-08,77.7
2024-05-09,77.7
2024-05-10,77.89
2024-05-11,77.89
2024-05-12,77.89
2024-05-13,79.1
2024-05-14,79.02
2024-05-15,78.98
2024-05-16,80.0
2024-05-17,80.47
2024-05-18,80.47
2024-05-19,80.47
2024-05-20,81.15
2024-05-21,80.85
2024-05-22,81.25
2024-05-23,81.61
2024-05-24,80.79
2024-05-25,80.79
2024-05-26,80.79
2024-05-27,79.1
2024-05-28,80.4
2024-05-29,79.71
2024-05-30,78.85
2024-05-31,75.51
2024-06-01,75.51
2024-06-02,75.51
2024-06-03,74.25
2024-06-04,74.8
2024-06-05,74.31
2024-06-06,73.6
2024-06-07,74.43
2024-06-08,74.43
2024-06-09,74.43
2024-06-10,73.5
2024-06-11,74.76
2024-06-12,74.76
2024-06-13,73.75
2024-06-14,74.6
2024-06-15,74.6
2024-06-16,74.6
2024-06-17,72.36
2024-06-18,71.68
2024-06-19,69.2
2024-06-20,72.27
2024-06-21,71.55
2024-06-22,71.55
2024-06-23,71.55
2024-06-24,72.11
2024-06-25,72.15
2024-06-26,71.46
2024-06-27,71.12
2024-06-28,71.16
2024-06-29,71.16
2024-06-30,71.16
2024-07-01,72.19
2024-07-02,71.22
2024-07-03,70.7
2024-07-04,69.78
2024-07-05,69.74
2024-07-06,69.74
2024-07-07,69.74
2024-07-08,69.16
2024-07-09,68.2
2024-07-10,66.3
2024-07-11,66.05
2024-07-12,64.8
2024-07-13,64.8
2024-07-14,64.8
2024-07-15,62.17
2024-07-16,62.29
2024-07-17,61.12
2024-07-18,62.94
2024-07-19,62.8
2024-07-20,62.8
2024-07-21,62.8
2024-07-22,63.45
2024-07-23,63.67
2024-07-24,63.94
2024-07-25,63.37
2024-07-26,61.09
2024-07-27,61.09
2024-07-28,61.09
2024-07-29,59.97
2024-07-30,60.69
2024-07-31,60.76
2024-08-01,60.99
2024-08-02,60.21
2024-08-03,60.21
2024-08-04,60.21
2024-08-05,59.29
2024-08-06,59.62
2024-08-07,60.72
2024-08-08,61.03
2024-08-09,60.76
2024-08-10,60.76
2024-08-11,60.76
2024-08-12,59.32
2024-08-13,59.62
2024-08-14,59.0
2024-08-15,58.82
2024-08-16,58.54
2024-08-17,58.54
2024-08-18,58.54
2024-08-19,57.31
2024-08-20,55.7
2024-08-21,55.33
2024-08-22,53.3
2024-08-23,53.3
2024-08-24,53.3
2024-08-25,53.3
2024-08-26,54.28
2024-08-27,52.12
2024-08-28,51.35
2024-08-29,51.83
2024-08-30,50.84
2024-08-31,50.84
2024-09-01,50.84
2024-09-02,46.09
2024-09-03,46.44
2024-09-04,49.12
2024-09-05,49.39
2024-09-06,49.53
2024-09-07,49.53
2024-09-08,49.53
2024-09-09,49.88
2024-09-10,50.04
2024-09-11,49.0
2024-09-12,48.37
2024-09-13,49.57
2024-09-14,49.57
2024-09-15,49.57
2024-09-16,51.5
2024-09-17,52.9
2024-09-18,52.02
2024-09-19,52.77
2024-09-20,52.77
2024-09-21,52.77
2024-09-22,52.77
2024-09-23,52.8
2024-09-24,55.44
2024-09-25,54.7
2024-09-26,54.5
2024-09-27,55.31
2024-09-28,55.31
2024-09-29,55.31
2024-09-30,54.27
2024-10-01,54.49
2024-10-02,53.62
2024-10-03,54.0
2024-10-04,54.63
2024-10-05,54.63
2024-10-06,54.63
2024-10-07,53.84
2024-10-08,53.81
2024-10-09,53.84
2024-10-10,53.81
2024-10-11,53.28
2024-10-12,53.28
2024-10-13,53.28
2024-10-14,54.82
2024-10-15,55.55
2024-10-16,54.88
2024-10-17,54.15
2024-10-18,51.75
2024-10-19,51.75
2024-10-20,51.75
2024-10-21,52.08
2024-10-22,50.64
2024-10-23,50.7
2024-10-24,49.98
2024-10-25,48.98
2024-10-26,48.98
2024-10-27,48.98
2024-10-28,46.82
2024-10-29,47.58
2024-10-30,47.5
2024-10-31,46.65
2024-11-01,48.27
2024-11-02,47.9
2024-11-03,47.9
2024-11-04,47.9
2024-11-05,48.4
2024-11-06,50.72
2024-11-07,51.38
2024-11-08,52.16
2024-11-09,52.16
2024-11-10,52.16
2024-11-11,53.1
2024-11-12,52.37
2024-11-13,52.36
2024-11-14,50.87
2024-11-15,52.85
2024-11-16,52.85
2024-11-17,52.85
2024-11-18,52.61
2024-11-19,50.55
2024-11-20,50.02
2024-11-21,48.86
2024-11-22,49.26
2024-11-23,49.26
2024-11-24,49.26
2024-11-25,46.82
2024-11-26,46.18
2024-11-27,47.8
2024-11-28,49.67
2024-11-29,49.99
2024-11-30,49.99
2024-12-01,49.99
2024-12-02,49.14
2024-12-03,47.73
2024-12-04,47.4
2024-12-05,47.86
2024-12-06,49.5
2024-12-07,49.5
2024-12-08,49.5
2024-12-09,49.5
2024-12-10,47.88
2024-12-11,47.68
2024-12-12,47.45
2024-12-13,46.96
2024-12-14,46.96
2024-12-15,46.96
2024-12-16,45.22
2024-12-17,45.32
2024-12-18,45.78
2024-12-19,46.29
2024-12-20,50.77
2024-12-21,50.77
2024-12-22,50.77
2024-12-23,52.3
2024-12-24,52.75
2024-12-25,52.95
2024-12-26,54.57
2024-12-27,54.76
2024-12-28,56.19
2024-12-29,56.19
2024-12-30,57.6
2024-12-31,57.6
2025-01-01,57.6
2025-01-02,57.6
2025-01-03,55.82
2025-01-04,55.82
2025-01-05,55.82
2025-01-06,55.17
2025-01-07,55.17
2025-01-08,56.39
2025-01-09,54.95
2025-01-10,56.71
2025-01-11,56.71
2025-01-12,56.71
2025-01-13,58.25
2025-01-14,57.94
2025-01-15,57.23
2025-01-16,58.84
2025-01-17,58.46
2025-01-18,58.46
2025-01-19,58.46
2025-01-20,56.87
2025-01-21,56.46
2025-01-22,56.96
2025-01-23,54.99
2025-01-24,55.16
2025-01-25,55.16
2025-01-26,55.16
2025-01-27,54.78
2025-01-28,55.29
2025-01-29,55.4
2025-01-30,57.0
2025-01-31,56.72
2025-02-01,56.72
2025-02-02,56.72
2025-02-03,55.5
2025-02-04,54.87
2025-02-05,56.39
2025-02-06,56.92
2025-02-07,56.79
2025-02-08,56.79
2025-02-09,56.79
2025-02-10,58.24
2025-02-11,58.0
2025-02-12,57.8
2025-02-13,61.53
2025-02-14,60.68
2025-02-15,60.68
2025-02-16,60.68
2025-02-17,63.73
2025-02-18,61.87
2025-02-19,62.34
2025-02-20,62.68
2025-02-21,62.5
2025-02-22,62.5
2025-02-23,62.5
2025-02-24,62.92
2025-02-25,63.0
2025-02-26,62.44
2025-02-27,61.6
2025-02-28,60.42
2025-03-01,60.42
2025-03-02,60.42
2025-03-03,59.93
