date,price
2023-08-24,800.5
2023-08-25,804.0
2023-08-26,804.0
2023-08-27,804.0
2023-08-28,829.0
2023-08-29,916.0
2023-08-30,1050.0
2023-08-31,995.0
2023-09-01,1005.5
2023-09-02,1005.5
2023-09-03,1005.5
2023-09-04,1014.5
2023-09-05,1003.5
2023-09-06,1026.5
2023-09-07,969.5
2023-09-08,1000.0
2023-09-09,1000.0
2023-09-10,1000.0
2023-09-11,1004.0
2023-09-12,995.0
2023-09-13,992.0
2023-09-14,972.5
2023-09-15,982.5
2023-09-16,982.5
2023-09-17,982.5
2023-09-18,986.5
2023-09-19,957.0
2023-09-20,951.0
2023-09-21,924.0
2023-09-22,893.0
2023-09-23,893.0
2023-09-24,893.0
2023-09-25,885.0
2023-09-26,903.0
2023-09-27,968.0
2023-09-28,951.5
2023-09-29,948.5
2023-09-30,948.5
2023-10-01,948.5
2023-10-02,965.5
2023-10-03,962.5
2023-10-04,955.0
2023-10-05,958.0
2023-10-06,950.0
2023-10-07,950.0
2023-10-08,950.0
2023-10-09,954.0
2023-10-10,957.0
2023-10-11,979.0
2023-10-12,996.0
2023-10-13,1022.5
2023-10-14,1022.5
2023-10-15,1022.5
2023-10-16,1010.5
2023-10-17,1002.5
2023-10-18,1005.5
2023-10-19,1003.5
2023-10-20,966.0
2023-10-21,966.0
2023-10-22,966.0
2023-10-23,971.5
2023-10-24,1004.0
2023-10-25,1004.0
2023-10-26,984.0
2023-10-27,971.0
2023-10-28,971.0
2023-10-29,971.0
2023-10-30,994.0
2023-10-31,978.5
2023-11-01,986.0
2023-11-02,986.0
2023-11-03,976.5
2023-11-04,976.5
2023-11-05,976.5
2023-11-06,990.5
2023-11-07,994.0
2023-11-08,1007.0
2023-11-09,994.0
2023-11-10,1000.0
2023-11-11,1000.0
2023-11-12,1000.0
2023-11-13,988.0
2023-11-14,956.0
2023-11-15,964.0
2023-11-16,948.5
2023-11-17,953.0
2023-11-18,953.0
2023-11-19,953.0
2023-11-20,947.0
2023-11-21,959.0
2023-11-22,968.5
2023-11-23,946.0
2023-11-24,943.5
2023-11-25,943.5
2023-11-26,943.5
2023-11-27,951.0
2023-11-28,940.0
2023-11-29,901.5
2023-11-30,888.0
2023-12-01,874.0
2023-12-02,874.0
2023-12-03,874.0
2023-12-04,833.5
2023-12-05,843.5
2023-12-06,847.5
2023-12-07,828.0
2023-12-08,812.5
2023-12-09,812.5
2023-12-10,812.5
2023-12-11,788.5
2023-12-12,779.0
2023-12-13,778.0
2023-12-14,763.5
2023-12-15,785.0
2023-12-16,785.0
2023-12-17,785.0
2023-12-18,853.0
2023-12-19,852.5
2023-12-20,864.0
2023-12-21,850.5
2023-12-22,846.5
2023-12-23,846.5
2023-12-24,846.5
2023-12-25,856.5
2023-12-26,844.0
2023-12-27,833.0
2023-12-28,0.0
2023-12-29,851.5
2023-12-30,851.5
2023-12-31,851.5
2024-01-01,851.5
2024-01-02,851.5
2024-01-03,868.5
2024-01-04,892.0
2024-01-05,887.5
2024-01-06,887.5
2024-01-07,887.5
2024-01-08,897.5
2024-01-09,894.0
2024-01-10,911.5
2024-01-11,906.5
2024-01-12,904.0
2024-01-13,904.0
2024-01-14,904.0
2024-01-15,905.0
2024-01-16,907.0
2024-01-17,907.0
2024-01-18,923.0
2024-01-19,906.0
2024-01-20,906.0
2024-01-21,906.0
2024-01-22,901.0
2024-01-23,899.5
2024-01-24,903.5
2024-01-25,895.0
2024-01-26,890.5
2024-01-27,890.5
2024-01-28,890.5
2024-01-29,894.5
2024-01-30,898.0
2024-01-31,897.0
2024-02-01,898.5
2024-02-02,891.0
2024-02-03,891.0
2024-02-04,891.0
2024-02-05,889.0
2024-02-06,888.5
2024-02-07,889.5
2024-02-08,880.5
2024-02-09,879.0
2024-02-10,879.0
2024-02-11,879.0
2024-02-12,890.0
2024-02-13,894.0
2024-02-14,892.0
2024-02-15,890.0
2024-02-16,883.0
2024-02-17,883.0
2024-02-18,883.0
2024-02-19,888.5
2024-02-20,884.0
2024-02-21,864.0
2024-02-22,865.0
2024-02-23,865.0
2024-02-24,865.0
2024-02-25,865.0
2024-02-26,882.0
2024-02-27,879.5
2024-02-28,902.0
2024-02-29,900.0
2024-03-01,892.0
2024-03-02,892.0
2024-03-03,892.0
2024-03-04,899.0
2024-03-05,894.0
2024-03-06,906.0
2024-03-07,0.0
2024-03-08,902.0
2024-03-09,902.0
2024-03-10,902.0
2024-03-11,901.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,881.5
2024-03-16,881.5
2024-03-17,881.5
2024-03-18,903.0
2024-03-19,893.0
2024-03-20,899.0
2024-03-21,905.5
2024-03-22,895.5
2024-03-23,895.5
2024-03-24,895.5
2024-03-25,896.5
2024-03-26,905.0
2024-03-27,906.0
2024-03-28,908.5
2024-03-29,916.0
2024-03-30,916.0
2024-03-31,916.0
2024-04-01,949.5
2024-04-02,948.0
2024-04-03,956.5
2024-04-04,948.0
2024-04-05,944.5
2024-04-06,944.5
2024-04-07,944.5
2024-04-08,930.0
2024-04-09,914.0
2024-04-10,916.5
2024-04-11,925.0
2024-04-12,924.0
2024-04-13,924.0
2024-04-14,924.0
2024-04-15,921.5
2024-04-16,925.0
2024-04-17,920.0
2024-04-18,918.0
2024-04-19,919.0
2024-04-20,919.0
2024-04-21,919.0
2024-04-22,910.5
2024-04-23,900.0
2024-04-24,899.0
2024-04-25,895.0
2024-04-26,903.0
2024-04-27,905.0
2024-04-28,905.0
2024-04-29,892.0
2024-04-30,892.5
2024-05-01,892.5
2024-05-02,887.0
2024-05-03,915.0
2024-05-04,915.0
2024-05-05,915.0
2024-05-06,905.5
2024-05-07,907.0
2024-05-08,906.5
2024-05-09,906.5
2024-05-10,906.5
2024-05-11,906.5
2024-05-12,906.5
2024-05-13,906.5
2024-05-14,901.5
2024-05-15,901.0
2024-05-16,900.0
2024-05-17,901.0
2024-05-18,901.0
2024-05-19,901.0
2024-05-20,890.0
2024-05-21,891.0
2024-05-22,888.5
2024-05-23,891.0
2024-05-24,879.0
2024-05-25,879.0
2024-05-26,879.0
2024-05-27,842.5
2024-05-28,863.0
2024-05-29,868.0
2024-05-30,865.5
2024-05-31,820.5
2024-06-01,820.5
2024-06-02,820.5
2024-06-03,824.0
2024-06-04,848.5
2024-06-05,863.0
2024-06-06,851.5
2024-06-07,863.0
2024-06-08,863.0
2024-06-09,863.0
2024-06-10,841.0
2024-06-11,831.5
2024-06-12,831.5
2024-06-13,843.5
2024-06-14,852.0
2024-06-15,852.0
2024-06-16,852.0
2024-06-17,844.0
2024-06-18,822.5
2024-06-19,799.0
2024-06-20,820.0
2024-06-21,822.0
2024-06-22,822.0
2024-06-23,822.0
2024-06-24,817.0
2024-06-25,830.5
2024-06-26,845.5
2024-06-27,834.0
2024-06-28,842.0
2024-06-29,842.0
2024-06-30,842.0
2024-07-01,844.0
2024-07-02,842.0
2024-07-03,837.0
2024-07-04,836.0
2024-07-05,831.5
2024-07-06,831.5
2024-07-07,831.5
2024-07-08,812.0
2024-07-09,784.0
2024-07-10,743.0
2024-07-11,781.0
2024-07-12,788.0
2024-07-13,788.0
2024-07-14,788.0
2024-07-15,767.0
2024-07-16,760.0
2024-07-17,764.0
2024-07-18,806.0
2024-07-19,807.0
2024-07-20,807.0
2024-07-21,807.0
2024-07-22,809.0
2024-07-23,817.0
2024-07-24,824.5
2024-07-25,825.0
2024-07-26,808.5
2024-07-27,808.5
2024-07-28,808.5
2024-07-29,767.0
2024-07-30,777.5
2024-07-31,779.0
2024-08-01,783.5
2024-08-02,778.0
2024-08-03,778.0
2024-08-04,778.0
2024-08-05,753.0
2024-08-06,752.0
2024-08-07,761.5
2024-08-08,759.0
2024-08-09,755.0
2024-08-10,755.0
2024-08-11,755.0
2024-08-12,746.0
2024-08-13,759.0
2024-08-14,762.0
2024-08-15,753.0
2024-08-16,757.0
2024-08-17,757.0
2024-08-18,757.0
2024-08-19,740.5
2024-08-20,744.5
2024-08-21,724.0
2024-08-22,707.0
2024-08-23,682.0
2024-08-24,682.0
2024-08-25,682.0
2024-08-26,702.0
2024-08-27,699.0
2024-08-28,685.5
2024-08-29,671.5
2024-08-30,637.0
2024-08-31,637.0
2024-09-01,637.0
2024-09-02,548.0
2024-09-03,567.0
2024-09-04,604.0
2024-09-05,623.5
2024-09-06,616.5
2024-09-07,616.5
2024-09-08,616.5
2024-09-09,638.5
2024-09-10,632.5
2024-09-11,630.0
2024-09-12,607.0
2024-09-13,624.0
2024-09-14,624.0
2024-09-15,624.0
2024-09-16,638.0
2024-09-17,638.5
2024-09-18,625.0
2024-09-19,623.5
2024-09-20,633.0
2024-09-21,633.0
2024-09-22,633.0
2024-09-23,675.5
2024-09-24,665.0
2024-09-25,647.0
2024-09-26,637.5
2024-09-27,652.0
2024-09-28,652.0
2024-09-29,652.0
2024-09-30,664.0
2024-10-01,658.0
2024-10-02,640.0
2024-10-03,630.0
2024-10-04,624.0
2024-10-05,624.0
2024-10-06,624.0
2024-10-07,611.5
2024-10-08,615.5
2024-10-09,610.5
2024-10-10,612.5
2024-10-11,610.0
2024-10-12,610.0
2024-10-13,610.0
2024-10-14,612.5
2024-10-15,614.5
2024-10-16,620.0
2024-10-17,613.0
2024-10-18,610.5
2024-10-19,610.5
2024-10-20,610.5
2024-10-21,612.5
2024-10-22,610.0
2024-10-23,608.5
2024-10-24,598.5
2024-10-25,590.5
2024-10-26,590.5
2024-10-27,590.5
2024-10-28,570.0
2024-10-29,576.0
2024-10-30,584.5
2024-10-31,571.0
2024-11-01,571.0
2024-11-02,577.5
2024-11-03,577.5
2024-11-04,577.5
2024-11-05,586.0
2024-11-06,587.5
2024-11-07,597.0
2024-11-08,606.0
2024-11-09,606.0
2024-11-10,606.0
2024-11-11,613.0
2024-11-12,597.5
2024-11-13,598.0
2024-11-14,588.5
2024-11-15,595.0
2024-11-16,595.0
2024-11-17,595.0
2024-11-18,601.5
2024-11-19,593.0
2024-11-20,586.0
2024-11-21,588.0
2024-11-22,596.0
2024-11-23,596.0
2024-11-24,596.0
2024-11-25,584.0
2024-11-26,560.5
2024-11-27,582.0
2024-11-28,606.0
2024-11-29,612.0
2024-11-30,612.0
2024-12-01,612.0
2024-12-02,592.0
2024-12-03,581.5
2024-12-04,564.0
2024-12-05,558.0
2024-12-06,567.0
2024-12-07,567.0
2024-12-08,567.0
2024-12-09,566.0
2024-12-10,547.0
2024-12-11,543.0
2024-12-12,537.0
2024-12-13,536.0
2024-12-14,536.0
2024-12-15,536.0
2024-12-16,527.5
2024-12-17,527.5
2024-12-18,535.0
2024-12-19,553.0
2024-12-20,575.5
2024-12-21,575.5
2024-12-22,575.5
2024-12-23,576.0
2024-12-24,567.0
2024-12-25,567.0
2024-12-26,581.5
2024-12-27,571.5
2024-12-28,592.0
2024-12-29,592.0
2024-12-30,604.0
2024-12-31,604.0
2025-01-01,604.0
2025-01-02,604.0
2025-01-03,605.5
2025-01-04,605.5
2025-01-05,605.5
2025-01-06,603.5
2025-01-07,603.5
2025-01-08,610.0
2025-01-09,595.5
2025-01-10,605.5
2025-01-11,605.5
2025-01-12,605.5
2025-01-13,609.0
2025-01-14,609.0
2025-01-15,609.0
2025-01-16,630.0
2025-01-17,639.5
2025-01-18,639.5
2025-01-19,639.5
2025-01-20,651.0
2025-01-21,638.0
2025-01-22,644.0
2025-01-23,642.5
