date,price
2023-10-20,480.75
2023-10-21,480.75
2023-10-22,480.75
2023-10-23,497.7
2023-10-24,501.0
2023-10-25,505.5
2023-10-26,503.45
2023-10-27,499.1
2023-10-28,499.1
2023-10-29,499.1
2023-10-30,491.0
2023-10-31,488.0
2023-11-01,493.25
2023-11-02,490.5
2023-11-03,496.0
2023-11-04,496.0
2023-11-05,496.0
2023-11-06,516.95
2023-11-07,515.15
2023-11-08,510.25
2023-11-09,505.75
2023-11-10,502.75
2023-11-11,502.75
2023-11-12,502.75
2023-11-13,501.3
2023-11-14,500.5
2023-11-15,504.0
2023-11-16,511.65
2023-11-17,530.45
2023-11-18,530.45
2023-11-19,530.45
2023-11-20,515.0
2023-11-21,514.35
2023-11-22,512.5
2023-11-23,509.6
2023-11-24,505.85
2023-11-25,505.85
2023-11-26,505.85
2023-11-27,492.75
2023-11-28,485.75
2023-11-29,487.9
2023-11-30,481.3
2023-12-01,473.0
2023-12-02,473.0
2023-12-03,473.0
2023-12-04,468.2
2023-12-05,469.35
2023-12-06,463.0
2023-12-07,464.2
2023-12-08,461.1
2023-12-09,461.1
2023-12-10,461.1
2023-12-11,451.0
2023-12-12,447.95
2023-12-13,462.75
2023-12-14,470.35
2023-12-15,477.7
2023-12-16,477.7
2023-12-17,477.7
2023-12-18,488.9
2023-12-19,493.2
2023-12-20,518.4
2023-12-21,509.0
2023-12-22,515.5
2023-12-23,515.5
2023-12-24,515.5
2023-12-25,518.6
2023-12-26,508.2
2023-12-27,500.75
2023-12-28,0.0
2023-12-29,500.15
2023-12-30,500.15
2023-12-31,500.15
2024-01-01,500.15
2024-01-02,500.15
2024-01-03,512.35
2024-01-04,510.7
2024-01-05,512.0
2024-01-06,512.0
2024-01-07,512.0
2024-01-08,517.6
2024-01-09,529.7
2024-01-10,531.1
2024-01-11,519.8
2024-01-12,529.1
2024-01-13,529.1
2024-01-14,529.1
2024-01-15,523.2
2024-01-16,520.0
2024-01-17,522.25
2024-01-18,523.05
2024-01-19,518.5
2024-01-20,518.5
2024-01-21,518.5
2024-01-22,524.0
2024-01-23,534.7
2024-01-24,539.5
2024-01-25,537.85
2024-01-26,550.55
2024-01-27,550.55
2024-01-28,550.55
2024-01-29,558.7
2024-01-30,556.1
2024-01-31,563.6
2024-02-01,557.9
2024-02-02,553.7
2024-02-03,553.7
2024-02-04,553.7
2024-02-05,557.7
2024-02-06,553.5
2024-02-07,552.0
2024-02-08,546.55
2024-02-09,535.0
2024-02-10,535.0
2024-02-11,535.0
2024-02-12,564.7
2024-02-13,572.0
2024-02-14,555.2
2024-02-15,559.1
2024-02-16,561.45
2024-02-17,561.45
2024-02-18,561.45
2024-02-19,560.45
2024-02-20,549.05
2024-02-21,545.0
2024-02-22,541.05
2024-02-23,541.05
2024-02-24,541.05
2024-02-25,541.05
2024-02-26,559.0
2024-02-27,562.3
2024-02-28,561.1
2024-02-29,570.0
2024-03-01,571.6
2024-03-02,571.6
2024-03-03,571.6
2024-03-04,582.3
2024-03-05,573.0
2024-03-06,567.9
2024-03-07,0.0
2024-03-08,574.4
2024-03-09,574.4
2024-03-10,574.4
2024-03-11,568.95
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,556.65
2024-03-16,556.65
2024-03-17,556.65
2024-03-18,561.8
2024-03-19,565.5
2024-03-20,573.0
2024-03-21,613.0
2024-03-22,605.0
2024-03-23,605.0
2024-03-24,605.0
2024-03-25,643.95
2024-03-26,696.6
2024-03-27,680.0
2024-03-28,668.3
2024-03-29,692.2
2024-03-30,692.2
2024-03-31,692.2
2024-04-01,680.0
2024-04-02,688.0
2024-04-03,673.0
2024-04-04,671.2
2024-04-05,661.6
2024-04-06,661.6
2024-04-07,661.6
2024-04-08,659.9
2024-04-09,616.5
2024-04-10,639.0
2024-04-11,622.75
2024-04-12,620.0
2024-04-13,620.0
2024-04-14,620.0
2024-04-15,612.0
2024-04-16,612.2
2024-04-17,593.9
2024-04-18,593.55
2024-04-19,610.6
2024-04-20,610.6
2024-04-21,610.6
2024-04-22,632.05
2024-04-23,620.0
2024-04-24,610.8
2024-04-25,624.55
2024-04-26,627.6
2024-04-27,619.75
2024-04-28,619.75
2024-04-29,617.5
2024-04-30,613.05
