date,price
2023-08-18,286.8
2023-08-19,286.8
2023-08-20,286.8
2023-08-21,283.79
2023-08-22,281.23
2023-08-23,279.48
2023-08-24,294.35
2023-08-25,287.18
2023-08-26,287.18
2023-08-27,287.18
2023-08-28,287.69
2023-08-29,288.5
2023-08-30,287.1
2023-08-31,288.93
2023-09-01,290.41
2023-09-02,290.41
2023-09-03,290.41
2023-09-04,292.11
2023-09-05,304.43
2023-09-06,312.32
2023-09-07,301.0
2023-09-08,301.6
2023-09-09,301.6
2023-09-10,301.6
2023-09-11,298.21
2023-09-12,300.9
2023-09-13,304.7
2023-09-14,299.65
2023-09-15,300.5
2023-09-16,300.5
2023-09-17,300.5
2023-09-18,305.3
2023-09-19,301.0
2023-09-20,296.06
2023-09-21,288.99
2023-09-22,289.9
2023-09-23,289.9
2023-09-24,289.9
2023-09-25,293.19
2023-09-26,288.3
2023-09-27,289.68
2023-09-28,289.62
2023-09-29,289.98
2023-09-30,289.98
2023-10-01,289.98
2023-10-02,295.16
2023-10-03,293.17
2023-10-04,288.5
2023-10-05,281.99
2023-10-06,280.31
2023-10-07,280.31
2023-10-08,280.31
2023-10-09,262.38
2023-10-10,272.7
2023-10-11,270.02
2023-10-12,269.65
2023-10-13,268.1
2023-10-14,268.1
2023-10-15,268.1
2023-10-16,267.81
2023-10-17,271.88
2023-10-18,269.6
2023-10-19,267.0
2023-10-20,263.53
2023-10-21,263.53
2023-10-22,263.53
2023-10-23,261.3
2023-10-24,258.01
2023-10-25,257.6
2023-10-26,253.59
2023-10-27,248.5
2023-10-28,248.5
2023-10-29,248.5
2023-10-30,251.86
2023-10-31,250.34
2023-11-01,252.4
2023-11-02,249.16
2023-11-03,238.4
2023-11-04,238.4
2023-11-05,238.4
2023-11-06,245.58
2023-11-07,259.87
2023-11-08,263.62
2023-11-09,258.0
2023-11-10,252.94
2023-11-11,252.94
2023-11-12,252.94
2023-11-13,254.95
2023-11-14,245.95
2023-11-15,248.53
2023-11-16,247.7
2023-11-17,247.29
2023-11-18,247.29
2023-11-19,247.29
2023-11-20,244.82
2023-11-21,242.8
2023-11-22,245.0
2023-11-23,243.6
2023-11-24,243.62
2023-11-25,243.62
2023-11-26,243.62
2023-11-27,230.25
2023-11-28,234.9
2023-11-29,230.1
2023-11-30,223.2
2023-12-01,217.75
2023-12-02,217.75
2023-12-03,217.75
2023-12-04,201.45
2023-12-05,217.24
2023-12-06,214.04
2023-12-07,215.05
2023-12-08,212.79
2023-12-09,212.79
