date,price
2023-08-18,7.024
2023-08-19,7.024
2023-08-20,7.024
2023-08-21,6.982
2023-08-22,6.894
2023-08-23,6.853
2023-08-24,6.88
2023-08-25,6.952
2023-08-26,6.952
2023-08-27,6.952
2023-08-28,7.013
2023-08-29,6.99
2023-08-30,7.027
2023-08-31,7.08
2023-09-01,7.063
2023-09-02,7.063
2023-09-03,7.063
2023-09-04,7.156
2023-09-05,7.142
2023-09-06,7.055
2023-09-07,6.896
2023-09-08,6.861
2023-09-09,6.861
2023-09-10,6.861
2023-09-11,6.737
2023-09-12,6.78
2023-09-13,6.817
2023-09-14,6.742
2023-09-15,6.8309999999999995
2023-09-16,6.8309999999999995
2023-09-17,6.8309999999999995
2023-09-18,6.8149999999999995
2023-09-19,6.859
2023-09-20,6.76
2023-09-21,6.723
2023-09-22,6.771
2023-09-23,6.771
2023-09-24,6.771
2023-09-25,6.821
2023-09-26,6.954
2023-09-27,6.998
2023-09-28,7.037
2023-09-29,7.028
2023-09-30,7.028
2023-10-01,7.028
2023-10-02,7.034
2023-10-03,7.015
2023-10-04,6.959
2023-10-05,6.923
2023-10-06,6.931
2023-10-07,6.931
2023-10-08,6.931
2023-10-09,7.006
2023-10-10,7.02
2023-10-11,7.079
2023-10-12,6.998
2023-10-13,7.023
2023-10-14,7.023
2023-10-15,7.023
2023-10-16,7.091
2023-10-17,7.252
2023-10-18,7.2
2023-10-19,7.203
2023-10-20,7.204
2023-10-21,7.204
2023-10-22,7.204
2023-10-23,7.223
2023-10-24,7.362
2023-10-25,7.281
2023-10-26,7.2
2023-10-27,7.214
2023-10-28,7.214
2023-10-29,7.214
2023-10-30,7.19
2023-10-31,7.208
2023-11-01,7.257
2023-11-02,7.212
2023-11-03,7.218
2023-11-04,7.218
2023-11-05,7.218
2023-11-06,7.233
2023-11-07,7.326
2023-11-08,7.298
2023-11-09,7.287
2023-11-10,7.348
2023-11-11,7.348
2023-11-12,7.348
2023-11-13,7.438
2023-11-14,7.354
2023-11-15,7.3469999999999995
2023-11-16,7.33
2023-11-17,7.416
2023-11-18,7.416
2023-11-19,7.416
2023-11-20,7.451
2023-11-21,7.5
2023-11-22,7.6530000000000005
2023-11-23,7.65
2023-11-24,7.67
2023-11-25,7.67
2023-11-26,7.67
2023-11-27,7.665
2023-11-28,7.65
2023-11-29,7.696
2023-11-30,7.78
2023-12-01,7.758
2023-12-02,7.758
2023-12-03,7.758
2023-12-04,7.747
2023-12-05,7.851
2023-12-06,7.66
2023-12-07,7.846
2023-12-08,7.6899999999999995
2023-12-09,7.6899999999999995
2023-12-10,7.6899999999999995
2023-12-11,7.49
2023-12-12,7.723
2023-12-13,7.689
2023-12-14,7.702
2023-12-15,7.89
2023-12-16,7.89
2023-12-17,7.89
2023-12-18,8.162
2023-12-19,7.92
2023-12-20,8.031
2023-12-21,7.871000000000001
2023-12-22,8.065
2023-12-23,8.065
2023-12-24,8.065
2023-12-25,8.165
2023-12-26,8.05
2023-12-27,8.06
2023-12-28,0.0
2023-12-29,8.015
2023-12-30,8.015
2023-12-31,8.015
2024-01-01,8.015
2024-01-02,8.015
2024-01-03,8.05
2024-01-04,8.039
2024-01-05,7.966
2024-01-06,7.966
2024-01-07,7.966
2024-01-08,7.981
2024-01-09,7.9350000000000005
2024-01-10,7.911
2024-01-11,7.8
2024-01-12,7.844
2024-01-13,7.844
2024-01-14,7.844
2024-01-15,7.844
2024-01-16,7.872
2024-01-17,7.99
2024-01-18,7.802
2024-01-19,7.774
2024-01-20,7.774
2024-01-21,7.774
2024-01-22,7.755
2024-01-23,7.673
2024-01-24,7.785
2024-01-25,7.801
2024-01-26,7.7940000000000005
2024-01-27,7.7940000000000005
2024-01-28,7.7940000000000005
2024-01-29,7.928
2024-01-30,7.991
2024-01-31,7.832
2024-02-01,7.835
2024-02-02,7.88
2024-02-03,7.88
2024-02-04,7.88
2024-02-05,7.795
2024-02-06,7.973
2024-02-07,7.932
2024-02-08,7.9399999999999995
2024-02-09,7.934
2024-02-10,7.934
2024-02-11,7.934
2024-02-12,7.87
2024-02-13,7.85
2024-02-14,7.896
2024-02-15,7.965
2024-02-16,7.891
2024-02-17,7.891
2024-02-18,7.891
2024-02-19,7.874
