date,price
2023-08-25,1359.0
2023-08-26,1359.0
2023-08-27,1359.0
2023-08-28,1390.0
2023-08-29,1375.6
2023-08-30,1390.4
2023-08-31,1425.6
2023-09-01,1428.4
2023-09-02,1428.4
2023-09-03,1428.4
2023-09-04,1438.0
2023-09-05,1413.8
2023-09-06,1370.4
2023-09-07,1341.6
2023-09-08,1315.2
2023-09-09,1315.2
2023-09-10,1315.2
2023-09-11,1300.4
2023-09-12,1309.0
2023-09-13,1304.0
2023-09-14,1305.0
2023-09-15,1307.2
2023-09-16,1307.2
2023-09-17,1307.2
2023-09-18,1296.0
2023-09-19,1294.4
2023-09-20,1306.6
2023-09-21,1272.0
2023-09-22,1332.2
2023-09-23,1332.2
2023-09-24,1332.2
2023-09-25,1330.4
2023-09-26,1381.8
2023-09-27,1370.2
2023-09-28,1379.8
2023-09-29,1369.0
2023-09-30,1369.0
2023-10-01,1369.0
2023-10-02,1384.4
2023-10-03,1363.6
2023-10-04,1376.0
2023-10-05,1373.0
2023-10-06,1367.6
2023-10-07,1367.6
2023-10-08,1367.6
2023-10-09,1369.4
2023-10-10,1369.2
2023-10-11,1406.4
2023-10-12,1373.0
2023-10-13,1380.0
2023-10-14,1380.0
2023-10-15,1380.0
2023-10-16,1403.0
2023-10-17,1420.0
2023-10-18,1416.6
2023-10-19,1402.8
2023-10-20,1403.8
2023-10-21,1403.8
2023-10-22,1403.8
2023-10-23,1410.0
2023-10-24,1399.4
2023-10-25,1393.0
2023-10-26,1371.2
2023-10-27,1363.0
2023-10-28,1363.0
2023-10-29,1363.0
2023-10-30,1378.0
2023-10-31,1362.0
2023-11-01,1350.6
2023-11-02,1352.6
2023-11-03,1366.0
2023-11-04,1366.0
2023-11-05,1366.0
2023-11-06,1384.4
2023-11-07,1390.0
2023-11-08,1376.2
2023-11-09,1360.4
2023-11-10,1366.8
2023-11-11,1366.8
2023-11-12,1366.8
2023-11-13,1388.4
2023-11-14,1367.0
2023-11-15,1361.4
2023-11-16,1352.6
2023-11-17,1349.6
2023-11-18,1349.6
2023-11-19,1349.6
2023-11-20,1334.2
2023-11-21,1329.2
2023-11-22,1350.6
2023-11-23,1332.0
2023-11-24,1321.6
2023-11-25,1321.6
2023-11-26,1321.6
2023-11-27,1295.2
2023-11-28,1305.4
2023-11-29,1292.2
2023-11-30,1272.0
2023-12-01,1269.4
2023-12-02,1269.4
2023-12-03,1269.4
2023-12-04,1272.6
2023-12-05,1284.4
2023-12-06,1269.0
2023-12-07,1256.6
2023-12-08,1256.0
2023-12-09,1256.0
2023-12-10,1256.0
2023-12-11,1254.0
2023-12-12,1244.8
2023-12-13,1243.0
2023-12-14,1240.2
2023-12-15,1260.0
2023-12-16,1260.0
2023-12-17,1260.0
2023-12-18,1275.2
2023-12-19,1301.8
2023-12-20,1336.0
2023-12-21,1337.0
2023-12-22,1337.0
2023-12-23,1337.0
2023-12-24,1337.0
2023-12-25,1341.6
2023-12-26,1372.4
2023-12-27,1378.6
2023-12-28,0.0
2023-12-29,1399.8
2023-12-30,1399.8
2023-12-31,1399.8
2024-01-01,1399.8
2024-01-02,1399.8
2024-01-03,1430.0
2024-01-04,1421.8
2024-01-05,1436.0
2024-01-06,1436.0
2024-01-07,1436.0
2024-01-08,1462.8
2024-01-09,1435.0
2024-01-10,1443.0
2024-01-11,1547.0
2024-01-12,1555.0
2024-01-13,1555.0
2024-01-14,1555.0
2024-01-15,1547.0
2024-01-16,1551.6
2024-01-17,1560.0
2024-01-18,1551.4
2024-01-19,1560.0
2024-01-20,1560.0
2024-01-21,1560.0
2024-01-22,1609.0
2024-01-23,1610.0
2024-01-24,1613.0
2024-01-25,1603.0
2024-01-26,1605.0
2024-01-27,1605.0
2024-01-28,1605.0
2024-01-29,1624.8
2024-01-30,1673.0
2024-01-31,1655.0
2024-02-01,1662.2
2024-02-02,1635.2
2024-02-03,1635.2
2024-02-04,1635.2
2024-02-05,1620.0
2024-02-06,1599.0
2024-02-07,1595.2
2024-02-08,1572.6
2024-02-09,1586.4
2024-02-10,1586.4
2024-02-11,1586.4
2024-02-12,1589.0
2024-02-13,1608.0
2024-02-14,1611.0
2024-02-15,1611.2
2024-02-16,1598.0
2024-02-17,1598.0
2024-02-18,1598.0
2024-02-19,1602.0
2024-02-20,1582.2
2024-02-21,1555.0
2024-02-22,1565.0
2024-02-23,1565.0
2024-02-24,1565.0
2024-02-25,1565.0
2024-02-26,1614.6
2024-02-27,1635.0
2024-02-28,1632.6
2024-02-29,1652.4
2024-03-01,1673.2
2024-03-02,1673.2
2024-03-03,1673.2
2024-03-04,1676.0
2024-03-05,1682.8
2024-03-06,1687.0
2024-03-07,0.0
2024-03-08,1702.0
2024-03-09,1702.0
2024-03-10,1702.0
2024-03-11,1718.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,1719.0
2024-03-16,1719.0
2024-03-17,1719.0
2024-03-18,1728.2
2024-03-19,1717.8
2024-03-20,1740.0
2024-03-21,1799.2
2024-03-22,1795.8
2024-03-23,1795.8
2024-03-24,1795.8
2024-03-25,1836.8
2024-03-26,1843.0
2024-03-27,1883.0
