date,price
2025-02-07,0.0
2025-02-08,0.0
2025-02-09,0.0
2025-02-10,0.0
2025-02-11,0.0
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,0.0
2025-02-20,0.0
2025-02-21,0.0
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,0.0
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,0.0
2025-03-01,0.0
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,0.0
2025-03-05,0.0
2025-03-06,0.0
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,0.0
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,0.0
2025-03-22,0.0
2025-03-23,0.0
2025-03-24,0.0
2025-03-25,0.0
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,0.0
2025-03-29,0.0
2025-03-30,0.0
2025-03-31,0.0
2025-04-01,0.0
2025-04-02,0.0
2025-04-03,580.0
2025-04-04,555.8
2025-04-05,555.8
2025-04-06,555.8
2025-04-07,505.0
2025-04-08,510.0
2025-04-09,490.0
2025-04-10,516.0
2025-04-11,537.2
2025-04-12,537.2
2025-04-13,537.2
2025-04-14,549.6
2025-04-15,548.0
2025-04-16,557.2
2025-04-17,558.8
2025-04-18,529.6
2025-04-19,529.6
2025-04-20,529.6
2025-04-21,530.4
2025-04-22,533.0
2025-04-23,527.4
2025-04-24,531.0
2025-04-25,532.8
2025-04-26,532.8
2025-04-27,532.8
2025-04-28,551.0
2025-04-29,549.2
2025-04-30,539.2
2025-05-01,539.2
2025-05-02,537.0
2025-05-03,537.0
2025-05-04,537.0
2025-05-05,529.0
2025-05-06,544.4
2025-05-07,537.6
2025-05-08,538.6
2025-05-09,538.6
2025-05-10,538.6
2025-05-11,538.6
2025-05-12,543.2
2025-05-13,530.0
2025-05-14,532.6
2025-05-15,541.0
2025-05-16,542.6
2025-05-17,542.6
2025-05-18,542.6
2025-05-19,556.0
2025-05-20,550.8
2025-05-21,522.6
2025-05-22,520.0
2025-05-23,509.8
2025-05-24,509.8
2025-05-25,509.8
2025-05-26,503.6
2025-05-27,518.0
2025-05-28,524.0
2025-05-29,539.4
2025-05-30,544.2
2025-05-31,544.2
2025-06-01,544.2
2025-06-02,534.8
2025-06-03,538.0
2025-06-04,539.0
2025-06-05,558.0
2025-06-06,544.8
2025-06-07,544.8
2025-06-08,544.8
2025-06-09,529.2
2025-06-10,532.6
2025-06-11,529.2
2025-06-12,529.2
2025-06-13,526.6
2025-06-14,526.6
2025-06-15,526.6
2025-06-16,540.0
2025-06-17,550.0
2025-06-18,537.6
2025-06-19,564.0
2025-06-20,537.4
2025-06-21,537.4
2025-06-22,537.4
2025-06-23,547.0
2025-06-24,550.8
2025-06-25,547.4
2025-06-26,554.8
2025-06-27,552.0
2025-06-28,552.0
2025-06-29,552.0
2025-06-30,562.0
2025-07-01,564.0
2025-07-02,551.6
2025-07-03,572.8
2025-07-04,565.0
2025-07-05,565.0
2025-07-06,565.0
2025-07-07,568.8
2025-07-08,570.8
2025-07-09,566.6
2025-07-10,564.0
2025-07-11,559.6
2025-07-12,559.6
2025-07-13,559.6
2025-07-14,566.0
2025-07-15,559.0
2025-07-16,566.0
2025-07-17,560.0
2025-07-18,568.0
2025-07-19,568.0
2025-07-20,568.0
2025-07-21,571.6
2025-07-22,579.2
2025-07-23,600.8
2025-07-24,589.6
2025-07-25,583.4
2025-07-26,583.4
2025-07-27,583.4
2025-07-28,573.6
2025-07-29,573.8
2025-07-30,559.8
2025-07-31,573.0
2025-08-01,573.6
2025-08-02,573.6
2025-08-03,573.6
2025-08-04,573.0
2025-08-05,582.6
2025-08-06,582.0
2025-08-07,586.8
2025-08-08,589.0
2025-08-09,589.0
2025-08-10,589.0
2025-08-11,599.6
2025-08-12,590.0
2025-08-13,589.6
2025-08-14,589.6
2025-08-15,589.8
2025-08-16,589.8
2025-08-17,589.8
2025-08-18,601.0
2025-08-19,610.6
2025-08-20,657.0
2025-08-21,645.0
2025-08-22,651.8
2025-08-23,651.8
2025-08-24,651.8
2025-08-25,640.6
2025-08-26,628.0
2025-08-27,624.2
2025-08-28,610.0
