date,price
2023-08-18,517.0
2023-08-19,517.0
2023-08-20,517.0
2023-08-21,536.4
2023-08-22,536.8
2023-08-23,530.2
2023-08-24,529.2
2023-08-25,532.8
2023-08-26,532.8
2023-08-27,532.8
2023-08-28,537.8
2023-08-29,538.2
2023-08-30,538.0
2023-08-31,539.0
2023-09-01,535.2
2023-09-02,535.2
2023-09-03,535.2
2023-09-04,546.0
2023-09-05,556.8
2023-09-06,555.0
2023-09-07,531.6
2023-09-08,524.2
2023-09-09,524.2
2023-09-10,524.2
2023-09-11,518.0
2023-09-12,524.2
2023-09-13,520.2
2023-09-14,507.4
2023-09-15,513.0
2023-09-16,513.0
2023-09-17,513.0
2023-09-18,514.2
2023-09-19,501.6
2023-09-20,495.0
2023-09-21,517.0
2023-09-22,514.0
2023-09-23,514.0
2023-09-24,514.0
2023-09-25,503.4
2023-09-26,507.8
2023-09-27,510.0
2023-09-28,517.6
2023-09-29,522.6
2023-09-30,522.6
2023-10-01,522.6
2023-10-02,526.2
2023-10-03,536.0
2023-10-04,526.8
2023-10-05,523.2
2023-10-06,517.8
2023-10-07,517.8
2023-10-08,517.8
2023-10-09,525.6
2023-10-10,524.0
2023-10-11,523.6
2023-10-12,516.0
2023-10-13,517.0
2023-10-14,517.0
2023-10-15,517.0
2023-10-16,513.4
2023-10-17,515.2
2023-10-18,517.0
2023-10-19,514.4
2023-10-20,514.4
2023-10-21,514.4
2023-10-22,514.4
2023-10-23,514.8
2023-10-24,511.8
2023-10-25,521.0
2023-10-26,506.0
2023-10-27,502.4
2023-10-28,502.4
2023-10-29,502.4
2023-10-30,500.6
2023-10-31,497.6
2023-11-01,499.0
2023-11-02,498.6
2023-11-03,502.2
2023-11-04,502.2
2023-11-05,502.2
2023-11-06,512.0
2023-11-07,513.8
2023-11-08,517.6
2023-11-09,514.2
2023-11-10,511.4
2023-11-11,511.4
2023-11-12,511.4
2023-11-13,504.2
2023-11-14,493.6
2023-11-15,495.4
2023-11-16,493.0
2023-11-17,491.0
2023-11-18,491.0
2023-11-19,491.0
2023-11-20,487.6
2023-11-21,496.8
2023-11-22,494.0
2023-11-23,490.8
2023-11-24,478.2
2023-11-25,478.2
2023-11-26,478.2
2023-11-27,472.0
2023-11-28,467.8
2023-11-29,463.2
2023-11-30,452.2
2023-12-01,444.0
2023-12-02,444.0
2023-12-03,444.0
2023-12-04,444.6
2023-12-05,452.6
2023-12-06,451.4
2023-12-07,450.0
2023-12-08,443.8
2023-12-09,443.8
2023-12-10,443.8
2023-12-11,429.0
2023-12-12,423.0
2023-12-13,425.6
2023-12-14,432.0
2023-12-15,436.2
2023-12-16,436.2
2023-12-17,436.2
2023-12-18,448.4
2023-12-19,445.0
2023-12-20,452.8
2023-12-21,441.0
2023-12-22,444.0
2023-12-23,444.0
2023-12-24,444.0
2023-12-25,439.8
2023-12-26,442.4
2023-12-27,448.2
2023-12-28,0.0
2023-12-29,440.2
2023-12-30,440.2
2023-12-31,440.2
2024-01-01,440.2
2024-01-02,440.2
2024-01-03,447.4
2024-01-04,446.8
2024-01-05,449.0
2024-01-06,449.0
2024-01-07,449.0
2024-01-08,450.8
2024-01-09,454.8
2024-01-10,458.0
2024-01-11,464.0
2024-01-12,465.0
2024-01-13,465.0
2024-01-14,465.0
2024-01-15,464.8
2024-01-16,471.0
2024-01-17,474.0
2024-01-18,470.0
2024-01-19,464.8
2024-01-20,464.8
2024-01-21,464.8
2024-01-22,467.2
2024-01-23,465.4
2024-01-24,461.0
2024-01-25,461.8
2024-01-26,460.0
2024-01-27,460.0
2024-01-28,460.0
2024-01-29,463.2
2024-01-30,469.0
2024-01-31,472.0
2024-02-01,469.8
2024-02-02,463.8
2024-02-03,463.8
2024-02-04,463.8
2024-02-05,473.0
2024-02-06,475.8
2024-02-07,472.6
2024-02-08,466.8
2024-02-09,464.2
2024-02-10,464.2
2024-02-11,464.2
2024-02-12,463.4
2024-02-13,458.0
2024-02-14,454.8
2024-02-15,453.2
2024-02-16,449.6
2024-02-17,449.6
2024-02-18,449.6
2024-02-19,441.6
2024-02-20,438.8
2024-02-21,431.0
2024-02-22,432.0
2024-02-23,432.0
2024-02-24,432.0
2024-02-25,432.0
2024-02-26,438.8
2024-02-27,436.2
2024-02-28,434.2
2024-02-29,434.8
2024-03-01,437.8
2024-03-02,437.8
2024-03-03,437.8
2024-03-04,450.0
2024-03-05,448.8
2024-03-06,447.8
2024-03-07,0.0
2024-03-08,449.0
2024-03-09,449.0
2024-03-10,449.0
2024-03-11,443.8
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,443.0
2024-03-16,443.0
2024-03-17,443.0
2024-03-18,441.0
2024-03-19,435.6
2024-03-20,433.6
2024-03-21,436.0
2024-03-22,435.8
2024-03-23,435.8
2024-03-24,435.8
2024-03-25,434.6
2024-03-26,429.6
2024-03-27,427.8
2024-03-28,430.8
2024-03-29,427.8
2024-03-30,427.8
2024-03-31,427.8
2024-04-01,431.2
2024-04-02,436.2
2024-04-03,453.6
2024-04-04,475.2
2024-04-05,468.6
2024-04-06,468.6
2024-04-07,468.6
2024-04-08,514.0
2024-04-09,505.4
2024-04-10,531.2
2024-04-11,514.4
2024-04-12,528.0
2024-04-13,528.0
2024-04-14,528.0
2024-04-15,513.0
2024-04-16,491.6
2024-04-17,489.0
2024-04-18,497.0
2024-04-19,488.2
2024-04-20,488.2
2024-04-21,488.2
2024-04-22,490.2
2024-04-23,482.0
2024-04-24,478.0
2024-04-25,484.4
2024-04-26,487.8
2024-04-27,481.2
2024-04-28,481.2
2024-04-29,484.2
2024-04-30,483.4
2024-05-01,483.4
2024-05-02,468.45
2024-05-03,467.5
2024-05-04,467.5
2024-05-05,467.5
2024-05-06,460.7
2024-05-07,463.3
2024-05-08,467.75
2024-05-09,467.75
2024-05-10,475.8
2024-05-11,475.8
2024-05-12,475.8
2024-05-13,472.15
2024-05-14,488.75
2024-05-15,485.45
2024-05-16,482.65
2024-05-17,480.55
2024-05-18,480.55
2024-05-19,480.55
2024-05-20,468.5
2024-05-21,465.45
2024-05-22,461.6
2024-05-23,464.0
2024-05-24,449.9
2024-05-25,449.9
2024-05-26,449.9
2024-05-27,445.85
2024-05-28,448.25
2024-05-29,456.55
2024-05-30,451.5
2024-05-31,437.5
2024-06-01,437.5
2024-06-02,437.5
2024-06-03,424.4
2024-06-04,427.85
2024-06-05,435.05
2024-06-06,431.7
2024-06-07,439.75
2024-06-08,439.75
2024-06-09,439.75
2024-06-10,452.3
2024-06-11,447.85
2024-06-12,447.85
2024-06-13,445.4
2024-06-14,450.8
2024-06-15,450.8
2024-06-16,450.8
2024-06-17,443.2
2024-06-18,433.7
2024-06-19,415.95
2024-06-20,446.1
2024-06-21,439.0
2024-06-22,439.0
2024-06-23,439.0
2024-06-24,429.05
2024-06-25,429.35
2024-06-26,428.55
2024-06-27,427.55
2024-06-28,428.0
2024-06-29,428.0
2024-06-30,428.0
2024-07-01,427.05
2024-07-02,430.5
2024-07-03,424.95
2024-07-04,418.7
2024-07-05,418.65
2024-07-06,418.65
2024-07-07,418.65
2024-07-08,410.1
2024-07-09,399.45
2024-07-10,383.6
2024-07-11,393.65
2024-07-12,387.15
2024-07-13,387.15
2024-07-14,387.15
2024-07-15,373.85
2024-07-16,382.0
2024-07-17,380.75
2024-07-18,386.0
2024-07-19,391.3
2024-07-20,391.3
2024-07-21,391.3
2024-07-22,396.95
2024-07-23,402.6
2024-07-24,411.7
2024-07-25,405.55
2024-07-26,393.2
2024-07-27,393.2
2024-07-28,393.2
2024-07-29,383.4
2024-07-30,390.9
2024-07-31,392.0
2024-08-01,390.6
2024-08-02,383.85
2024-08-03,383.85
2024-08-04,383.85
2024-08-05,369.0
2024-08-06,371.8
2024-08-07,371.55
2024-08-08,368.7
2024-08-09,367.5
2024-08-10,367.5
2024-08-11,367.5
2024-08-12,362.9
2024-08-13,371.4
2024-08-14,367.15
2024-08-15,364.35
2024-08-16,364.4
2024-08-17,364.4
2024-08-18,364.4
2024-08-19,357.95
2024-08-20,357.8
2024-08-21,354.95
2024-08-22,336.85
2024-08-23,326.3
2024-08-24,326.3
2024-08-25,326.3
2024-08-26,336.55
2024-08-27,332.95
2024-08-28,328.8
2024-08-29,340.0
2024-08-30,326.0
2024-08-31,326.0
2024-09-01,326.0
2024-09-02,321.55
2024-09-03,315.8
2024-09-04,316.4
2024-09-05,312.9
2024-09-06,317.4
2024-09-07,317.4
2024-09-08,317.4
2024-09-09,322.4
2024-09-10,317.9
2024-09-11,313.25
2024-09-12,306.4
2024-09-13,310.5
2024-09-14,310.5
2024-09-15,310.5
2024-09-16,321.7
2024-09-17,321.5
2024-09-18,319.5
2024-09-19,326.9
2024-09-20,329.45
2024-09-21,329.45
2024-09-22,329.45
2024-09-23,334.0
2024-09-24,346.0
2024-09-25,344.0
2024-09-26,343.0
2024-09-27,349.55
2024-09-28,349.55
2024-09-29,349.55
2024-09-30,342.5
2024-10-01,333.25
2024-10-02,321.85
2024-10-03,327.35
2024-10-04,328.85
2024-10-05,328.85
2024-10-06,328.85
2024-10-07,328.35
2024-10-08,333.3
2024-10-09,325.95
2024-10-10,330.9
2024-10-11,333.0
2024-10-12,333.0
2024-10-13,333.0
2024-10-14,340.3
2024-10-15,345.6
2024-10-16,335.45
2024-10-17,336.95
2024-10-18,334.6
2024-10-19,334.6
2024-10-20,334.6
2024-10-21,333.7
2024-10-22,328.35
2024-10-23,332.25
2024-10-24,332.3
2024-10-25,325.45
2024-10-26,325.45
2024-10-27,325.45
2024-10-28,313.0
2024-10-29,313.6
2024-10-30,318.5
2024-10-31,312.15
2024-11-01,313.2
2024-11-02,312.75
2024-11-03,312.75
2024-11-04,312.75
2024-11-05,315.05
2024-11-06,320.0
2024-11-07,323.9
2024-11-08,327.85
2024-11-09,327.85
2024-11-10,327.85
2024-11-11,334.1
2024-11-12,332.45
2024-11-13,332.55
2024-11-14,321.15
2024-11-15,332.3
2024-11-16,332.3
2024-11-17,332.3
2024-11-18,332.0
2024-11-19,317.0
2024-11-20,311.75
2024-11-21,310.7
2024-11-22,311.75
2024-11-23,311.75
2024-11-24,311.75
2024-11-25,300.3
2024-11-26,284.75
2024-11-27,287.85
2024-11-28,293.75
2024-11-29,293.1
2024-11-30,293.1
2024-12-01,293.1
2024-12-02,304.8
2024-12-03,297.5
2024-12-04,289.5
2024-12-05,292.35
2024-12-06,300.8
2024-12-07,300.8
2024-12-08,300.8
2024-12-09,305.0
2024-12-10,291.0
2024-12-11,289.95
2024-12-12,284.2
2024-12-13,286.5
2024-12-14,286.5
2024-12-15,286.5
2024-12-16,280.8
2024-12-17,281.1
2024-12-18,286.5
2024-12-19,290.0
2024-12-20,309.0
2024-12-21,309.0
2024-12-22,309.0
2024-12-23,314.85
2024-12-24,311.7
2024-12-25,321.35
2024-12-26,324.75
2024-12-27,323.9
2024-12-28,330.9
2024-12-29,330.9
2024-12-30,347.5
2024-12-31,347.5
2025-01-01,347.5
2025-01-02,347.5
2025-01-03,351.0
2025-01-04,351.0
2025-01-05,351.0
2025-01-06,347.85
2025-01-07,347.85
2025-01-08,357.85
2025-01-09,351.2
2025-01-10,362.5
2025-01-11,362.5
2025-01-12,362.5
2025-01-13,373.85
2025-01-14,370.0
2025-01-15,355.7
2025-01-16,368.0
2025-01-17,383.9
2025-01-18,383.9
2025-01-19,383.9
2025-01-20,371.25
2025-01-21,374.35
2025-01-22,380.1
2025-01-23,369.95
2025-01-24,377.1
2025-01-25,377.1
2025-01-26,377.1
2025-01-27,375.95
2025-01-28,381.0
2025-01-29,382.2
2025-01-30,378.0
2025-01-31,370.5
2025-02-01,370.5
2025-02-02,370.5
2025-02-03,372.7
2025-02-04,369.2
2025-02-05,372.85
2025-02-06,378.9
2025-02-07,378.0
2025-02-08,378.0
2025-02-09,378.0
2025-02-10,412.3
2025-02-11,422.9
2025-02-12,416.9
2025-02-13,429.85
2025-02-14,413.3
2025-02-15,413.3
2025-02-16,413.3
2025-02-17,438.0
2025-02-18,428.05
2025-02-19,427.5
2025-02-20,440.25
2025-02-21,440.45
2025-02-22,440.45
2025-02-23,440.45
2025-02-24,450.0
2025-02-25,499.05
2025-02-26,500.0
2025-02-27,474.7
2025-02-28,470.0
2025-03-01,470.0
2025-03-02,470.0
2025-03-03,465.0
2025-03-04,494.0
2025-03-05,494.0
2025-03-06,481.15
2025-03-07,482.1
2025-03-08,482.1
2025-03-09,482.1
2025-03-10,506.7
2025-03-11,506.8
2025-03-12,494.95
2025-03-13,496.9
2025-03-14,523.6
2025-03-15,523.6
2025-03-16,523.6
2025-03-17,528.2
2025-03-18,525.0
2025-03-19,522.5
2025-03-20,553.4
2025-03-21,550.4
2025-03-22,550.4
2025-03-23,550.4
2025-03-24,551.1
2025-03-25,552.75
2025-03-26,550.65
2025-03-27,543.0
2025-03-28,507.5
2025-03-29,507.5
2025-03-30,507.5
2025-03-31,515.3
2025-04-01,518.35
2025-04-02,505.55
2025-04-03,499.7
2025-04-04,471.0
2025-04-05,471.0
2025-04-06,471.0
2025-04-07,431.25
2025-04-08,428.6
2025-04-09,364.5
2025-04-10,408.65
2025-04-11,418.2
2025-04-12,418.2
2025-04-13,418.2
2025-04-14,428.8
2025-04-15,419.4
2025-04-16,442.0
2025-04-17,439.5
2025-04-18,440.1
2025-04-19,440.1
2025-04-20,440.1
2025-04-21,437.05
2025-04-22,438.2
2025-04-23,434.55
2025-04-24,433.1
2025-04-25,437.8
2025-04-26,437.8
2025-04-27,437.8
2025-04-28,445.95
2025-04-29,428.15
2025-04-30,402.75
2025-05-01,402.75
2025-05-02,391.25
2025-05-03,391.25
2025-05-04,391.25
2025-05-05,383.15
2025-05-06,403.45
2025-05-07,400.55
2025-05-08,404.55
2025-05-09,404.55
2025-05-10,404.55
2025-05-11,404.55
2025-05-12,418.1
2025-05-13,417.4
2025-05-14,409.85
2025-05-15,398.2
2025-05-16,396.8
2025-05-17,396.8
2025-05-18,396.8
2025-05-19,403.2
2025-05-20,395.4
2025-05-21,391.0
2025-05-22,374.0
2025-05-23,362.45
