date,price
2023-08-18,0.128
2023-08-19,0.128
2023-08-20,0.128
2023-08-21,0.1287
2023-08-22,0.12686
2023-08-23,0.125
2023-08-24,0.12374
2023-08-25,0.125
2023-08-26,0.125
2023-08-27,0.125
2023-08-28,0.12696
2023-08-29,0.127
2023-08-30,0.12874
2023-08-31,0.13224
2023-09-01,0.132
2023-09-02,0.132
2023-09-03,0.132
2023-09-04,0.1349
2023-09-05,0.14006
2023-09-06,0.13814
2023-09-07,0.1339
2023-09-08,0.1308
2023-09-09,0.1308
2023-09-10,0.1308
2023-09-11,0.12912
2023-09-12,0.13382
2023-09-13,0.13118
2023-09-14,0.12534
2023-09-15,0.1266
2023-09-16,0.1266
2023-09-17,0.1266
2023-09-18,0.12228
2023-09-19,0.1179
2023-09-20,0.1172
2023-09-21,0.11204
2023-09-22,0.1157
2023-09-23,0.1157
2023-09-24,0.1157
2023-09-25,0.11852
2023-09-26,0.11674
2023-09-27,0.1248
2023-09-28,0.12874
2023-09-29,0.12548
2023-09-30,0.12548
2023-10-01,0.12548
2023-10-02,0.1223
2023-10-03,0.11916
2023-10-04,0.11866
2023-10-05,0.1166
2023-10-06,0.11504
2023-10-07,0.11504
2023-10-08,0.11504
2023-10-09,0.1176
2023-10-10,0.11776
2023-10-11,0.1175
2023-10-12,0.1158
2023-10-13,0.11554
2023-10-14,0.11554
2023-10-15,0.11554
2023-10-16,0.11764
2023-10-17,0.1193
2023-10-18,0.1186
2023-10-19,0.11926
2023-10-20,0.12242
2023-10-21,0.12242
2023-10-22,0.12242
2023-10-23,0.12308
2023-10-24,0.12466
2023-10-25,0.12744
2023-10-26,0.1232
2023-10-27,0.13076
2023-10-28,0.13076
2023-10-29,0.13076
2023-10-30,0.12976
2023-10-31,0.1311
2023-11-01,0.12968
2023-11-02,0.12868
2023-11-03,0.12982
2023-11-04,0.12982
2023-11-05,0.12982
2023-11-06,0.12624
2023-11-07,0.1251
2023-11-08,0.12662
2023-11-09,0.1254
2023-11-10,0.12372
2023-11-11,0.12372
2023-11-12,0.12372
2023-11-13,0.1245
2023-11-14,0.1222
2023-11-15,0.12306
2023-11-16,0.12166
2023-11-17,0.12082
2023-11-18,0.12082
2023-11-19,0.12082
2023-11-20,0.12102
2023-11-21,0.12018
2023-11-22,0.121
2023-11-23,0.11908
2023-11-24,0.11894
2023-11-25,0.11894
2023-11-26,0.11894
2023-11-27,0.11352
2023-11-28,0.11794
2023-11-29,0.1168
2023-11-30,0.12072
2023-12-01,0.12034
2023-12-02,0.12034
2023-12-03,0.12034
2023-12-04,0.11784
2023-12-05,0.115
2023-12-06,0.1112
2023-12-07,0.1119
2023-12-08,0.11086
2023-12-09,0.11086
2023-12-10,0.11086
2023-12-11,0.10956
2023-12-12,0.10644
2023-12-13,0.10602
2023-12-14,0.10576
2023-12-15,0.107
2023-12-16,0.107
2023-12-17,0.107
2023-12-18,0.10914
2023-12-19,0.10986
2023-12-20,0.11084
2023-12-21,0.11114
2023-12-22,0.11
2023-12-23,0.11
2023-12-24,0.11
2023-12-25,0.10902
2023-12-26,0.1076
2023-12-27,0.10888
2023-12-28,0.0
2023-12-29,0.10968
2023-12-30,0.10968
2023-12-31,0.10968
2024-01-01,0.10968
2024-01-02,0.10968
2024-01-03,0.111
2024-01-04,0.11372
2024-01-05,0.1133
2024-01-06,0.1133
2024-01-07,0.1133
2024-01-08,0.11456
2024-01-09,0.1161
2024-01-10,0.11746
2024-01-11,0.1169
2024-01-12,0.11772
2024-01-13,0.11772
2024-01-14,0.11772
2024-01-15,0.11802
2024-01-16,0.1174
2024-01-17,0.1174
2024-01-18,0.1168
2024-01-19,0.11564
2024-01-20,0.11564
2024-01-21,0.11564
2024-01-22,0.11714
2024-01-23,0.12142
2024-01-24,0.1219
2024-01-25,0.12134
2024-01-26,0.1225
2024-01-27,0.1225
2024-01-28,0.1225
2024-01-29,0.126
2024-01-30,0.1269
2024-01-31,0.127
2024-02-01,0.12738
2024-02-02,0.1258
2024-02-03,0.1258
2024-02-04,0.1258
2024-02-05,0.12702
2024-02-06,0.128
2024-02-07,0.1277
2024-02-08,0.1264
2024-02-09,0.1259
2024-02-10,0.1259
2024-02-11,0.1259
2024-02-12,0.12446
2024-02-13,0.12496
2024-02-14,0.12628
2024-02-15,0.12588
2024-02-16,0.1237
2024-02-17,0.1237
2024-02-18,0.1237
2024-02-19,0.12184
2024-02-20,0.12134
2024-02-21,0.11854
2024-02-22,0.11834
2024-02-23,0.11834
2024-02-24,0.11834
2024-02-25,0.11834
2024-02-26,0.1207
2024-02-27,0.1228
2024-02-28,0.12056
2024-02-29,0.11988
2024-03-01,0.12188
2024-03-02,0.12188
2024-03-03,0.12188
2024-03-04,0.12326
2024-03-05,0.1225
2024-03-06,0.12208
2024-03-07,0.0
2024-03-08,0.12134
2024-03-09,0.12134
2024-03-10,0.12134
2024-03-11,0.12002
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.11966
2024-03-16,0.11966
2024-03-17,0.11966
2024-03-18,0.12122
2024-03-19,0.1176
2024-03-20,0.11926
2024-03-21,0.11652
2024-03-22,0.11512
2024-03-23,0.11512
2024-03-24,0.11512
2024-03-25,0.11256
2024-03-26,0.11534
2024-03-27,0.11482
2024-03-28,0.11656
2024-03-29,0.11802
2024-03-30,0.11802
2024-03-31,0.11802
2024-04-01,0.11902
2024-04-02,0.12082
2024-04-03,0.12078
2024-04-04,0.12564
2024-04-05,0.12386
2024-04-06,0.12386
2024-04-07,0.12386
2024-04-08,0.12476
2024-04-09,0.12342
2024-04-10,0.1227
2024-04-11,0.12182
2024-04-12,0.12114
2024-04-13,0.12114
2024-04-14,0.12114
2024-04-15,0.1227
2024-04-16,0.123
2024-04-17,0.12306
2024-04-18,0.122
2024-04-19,0.12266
2024-04-20,0.12266
2024-04-21,0.12266
2024-04-22,0.1232
2024-04-23,0.1215
2024-04-24,0.1206
2024-04-25,0.12056
2024-04-26,0.12482
2024-04-27,0.12418
2024-04-28,0.12418
2024-04-29,0.12828
2024-04-30,0.13074
2024-05-01,0.13074
2024-05-02,0.12888
2024-05-03,0.1295
2024-05-04,0.1295
2024-05-05,0.1295
2024-05-06,0.131
2024-05-07,0.12984
2024-05-08,0.128
2024-05-09,0.128
2024-05-10,0.12806
2024-05-11,0.12806
2024-05-12,0.12806
2024-05-13,0.12754
2024-05-14,0.12504
2024-05-15,0.12452
2024-05-16,0.1246
2024-05-17,0.1248
2024-05-18,0.1248
2024-05-19,0.1248
2024-05-20,0.1213
2024-05-21,0.11654
2024-05-22,0.12056
2024-05-23,0.11984
2024-05-24,0.11536
2024-05-25,0.11536
2024-05-26,0.11536
2024-05-27,0.108
2024-05-28,0.10798
2024-05-29,0.105
2024-05-30,0.10642
2024-05-31,0.10238
2024-06-01,0.10238
2024-06-02,0.10238
2024-06-03,0.10188
2024-06-04,0.10466
2024-06-05,0.10464
2024-06-06,0.10348
2024-06-07,0.10822
2024-06-08,0.10822
2024-06-09,0.10822
2024-06-10,0.10438
2024-06-11,0.10226
2024-06-12,0.10226
2024-06-13,0.1032
2024-06-14,0.1078
2024-06-15,0.1078
2024-06-16,0.1078
2024-06-17,0.10634
2024-06-18,0.10496
2024-06-19,0.10082
2024-06-20,0.10682
2024-06-21,0.10534
2024-06-22,0.10534
2024-06-23,0.10534
2024-06-24,0.10492
2024-06-25,0.1066
2024-06-26,0.10528
2024-06-27,0.105
2024-06-28,0.1055
2024-06-29,0.1055
2024-06-30,0.1055
2024-07-01,0.10582
2024-07-02,0.10696
2024-07-03,0.10528
2024-07-04,0.1026
2024-07-05,0.10214
2024-07-06,0.10214
2024-07-07,0.10214
2024-07-08,0.10088
2024-07-09,0.09676
2024-07-10,0.0948
2024-07-11,0.09728
2024-07-12,0.09454
2024-07-13,0.09454
2024-07-14,0.09454
2024-07-15,0.09338
2024-07-16,0.09466
2024-07-17,0.09584
2024-07-18,0.09758
2024-07-19,0.0971
2024-07-20,0.0971
2024-07-21,0.0971
2024-07-22,0.09738
2024-07-23,0.09894
2024-07-24,0.10022
2024-07-25,0.10148
2024-07-26,0.09788
2024-07-27,0.09788
2024-07-28,0.09788
2024-07-29,0.09564
2024-07-30,0.09758
2024-07-31,0.09976
2024-08-01,0.10014
2024-08-02,0.09914
2024-08-03,0.09914
2024-08-04,0.09914
2024-08-05,0.09488
2024-08-06,0.09534
2024-08-07,0.0977
2024-08-08,0.0967
2024-08-09,0.0962
2024-08-10,0.0962
2024-08-11,0.0962
2024-08-12,0.09772
2024-08-13,0.10094
2024-08-14,0.1017
2024-08-15,0.10028
2024-08-16,0.1009
2024-08-17,0.1009
2024-08-18,0.1009
2024-08-19,0.0993
2024-08-20,0.0984
2024-08-21,0.09976
2024-08-22,0.09702
2024-08-23,0.09138
2024-08-24,0.09138
2024-08-25,0.09138
2024-08-26,0.09538
2024-08-27,0.09298
2024-08-28,0.09286
2024-08-29,0.0914
2024-08-30,0.08886
2024-08-31,0.08886
2024-09-01,0.08886
2024-09-02,0.0788
2024-09-03,0.07646
2024-09-04,0.08074
2024-09-05,0.08208
2024-09-06,0.0797
2024-09-07,0.0797
2024-09-08,0.0797
2024-09-09,0.08488
2024-09-10,0.082
2024-09-11,0.08116
2024-09-12,0.07954
2024-09-13,0.08166
2024-09-14,0.08166
2024-09-15,0.08166
2024-09-16,0.08388
2024-09-17,0.0853
2024-09-18,0.08484
2024-09-19,0.08418
2024-09-20,0.08532
2024-09-21,0.08532
2024-09-22,0.08532
2024-09-23,0.08656
2024-09-24,0.08702
2024-09-25,0.0861
2024-09-26,0.0854
2024-09-27,0.08614
2024-09-28,0.08614
2024-09-29,0.08614
2024-09-30,0.0866
2024-10-01,0.08326
2024-10-02,0.08166
2024-10-03,0.0825
2024-10-04,0.08332
2024-10-05,0.08332
2024-10-06,0.08332
2024-10-07,0.08166
2024-10-08,0.08392
2024-10-09,0.08234
2024-10-10,0.08268
2024-10-11,0.08268
2024-10-12,0.08268
2024-10-13,0.08268
2024-10-14,0.0832
2024-10-15,0.0843
2024-10-16,0.08318
2024-10-17,0.0823
2024-10-18,0.0825
2024-10-19,0.0825
2024-10-20,0.0825
2024-10-21,0.08318
2024-10-22,0.08094
2024-10-23,0.0796
2024-10-24,0.0778
2024-10-25,0.07736
2024-10-26,0.07736
2024-10-27,0.07736
2024-10-28,0.07448
2024-10-29,0.0757
2024-10-30,0.07654
2024-10-31,0.07292
2024-11-01,0.074
2024-11-02,0.07308
2024-11-03,0.07308
2024-11-04,0.07308
2024-11-05,0.07342
2024-11-06,0.07496
2024-11-07,0.0749
2024-11-08,0.07746
2024-11-09,0.07746
2024-11-10,0.07746
2024-11-11,0.0797
2024-11-12,0.07918
2024-11-13,0.08204
2024-11-14,0.08028
2024-11-15,0.0823
2024-11-16,0.0823
2024-11-17,0.0823
2024-11-18,0.08238
2024-11-19,0.07702
2024-11-20,0.07606
2024-11-21,0.07374
2024-11-22,0.07398
2024-11-23,0.07398
2024-11-24,0.07398
2024-11-25,0.0714
2024-11-26,0.06804
2024-11-27,0.0698
2024-11-28,0.07124
2024-11-29,0.07216
2024-11-30,0.07216
2024-12-01,0.07216
2024-12-02,0.0726
2024-12-03,0.0686
2024-12-04,0.0675
2024-12-05,0.0683
2024-12-06,0.06886
2024-12-07,0.06886
2024-12-08,0.06886
2024-12-09,0.07142
2024-12-10,0.06912
2024-12-11,0.0679
2024-12-12,0.06702
2024-12-13,0.0673
2024-12-14,0.0673
2024-12-15,0.0673
2024-12-16,0.06542
2024-12-17,0.06516
