date,price
2023-08-25,114.95
2023-08-26,114.95
2023-08-27,114.95
2023-08-28,114.11
2023-08-29,113.0
2023-08-30,113.27
2023-08-31,113.08
2023-09-01,114.2
2023-09-02,114.2
2023-09-03,114.2
2023-09-04,115.6
2023-09-05,114.31
2023-09-06,114.0
2023-09-07,112.63
2023-09-08,112.4
2023-09-09,112.4
2023-09-10,112.4
2023-09-11,111.62
2023-09-12,112.91
2023-09-13,112.99
2023-09-14,110.24
2023-09-15,111.0
2023-09-16,111.0
2023-09-17,111.0
2023-09-18,109.95
2023-09-19,107.02
2023-09-20,107.22
2023-09-21,105.61
2023-09-22,107.04
2023-09-23,107.04
2023-09-24,107.04
2023-09-25,113.53
2023-09-26,114.0
2023-09-27,116.49
2023-09-28,121.65
2023-09-29,121.0
2023-09-30,121.0
2023-10-01,121.0
2023-10-02,118.77
2023-10-03,119.3
2023-10-04,118.7
2023-10-05,118.98
2023-10-06,120.73
2023-10-07,120.73
2023-10-08,120.73
2023-10-09,120.4
2023-10-10,119.69
2023-10-11,120.66
2023-10-12,119.1
2023-10-13,120.7
2023-10-14,120.7
2023-10-15,120.7
2023-10-16,121.0
2023-10-17,124.49
2023-10-18,123.03
2023-10-19,123.61
2023-10-20,122.28
2023-10-21,122.28
2023-10-22,122.28
2023-10-23,124.3
2023-10-24,123.17
2023-10-25,123.91
2023-10-26,121.99
2023-10-27,120.8
2023-10-28,120.8
2023-10-29,120.8
2023-10-30,122.54
2023-10-31,121.28
2023-11-01,121.12
2023-11-02,121.35
2023-11-03,120.6
2023-11-04,120.6
2023-11-05,120.6
2023-11-06,120.21
2023-11-07,120.94
2023-11-08,124.3
2023-11-09,123.73
2023-11-10,122.95
2023-11-11,122.95
2023-11-12,122.95
2023-11-13,124.7
2023-11-14,122.9
2023-11-15,123.96
2023-11-16,125.15
2023-11-17,127.47
2023-11-18,127.47
2023-11-19,127.47
2023-11-20,127.43
2023-11-21,127.0
2023-11-22,127.27
2023-11-23,128.2
2023-11-24,128.94
2023-11-25,128.94
2023-11-26,128.94
2023-11-27,129.74
2023-11-28,129.36
2023-11-29,128.19
2023-11-30,127.82
2023-12-01,126.65
2023-12-02,126.65
2023-12-03,126.65
2023-12-04,119.58
2023-12-05,123.62
2023-12-06,121.03
2023-12-07,124.0
2023-12-08,122.55
2023-12-09,122.55
2023-12-10,122.55
2023-12-11,120.0
2023-12-12,119.5
2023-12-13,119.88
2023-12-14,120.57
2023-12-15,124.5
2023-12-16,124.5
2023-12-17,124.5
2023-12-18,129.0
2023-12-19,131.48
2023-12-20,131.21
2023-12-21,135.4
2023-12-22,135.9
2023-12-23,135.9
2023-12-24,135.9
2023-12-25,137.5
2023-12-26,137.43
2023-12-27,147.74
2023-12-28,0.0
2023-12-29,145.14
2023-12-30,145.14
2023-12-31,145.14
2024-01-01,145.14
2024-01-02,145.14
2024-01-03,148.51
2024-01-04,148.9
2024-01-05,143.5
2024-01-06,143.5
2024-01-07,143.5
2024-01-08,143.71
2024-01-09,142.5
2024-01-10,142.01
2024-01-11,143.63
2024-01-12,143.34
2024-01-13,143.34
2024-01-14,143.34
2024-01-15,141.99
2024-01-16,140.24
2024-01-17,142.0
2024-01-18,140.6
2024-01-19,142.4
2024-01-20,142.4
2024-01-21,142.4
2024-01-22,142.16
2024-01-23,141.31
2024-01-24,139.35
2024-01-25,140.3
2024-01-26,139.0
2024-01-27,139.0
2024-01-28,139.0
2024-01-29,138.75
2024-01-30,140.74
2024-01-31,141.7
2024-02-01,141.8
2024-02-02,141.89
2024-02-03,141.89
2024-02-04,141.89
2024-02-05,141.5
2024-02-06,142.44
2024-02-07,143.48
2024-02-08,142.0
2024-02-09,141.66
2024-02-10,141.66
2024-02-11,141.66
2024-02-12,140.7
2024-02-13,141.54
2024-02-14,141.4
2024-02-15,141.58
2024-02-16,140.11
2024-02-17,140.11
2024-02-18,140.11
2024-02-19,140.12
2024-02-20,138.57
2024-02-21,132.54
2024-02-22,134.85
2024-02-23,134.85
2024-02-24,134.85
2024-02-25,134.85
2024-02-26,132.4
2024-02-27,131.89
2024-02-28,132.3
2024-02-29,136.0
2024-03-01,135.5
2024-03-02,135.5
2024-03-03,135.5
