date,price
2023-08-25,175.19
2023-08-26,175.19
2023-08-27,175.19
2023-08-28,176.35
2023-08-29,179.3
2023-08-30,177.21
2023-08-31,177.94
2023-09-01,178.85
2023-09-02,178.85
2023-09-03,178.85
2023-09-04,180.91
2023-09-05,179.8
2023-09-06,181.32
2023-09-07,177.05
2023-09-08,175.7
2023-09-09,175.7
2023-09-10,175.7
2023-09-11,175.2
2023-09-12,176.5
2023-09-13,174.57
2023-09-14,174.7
2023-09-15,174.3
2023-09-16,174.3
2023-09-17,174.3
2023-09-18,172.65
2023-09-19,170.48
2023-09-20,169.19
2023-09-21,166.05
2023-09-22,166.7
2023-09-23,166.7
2023-09-24,166.7
2023-09-25,166.8
2023-09-26,165.85
2023-09-27,165.51
2023-09-28,167.17
2023-09-29,167.7
2023-09-30,167.7
2023-10-01,167.7
2023-10-02,165.8
2023-10-03,166.97
2023-10-04,165.8
2023-10-05,165.36
2023-10-06,166.15
2023-10-07,166.15
2023-10-08,166.15
2023-10-09,167.3
2023-10-10,167.33
2023-10-11,169.6
2023-10-12,169.56
2023-10-13,169.72
2023-10-14,169.72
2023-10-15,169.72
2023-10-16,172.13
2023-10-17,172.0
2023-10-18,170.55
2023-10-19,170.79
2023-10-20,171.85
2023-10-21,171.85
2023-10-22,171.85
2023-10-23,171.0
2023-10-24,170.8
2023-10-25,169.99
2023-10-26,168.66
2023-10-27,167.71
2023-10-28,167.71
2023-10-29,167.71
2023-10-30,167.73
2023-10-31,168.24
2023-11-01,169.52
2023-11-02,168.47
2023-11-03,169.63
2023-11-04,169.63
2023-11-05,169.63
2023-11-06,169.94
2023-11-07,169.73
2023-11-08,168.65
2023-11-09,169.17
2023-11-10,168.17
2023-11-11,168.17
2023-11-12,168.17
2023-11-13,168.5
2023-11-14,166.65
2023-11-15,167.0
2023-11-16,166.44
2023-11-17,165.74
2023-11-18,165.74
2023-11-19,165.74
2023-11-20,165.88
2023-11-21,165.68
2023-11-22,165.48
2023-11-23,164.86
2023-11-24,165.0
2023-11-25,165.0
2023-11-26,165.0
2023-11-27,163.24
2023-11-28,164.79
2023-11-29,162.71
2023-11-30,163.33
2023-12-01,163.7
2023-12-02,163.7
2023-12-03,163.7
2023-12-04,160.57
2023-12-05,160.62
2023-12-06,159.16
2023-12-07,162.33
2023-12-08,162.22
2023-12-09,162.22
2023-12-10,162.22
2023-12-11,165.2
2023-12-12,162.5
2023-12-13,164.14
2023-12-14,161.7
2023-12-15,163.8
2023-12-16,163.8
2023-12-17,163.8
2023-12-18,166.03
2023-12-19,165.45
2023-12-20,164.2
2023-12-21,161.52
2023-12-22,162.23
2023-12-23,162.23
2023-12-24,162.23
2023-12-25,161.13
2023-12-26,160.88
2023-12-27,160.0
2023-12-28,0.0
2023-12-29,159.89
2023-12-30,159.89
2023-12-31,159.89
2024-01-01,159.89
2024-01-02,159.89
2024-01-03,161.38
2024-01-04,161.19
2024-01-05,162.1
2024-01-06,162.1
2024-01-07,162.1
2024-01-08,163.0
2024-01-09,162.25
2024-01-10,163.05
2024-01-11,162.86
2024-01-12,163.43
2024-01-13,163.43
2024-01-14,163.43
2024-01-15,163.75
2024-01-16,163.79
2024-01-17,164.0
2024-01-18,166.46
2024-01-19,166.33
2024-01-20,166.33
2024-01-21,166.33
2024-01-22,166.38
2024-01-23,167.6
2024-01-24,166.63
2024-01-25,165.75
2024-01-26,163.97
2024-01-27,163.97
2024-01-28,163.97
2024-01-29,163.67
2024-01-30,163.49
2024-01-31,165.39
2024-02-01,165.62
2024-02-02,166.24
2024-02-03,166.24
2024-02-04,166.24
2024-02-05,165.14
2024-02-06,164.6
2024-02-07,165.19
2024-02-08,163.88
2024-02-09,163.89
2024-02-10,163.89
2024-02-11,163.89
2024-02-12,163.15
2024-02-13,162.02
2024-02-14,162.19
2024-02-15,162.0
2024-02-16,161.57
2024-02-17,161.57
2024-02-18,161.57
2024-02-19,161.57
2024-02-20,160.07
2024-02-21,158.3
2024-02-22,158.1
2024-02-23,158.1
2024-02-24,158.1
2024-02-25,158.1
2024-02-26,159.78
2024-02-27,159.38
2024-02-28,161.02
2024-02-29,161.6
2024-03-01,161.71
2024-03-02,161.71
2024-03-03,161.71
2024-03-04,161.52
2024-03-05,161.48
2024-03-06,161.59
2024-03-07,0.0
2024-03-08,161.06
2024-03-09,161.06
2024-03-10,161.06
2024-03-11,160.82
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,160.52
2024-03-16,160.52
2024-03-17,160.52
2024-03-18,160.72
2024-03-19,158.37
2024-03-20,158.22
2024-03-21,158.48
2024-03-22,157.22
2024-03-23,157.22
2024-03-24,157.22
2024-03-25,156.99
2024-03-26,158.09
2024-03-27,157.87
2024-03-28,157.57
2024-03-29,157.74
2024-03-30,157.74
2024-03-31,157.74
2024-04-01,158.02
2024-04-02,162.02
2024-04-03,163.5
2024-04-04,163.51
2024-04-05,163.57
2024-04-06,163.57
2024-04-07,163.57
2024-04-08,163.67
2024-04-09,163.88
2024-04-10,164.99
2024-04-11,166.06
2024-04-12,165.3
2024-04-13,165.3
2024-04-14,165.3
2024-04-15,164.35
2024-04-16,164.1
2024-04-17,165.37
2024-04-18,165.62
2024-04-19,167.28
2024-04-20,167.28
2024-04-21,167.28
2024-04-22,166.14
2024-04-23,163.3
2024-04-24,163.11
2024-04-25,163.05
2024-04-26,162.11
2024-04-27,164.8
2024-04-28,164.8
2024-04-29,164.35
2024-04-30,163.59
2024-05-01,163.59
2024-05-02,157.65
2024-05-03,155.02
2024-05-04,155.02
2024-05-05,155.02
2024-05-06,153.45
2024-05-07,154.37
2024-05-08,154.25
2024-05-09,154.25
2024-05-10,154.59
2024-05-11,154.59
2024-05-12,154.59
2024-05-13,155.52
2024-05-14,156.21
2024-05-15,156.75
2024-05-16,157.25
2024-05-17,155.06
2024-05-18,155.06
2024-05-19,155.06
2024-05-20,151.8
2024-05-21,139.43
2024-05-22,139.38
2024-05-23,134.9
2024-05-24,133.75
2024-05-25,133.75
2024-05-26,133.75
2024-05-27,127.7
2024-05-28,128.09
2024-05-29,128.26
2024-05-30,126.79
2024-05-31,126.31
2024-06-01,126.31
2024-06-02,126.31
2024-06-03,123.09
2024-06-04,123.81
2024-06-05,124.35
2024-06-06,123.55
2024-06-07,122.5
2024-06-08,122.5
2024-06-09,122.5
2024-06-10,118.45
2024-06-11,117.68
2024-06-12,117.68
2024-06-13,119.63
2024-06-14,121.41
2024-06-15,121.41
2024-06-16,121.41
2024-06-17,121.56
2024-06-18,118.1
2024-06-19,113.06
2024-06-20,115.63
2024-06-21,115.57
2024-06-22,115.57
2024-06-23,115.57
2024-06-24,113.5
2024-06-25,113.79
2024-06-26,116.89
2024-06-27,116.02
2024-06-28,116.0
2024-06-29,116.0
2024-06-30,116.0
2024-07-01,119.62
2024-07-02,126.63
2024-07-03,126.29
2024-07-04,122.61
2024-07-05,126.43
2024-07-06,126.43
2024-07-07,126.43
2024-07-08,127.26
2024-07-09,124.0
2024-07-10,119.43
2024-07-11,121.04
2024-07-12,119.4
2024-07-13,119.4
2024-07-14,119.4
2024-07-15,118.74
2024-07-16,123.87
2024-07-17,125.36
2024-07-18,128.73
2024-07-19,130.82
2024-07-20,130.82
2024-07-21,130.82
2024-07-22,131.27
2024-07-23,133.77
2024-07-24,136.71
2024-07-25,135.87
2024-07-26,134.55
2024-07-27,134.55
2024-07-28,134.55
2024-07-29,130.53
2024-07-30,132.89
2024-07-31,133.3
2024-08-01,132.48
2024-08-02,131.31
2024-08-03,131.31
2024-08-04,131.31
2024-08-05,127.85
2024-08-06,128.41
2024-08-07,130.07
2024-08-08,128.38
2024-08-09,129.09
2024-08-10,129.09
2024-08-11,129.09
2024-08-12,128.22
2024-08-13,130.03
2024-08-14,129.99
2024-08-15,127.63
2024-08-16,126.6
2024-08-17,126.6
2024-08-18,126.6
2024-08-19,125.75
2024-08-20,125.5
2024-08-21,123.66
2024-08-22,119.0
2024-08-23,116.26
2024-08-24,116.26
