date,price
2023-08-25,16116.0
2023-08-26,16116.0
2023-08-27,16116.0
2023-08-28,16724.0
2023-08-29,16564.0
2023-08-30,16676.0
2023-08-31,16834.0
2023-09-01,16808.0
2023-09-02,16808.0
2023-09-03,16808.0
2023-09-04,17102.0
2023-09-05,17000.0
2023-09-06,16922.0
2023-09-07,16504.0
2023-09-08,16302.0
2023-09-09,16302.0
2023-09-10,16302.0
2023-09-11,16346.0
2023-09-12,16490.0
2023-09-13,16402.0
2023-09-14,16350.0
2023-09-15,16440.0
2023-09-16,16440.0
2023-09-17,16440.0
2023-09-18,16376.0
2023-09-19,16110.0
2023-09-20,16108.0
2023-09-21,16064.0
2023-09-22,16068.0
2023-09-23,16068.0
2023-09-24,16068.0
2023-09-25,15880.0
2023-09-26,15968.0
2023-09-27,16078.0
2023-09-28,16162.0
2023-09-29,16218.0
2023-09-30,16218.0
2023-10-01,16218.0
2023-10-02,16150.0
2023-10-03,16156.0
2023-10-04,16106.0
2023-10-05,16186.0
2023-10-06,16200.0
2023-10-07,16200.0
2023-10-08,16200.0
2023-10-09,16286.0
2023-10-10,16296.0
2023-10-11,16392.0
2023-10-12,16324.0
2023-10-13,16306.0
2023-10-14,16306.0
2023-10-15,16306.0
2023-10-16,16466.0
2023-10-17,16450.0
2023-10-18,16450.0
2023-10-19,16808.0
2023-10-20,17156.0
2023-10-21,17156.0
2023-10-22,17156.0
2023-10-23,17176.0
2023-10-24,17180.0
2023-10-25,17300.0
2023-10-26,17252.0
2023-10-27,17598.0
2023-10-28,17598.0
2023-10-29,17598.0
2023-10-30,17568.0
2023-10-31,17524.0
2023-11-01,17650.0
2023-11-02,17896.0
2023-11-03,17998.0
2023-11-04,17998.0
2023-11-05,17998.0
2023-11-06,17744.0
2023-11-07,17714.0
2023-11-08,17524.0
2023-11-09,17410.0
2023-11-10,17390.0
2023-11-11,17390.0
2023-11-12,17390.0
2023-11-13,17454.0
2023-11-14,17240.0
2023-11-15,17146.0
2023-11-16,17008.0
2023-11-17,17144.0
2023-11-18,17144.0
2023-11-19,17144.0
2023-11-20,17148.0
2023-11-21,17170.0
2023-11-22,17198.0
2023-11-23,17248.0
2023-11-24,17120.0
2023-11-25,17120.0
2023-11-26,17120.0
2023-11-27,17116.0
2023-11-28,17098.0
2023-11-29,16950.0
2023-11-30,16774.0
2023-12-01,16728.0
2023-12-02,16728.0
2023-12-03,16728.0
2023-12-04,16704.0
2023-12-05,16792.0
2023-12-06,16502.0
2023-12-07,16784.0
