date,price
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-08-28,0.0
2024-08-29,0.0
2024-08-30,0.0
2024-08-31,0.0
2024-09-01,0.0
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,0.0
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.0
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,0.0
2024-09-26,3935.0
2024-09-27,4198.0
2024-09-28,4198.0
2024-09-29,4198.0
2024-09-30,4498.0
2024-10-01,4281.0
2024-10-02,4226.0
2024-10-03,4280.0
2024-10-04,4240.0
2024-10-05,4240.0
2024-10-06,4240.0
2024-10-07,4164.0
2024-10-08,4201.0
2024-10-09,4170.0
2024-10-10,4189.0
2024-10-11,4140.0
2024-10-12,4140.0
2024-10-13,4140.0
2024-10-14,4150.0
2024-10-15,4149.0
2024-10-16,4117.0
2024-10-17,4113.0
2024-10-18,4070.0
2024-10-19,4070.0
2024-10-20,4070.0
2024-10-21,4060.0
2024-10-22,3998.0
2024-10-23,4090.0
2024-10-24,4195.0
2024-10-25,4160.0
2024-10-26,4160.0
2024-10-27,4160.0
2024-10-28,4100.0
2024-10-29,4312.0
2024-10-30,4290.0
2024-10-31,4190.0
2024-11-01,4228.0
2024-11-02,4245.0
2024-11-03,4245.0
2024-11-04,4245.0
2024-11-05,4262.0
2024-11-06,4297.0
2024-11-07,4313.0
2024-11-08,4399.0
2024-11-09,4399.0
2024-11-10,4399.0
2024-11-11,4400.0
2024-11-12,4385.0
2024-11-13,4498.0
2024-11-14,4435.0
2024-11-15,4466.0
2024-11-16,4466.0
