date,price
2023-08-25,4.1255
2023-08-26,4.1255
2023-08-27,4.1255
2023-08-28,4.1515
2023-08-29,4.1905
2023-08-30,4.17
2023-08-31,4.184
2023-09-01,4.19
2023-09-02,4.19
2023-09-03,4.19
2023-09-04,4.2745
2023-09-05,4.355
2023-09-06,4.4395
2023-09-07,4.408
2023-09-08,4.3735
2023-09-09,4.3735
2023-09-10,4.3735
2023-09-11,4.2895
2023-09-12,4.3375
2023-09-13,4.31
2023-09-14,4.2785
2023-09-15,4.2915
2023-09-16,4.2915
2023-09-17,4.2915
2023-09-18,4.2735
2023-09-19,4.26
2023-09-20,4.221
2023-09-21,4.184
2023-09-22,4.2365
2023-09-23,4.2365
2023-09-24,4.2365
2023-09-25,4.243
2023-09-26,4.224
2023-09-27,4.219
2023-09-28,4.3325
2023-09-29,4.27
2023-09-30,4.27
2023-10-01,4.27
2023-10-02,4.4295
2023-10-03,4.4030000000000005
2023-10-04,4.356
2023-10-05,4.3915
2023-10-06,4.359
2023-10-07,4.359
2023-10-08,4.359
2023-10-09,4.4235
2023-10-10,4.421
2023-10-11,4.406
2023-10-12,4.3955
2023-10-13,4.439
2023-10-14,4.439
2023-10-15,4.439
2023-10-16,4.4475
2023-10-17,4.4675
2023-10-18,4.4235
2023-10-19,4.455
2023-10-20,4.4385
2023-10-21,4.4385
2023-10-22,4.4385
2023-10-23,4.4965
2023-10-24,4.521
2023-10-25,4.51
2023-10-26,4.3870000000000005
2023-10-27,4.3725
2023-10-28,4.3725
2023-10-29,4.3725
2023-10-30,4.365
2023-10-31,4.309
2023-11-01,4.271
2023-11-02,4.2455
2023-11-03,4.22
2023-11-04,4.22
2023-11-05,4.22
2023-11-06,4.2585
2023-11-07,4.258
2023-11-08,4.3145
2023-11-09,4.28
2023-11-10,4.26
2023-11-11,4.26
2023-11-12,4.26
2023-11-13,4.273
2023-11-14,4.279
2023-11-15,4.24
2023-11-16,4.2145
2023-11-17,4.2215
2023-11-18,4.2215
2023-11-19,4.2215
2023-11-20,4.244
2023-11-21,4.3
2023-11-22,4.29
2023-11-23,4.2595
2023-11-24,4.231
2023-11-25,4.231
2023-11-26,4.231
2023-11-27,4.202
2023-11-28,4.226
2023-11-29,4.175
2023-11-30,4.179
2023-12-01,4.1145
2023-12-02,4.1145
2023-12-03,4.1145
2023-12-04,4.0485
2023-12-05,4.041
2023-12-06,3.975
2023-12-07,3.99
2023-12-08,4.013
2023-12-09,4.013
2023-12-10,4.013
2023-12-11,3.993
2023-12-12,3.9314999999999998
2023-12-13,3.9005
2023-12-14,3.93
2023-12-15,3.955
2023-12-16,3.955
2023-12-17,3.955
2023-12-18,3.9805
2023-12-19,3.9939999999999998
2023-12-20,4.039
2023-12-21,3.985
