date,price
2023-08-25,6560.0
2023-08-26,6560.0
2023-08-27,6560.0
2023-08-28,6620.5
2023-08-29,6715.0
2023-08-30,6842.0
2023-08-31,6840.0
2023-09-01,6823.0
2023-09-02,6823.0
2023-09-03,6823.0
2023-09-04,6860.0
2023-09-05,6900.5
2023-09-06,6855.5
2023-09-07,6645.0
2023-09-08,6628.0
2023-09-09,6628.0
2023-09-10,6628.0
2023-09-11,6529.0
2023-09-12,6648.0
2023-09-13,6630.5
2023-09-14,6538.0
2023-09-15,6561.5
2023-09-16,6561.5
2023-09-17,6561.5
2023-09-18,6518.0
2023-09-19,6420.5
2023-09-20,6432.5
2023-09-21,6400.0
2023-09-22,6504.5
2023-09-23,6504.5
2023-09-24,6504.5
2023-09-25,6467.0
2023-09-26,6409.0
2023-09-27,6473.5
2023-09-28,6629.0
2023-09-29,6687.0
2023-09-30,6687.0
2023-10-01,6687.0
2023-10-02,6714.5
2023-10-03,6761.0
2023-10-04,6721.5
2023-10-05,6725.0
2023-10-06,6774.5
2023-10-07,6774.5
2023-10-08,6774.5
2023-10-09,6870.0
2023-10-10,6837.0
2023-10-11,7059.0
2023-10-12,7075.5
2023-10-13,7193.0
2023-10-14,7193.0
2023-10-15,7193.0
2023-10-16,7328.5
2023-10-17,7371.0
2023-10-18,7471.0
2023-10-19,7464.5
2023-10-20,7501.0
2023-10-21,7501.0
2023-10-22,7501.0
2023-10-23,7480.0
2023-10-24,7440.0
2023-10-25,7369.0
2023-10-26,7230.0
2023-10-27,7245.0
2023-10-28,7245.0
2023-10-29,7245.0
2023-10-30,7257.0
2023-10-31,7169.5
2023-11-01,7240.5
2023-11-02,7218.0
2023-11-03,7235.0
2023-11-04,7235.0
2023-11-05,7235.0
2023-11-06,7354.5
2023-11-07,7350.0
2023-11-08,7310.0
2023-11-09,7298.0
2023-11-10,7289.0
2023-11-11,7289.0
2023-11-12,7289.0
2023-11-13,7297.5
2023-11-14,7211.0
2023-11-15,7233.0
2023-11-16,7152.0
2023-11-17,7228.5
2023-11-18,7228.5
2023-11-19,7228.5
2023-11-20,7211.0
2023-11-21,7200.0
2023-11-22,7290.0
2023-11-23,7266.0
2023-11-24,7295.0
2023-11-25,7295.0
2023-11-26,7295.0
2023-11-27,7235.5
2023-11-28,7216.0
2023-11-29,7187.0
2023-11-30,7275.0
2023-12-01,7209.5
2023-12-02,7209.5
2023-12-03,7209.5
2023-12-04,7150.5
2023-12-05,7223.5
2023-12-06,7131.0
2023-12-07,7085.0
2023-12-08,7144.0
2023-12-09,7144.0
2023-12-10,7144.0
2023-12-11,6985.0
2023-12-12,7002.5
2023-12-13,7042.0
2023-12-14,6914.5
2023-12-15,6550.0
2023-12-16,6550.0
2023-12-17,6550.0
2023-12-18,6702.0
2023-12-19,6697.5
2023-12-20,6779.0
2023-12-21,6712.5
2023-12-22,6739.0
2023-12-23,6739.0
2023-12-24,6739.0
2023-12-25,6760.0
2023-12-26,6745.0
2023-12-27,6775.5
2023-12-28,0.0
2023-12-29,6768.0
2023-12-30,6768.0
2023-12-31,6768.0
2024-01-01,6768.0
2024-01-02,6768.0
2024-01-03,6802.0
2024-01-04,6784.5
2024-01-05,6781.5
2024-01-06,6781.5
2024-01-07,6781.5
2024-01-08,6789.0
2024-01-09,6911.5
2024-01-10,6953.0
2024-01-11,6990.0
2024-01-12,6962.0
2024-01-13,6962.0
2024-01-14,6962.0
2024-01-15,6890.0
2024-01-16,6862.5
2024-01-17,6888.5
2024-01-18,6860.0
2024-01-19,6865.0
2024-01-20,6865.0
2024-01-21,6865.0
2024-01-22,6838.0
2024-01-23,6802.5
2024-01-24,6800.0
2024-01-25,6774.0
2024-01-26,6862.0
2024-01-27,6862.0
2024-01-28,6862.0
2024-01-29,6933.0
2024-01-30,6990.0
2024-01-31,7095.5
2024-02-01,7095.0
2024-02-02,7114.5
2024-02-03,7114.5
2024-02-04,7114.5
2024-02-05,7128.0
2024-02-06,7154.0
2024-02-07,7251.5
2024-02-08,7248.0
2024-02-09,7260.0
2024-02-10,7260.0
2024-02-11,7260.0
2024-02-12,7280.0
2024-02-13,7255.5
2024-02-14,7250.0
2024-02-15,7273.0
2024-02-16,7227.0
2024-02-17,7227.0
2024-02-18,7227.0
2024-02-19,7199.5
2024-02-20,7120.0
2024-02-21,6993.0
2024-02-22,6981.5
2024-02-23,6981.5
2024-02-24,6981.5
2024-02-25,6981.5
2024-02-26,7142.5
2024-02-27,7117.5
2024-02-28,7202.0
2024-02-29,7397.0
2024-03-01,7444.0
2024-03-02,7444.0
2024-03-03,7444.0
2024-03-04,7503.0
2024-03-05,7510.0
2024-03-06,7517.0
2024-03-07,0.0
2024-03-08,7501.0
2024-03-09,7501.0
2024-03-10,7501.0
2024-03-11,7545.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,7365.0
2024-03-16,7365.0
2024-03-17,7365.0
2024-03-18,7338.5
2024-03-19,7313.0
2024-03-20,7370.0
2024-03-21,7420.0
2024-03-22,7350.0
2024-03-23,7350.0
2024-03-24,7350.0
2024-03-25,7431.0
2024-03-26,7429.0
2024-03-27,7497.0
2024-03-28,7484.0
2024-03-29,7564.0
2024-03-30,7564.0
2024-03-31,7564.0
2024-04-01,7657.0
2024-04-02,7650.5
2024-04-03,7667.0
2024-04-04,7762.0
2024-04-05,7729.0
2024-04-06,7729.0
2024-04-07,7729.0
2024-04-08,7771.0
2024-04-09,7763.0
2024-04-10,7825.5
2024-04-11,7830.0
2024-04-12,7833.5
2024-04-13,7833.5
2024-04-14,7833.5
2024-04-15,7890.0
2024-04-16,7875.0
2024-04-17,7885.5
2024-04-18,7839.0
2024-04-19,7845.0
2024-04-20,7845.0
2024-04-21,7845.0
2024-04-22,7850.0
2024-04-23,7820.0
2024-04-24,7816.5
2024-04-25,7827.5
2024-04-26,7885.0
2024-04-27,7997.0
2024-04-28,7997.0
2024-04-29,8142.0
2024-04-30,8097.0
2024-05-01,8097.0
2024-05-02,8075.0
2024-05-03,8099.0
2024-05-04,8099.0
2024-05-05,8099.0
2024-05-06,7971.0
2024-05-07,7726.5
2024-05-08,7705.0
2024-05-09,7705.0
2024-05-10,7724.0
2024-05-11,7724.0
2024-05-12,7724.0
2024-05-13,7701.0
2024-05-14,7674.0
2024-05-15,7640.0
2024-05-16,7691.0
2024-05-17,7856.5
2024-05-18,7856.5
2024-05-19,7856.5
2024-05-20,7800.0
2024-05-21,7804.5
2024-05-22,7837.0
2024-05-23,7861.0
2024-05-24,7750.0
2024-05-25,7750.0
2024-05-26,7750.0
2024-05-27,7600.0
2024-05-28,7605.0
2024-05-29,7653.0
2024-05-30,7600.0
2024-05-31,7409.5
2024-06-01,7409.5
2024-06-02,7409.5
2024-06-03,7200.0
2024-06-04,7315.0
2024-06-05,7484.5
2024-06-06,7403.0
2024-06-07,7469.0
2024-06-08,7469.0
2024-06-09,7469.0
2024-06-10,7330.0
2024-06-11,7276.0
2024-06-12,7276.0
2024-06-13,7248.0
2024-06-14,7393.0
2024-06-15,7393.0
2024-06-16,7393.0
2024-06-17,7243.0
2024-06-18,7089.0
2024-06-19,6902.0
2024-06-20,7163.0
2024-06-21,7105.0
2024-06-22,7105.0
2024-06-23,7105.0
2024-06-24,7092.5
2024-06-25,7138.0
2024-06-26,7280.0
2024-06-27,7216.5
2024-06-28,7209.0
2024-06-29,7209.0
2024-06-30,7209.0
2024-07-01,7300.0
2024-07-02,7325.0
2024-07-03,7269.5
2024-07-04,7101.5
2024-07-05,7192.0
2024-07-06,7192.0
2024-07-07,7192.0
2024-07-08,7106.0
2024-07-09,6995.0
2024-07-10,6772.5
2024-07-11,6910.0
2024-07-12,6867.0
2024-07-13,6867.0
2024-07-14,6867.0
2024-07-15,6807.0
2024-07-16,6831.5
2024-07-17,6811.0
2024-07-18,6906.0
2024-07-19,6935.0
2024-07-20,6935.0
2024-07-21,6935.0
2024-07-22,6982.5
2024-07-23,6980.0
2024-07-24,6983.0
2024-07-25,6947.5
2024-07-26,6910.5
2024-07-27,6910.5
2024-07-28,6910.5
2024-07-29,6715.0
2024-07-30,6795.0
2024-07-31,6738.0
2024-08-01,6705.0
2024-08-02,6611.0
2024-08-03,6611.0
2024-08-04,6611.0
2024-08-05,6432.0
2024-08-06,6426.5
2024-08-07,6531.0
2024-08-08,6447.0
2024-08-09,6412.0
2024-08-10,6412.0
2024-08-11,6412.0
2024-08-12,6406.0
2024-08-13,6446.5
2024-08-14,6421.5
2024-08-15,6353.0
2024-08-16,6304.5
2024-08-17,6304.5
2024-08-18,6304.5
2024-08-19,6151.0
2024-08-20,6156.5
2024-08-21,6275.0
2024-08-22,6430.0
2024-08-23,6350.0
2024-08-24,6350.0
2024-08-25,6350.0
2024-08-26,6598.0
2024-08-27,6501.0
2024-08-28,6395.5
2024-08-29,6295.0
2024-08-30,6203.0
2024-08-31,6203.0
2024-09-01,6203.0
2024-09-02,6083.0
2024-09-03,6145.0
2024-09-04,6235.0
2024-09-05,6289.0
2024-09-06,6294.0
2024-09-07,6294.0
2024-09-08,6294.0
2024-09-09,6496.5
2024-09-10,6439.0
2024-09-11,6490.0
2024-09-12,6400.0
2024-09-13,6591.0
2024-09-14,6591.0
2024-09-15,6591.0
2024-09-16,6800.0
2024-09-17,6828.5
2024-09-18,6755.0
2024-09-19,6794.0
2024-09-20,6870.0
2024-09-21,6870.0
2024-09-22,6870.0
2024-09-23,6980.0
2024-09-24,6954.0
2024-09-25,6860.0
2024-09-26,6878.5
