date,price
2025-02-12,36.195
2025-02-13,36.86
2025-02-14,36.45
2025-02-15,
2025-02-16,
2025-02-17,38.305
2025-02-18,37.755
2025-02-19,37.69
2025-02-20,37.77
2025-02-21,39.41
2025-02-22,
2025-02-23,
2025-02-24,41.29
2025-02-25,41.125
2025-02-26,39.85
2025-02-27,38.965
2025-02-28,39.315
2025-03-01,
2025-03-02,
2025-03-03,38.835
2025-03-04,40.52
2025-03-05,40.515
2025-03-06,40.9
2025-03-07,40.065
2025-03-08,
2025-03-09,
2025-03-10,39.925
2025-03-11,39.76
2025-03-12,39.63
2025-03-13,39.435
2025-03-14,39.33
2025-03-15,
2025-03-16,
2025-03-17,40.415
2025-03-18,39.85
2025-03-19,39.33
2025-03-20,40.185
2025-03-21,39.67
2025-03-22,
2025-03-23,
2025-03-24,38.535
2025-03-25,38.79
2025-03-26,38.515
2025-03-27,36.855
2025-03-28,35.57
2025-03-29,
2025-03-30,
2025-03-31,35.34
2025-04-01,34.465
2025-04-02,35.745
2025-04-03,34.625
2025-04-04,33.075
2025-04-05,
2025-04-06,
2025-04-07,32.21
2025-04-08,30.87
2025-04-09,32.85
2025-04-10,32.045
2025-04-11,32.8
2025-04-12,
2025-04-13,
2025-04-14,32.26
2025-04-15,32.6
2025-04-16,32.76
2025-04-17,33.785
2025-04-18,32.485
2025-04-19,
2025-04-20,
2025-04-21,33.365
2025-04-22,35.36
2025-04-23,34.58
2025-04-24,34.325
2025-04-25,34.99
2025-04-26,
2025-04-27,
2025-04-28,34.71
2025-04-29,33.99
2025-04-30,32.815
2025-05-01,
2025-05-02,31.375
2025-05-03,
2025-05-04,
2025-05-05,31.295
2025-05-06,31.665
2025-05-07,31.025
2025-05-08,31.355
2025-05-09,
2025-05-10,
2025-05-11,
2025-05-12,32.4
2025-05-13,31.98
2025-05-14,31.915
2025-05-15,31.475
2025-05-16,31.24
2025-05-17,
2025-05-18,
2025-05-19,31.31
2025-05-20,30.855
2025-05-21,30.6
2025-05-22,30.18
2025-05-23,30.195
2025-05-24,
2025-05-25,
2025-05-26,29.49
2025-05-27,29.73
2025-05-28,31.08
2025-05-29,30.385
2025-05-30,30.93
2025-05-31,
2025-06-01,
2025-06-02,31.3
2025-06-03,32.18
2025-06-04,32.955
2025-06-05,32.76
2025-06-06,31.405
2025-06-07,
2025-06-08,
2025-06-09,30.65
2025-06-10,30.745
2025-06-11,31.515
2025-06-12,
2025-06-13,31.36
2025-06-14,
2025-06-15,
2025-06-16,31.275
2025-06-17,32.66
2025-06-18,32.265
2025-06-19,31.8
2025-06-20,31.615
2025-06-21,
2025-06-22,
2025-06-23,31.495
2025-06-24,31.175
2025-06-25,31.95
2025-06-26,32.485
2025-06-27,33.145
2025-06-28,
2025-06-29,
2025-06-30,34.33
2025-07-01,33.86
2025-07-02,33.8
2025-07-03,34.05
2025-07-04,33.655
2025-07-05,
2025-07-06,
2025-07-07,32.675
2025-07-08,32.515
2025-07-09,33.205
2025-07-10,32.37
2025-07-11,31.35
2025-07-12,
2025-07-13,
2025-07-14,32.65
2025-07-15,33.01
2025-07-16,33.0
2025-07-17,32.97
2025-07-18,34.805
2025-07-19,
2025-07-20,
2025-07-21,34.66
2025-07-22,34.765
2025-07-23,34.24
2025-07-24,33.39
2025-07-25,32.815
2025-07-26,
2025-07-27,
2025-07-28,32.605
2025-07-29,32.49
2025-07-30,32.395
2025-07-31,32.89
2025-08-01,32.805
2025-08-02,
2025-08-03,
2025-08-04,33.095
2025-08-05,33.325
2025-08-06,33.675
2025-08-07,34.36
2025-08-08,35.33
2025-08-09,
2025-08-10,
2025-08-11,37.065
2025-08-12,35.915
2025-08-13,35.995
2025-08-14,35.85
2025-08-15,35.835
2025-08-16,34.835
2025-08-17,34.825
2025-08-18,35.15
2025-08-19,35.47
2025-08-20,34.745
2025-08-21,33.665
2025-08-22,33.905
2025-08-23,34.04
2025-08-24,33.98
2025-08-25,33.765
2025-08-26,33.85
2025-08-27,1069.4
2025-08-28,34.365
2025-08-29,34.365
2025-08-30,33.575
2025-08-31,33.64
2025-09-01,33.01
2025-09-02,32.21
2025-09-03,33.09
