date,price
2023-08-24,777.0
2023-08-25,778.3
2023-08-26,778.3
2023-08-27,778.3
2023-08-28,819.0
2023-08-29,842.3
2023-08-30,848.0
2023-08-31,945.0
2023-09-01,907.0
2023-09-02,907.0
2023-09-03,907.0
2023-09-04,902.0
2023-09-05,889.4
2023-09-06,874.1
2023-09-07,850.2
2023-09-08,859.1
2023-09-09,859.1
2023-09-10,859.1
2023-09-11,874.9
2023-09-12,886.0
2023-09-13,861.0
2023-09-14,827.0
2023-09-15,839.9
2023-09-16,839.9
2023-09-17,839.9
2023-09-18,824.5
2023-09-19,841.1
2023-09-20,825.7
2023-09-21,802.0
2023-09-22,808.7
2023-09-23,808.7
2023-09-24,808.7
2023-09-25,828.0
2023-09-26,837.0
2023-09-27,839.0
2023-09-28,839.5
2023-09-29,842.9
2023-09-30,842.9
2023-10-01,842.9
2023-10-02,849.9
2023-10-03,835.0
2023-10-04,859.0
2023-10-05,842.1
2023-10-06,849.9
2023-10-07,849.9
2023-10-08,849.9
2023-10-09,848.1
2023-10-10,841.8
2023-10-11,850.3
2023-10-12,845.5
2023-10-13,843.8
2023-10-14,843.8
2023-10-15,843.8
2023-10-16,855.0
2023-10-17,869.1
2023-10-18,856.4
2023-10-19,856.3
2023-10-20,849.2
2023-10-21,849.2
2023-10-22,849.2
2023-10-23,865.0
2023-10-24,861.3
2023-10-25,854.3
2023-10-26,828.1
2023-10-27,875.0
2023-10-28,875.0
2023-10-29,875.0
2023-10-30,845.5
2023-10-31,837.8
2023-11-01,834.0
2023-11-02,832.7
2023-11-03,825.9
2023-11-04,825.9
2023-11-05,825.9
2023-11-06,833.7
2023-11-07,849.0
2023-11-08,849.0
2023-11-09,841.0
2023-11-10,831.2
2023-11-11,831.2
2023-11-12,831.2
2023-11-13,828.1
2023-11-14,798.0
2023-11-15,792.6
2023-11-16,795.2
2023-11-17,785.8
2023-11-18,785.8
2023-11-19,785.8
2023-11-20,790.0
2023-11-21,797.9
2023-11-22,819.0
2023-11-23,810.8
2023-11-24,809.0
2023-11-25,809.0
2023-11-26,809.0
2023-11-27,810.3
2023-11-28,792.2
2023-11-29,790.1
2023-11-30,772.0
2023-12-01,750.0
2023-12-02,750.0
2023-12-03,750.0
2023-12-04,720.0
2023-12-05,744.7
2023-12-06,720.2
2023-12-07,705.0
2023-12-08,720.5
2023-12-09,720.5
2023-12-10,720.5
2023-12-11,706.3
2023-12-12,712.0
2023-12-13,730.0
2023-12-14,726.3
2023-12-15,736.2
2023-12-16,736.2
2023-12-17,736.2
2023-12-18,794.0
2023-12-19,786.0
2023-12-20,795.8
2023-12-21,785.7
2023-12-22,810.0
2023-12-23,810.0
2023-12-24,810.0
2023-12-25,821.0
2023-12-26,806.0
2023-12-27,800.0
2023-12-28,0.0
2023-12-29,775.2
2023-12-30,775.2
2023-12-31,775.2
2024-01-01,775.2
2024-01-02,775.2
2024-01-03,809.0
2024-01-04,812.0
2024-01-05,809.1
2024-01-06,809.1
2024-01-07,809.1
2024-01-08,810.3
2024-01-09,827.0
2024-01-10,825.9
2024-01-11,813.2
2024-01-12,819.1
2024-01-13,819.1
2024-01-14,819.1
2024-01-15,828.0
2024-01-16,816.3
2024-01-17,810.2
2024-01-18,802.9
2024-01-19,799.1
2024-01-20,799.1
2024-01-21,799.1
2024-01-22,809.0
2024-01-23,799.3
2024-01-24,804.6
2024-01-25,802.2
2024-01-26,806.0
2024-01-27,806.0
2024-01-28,806.0
2024-01-29,825.2
2024-01-30,848.8
2024-01-31,879.9
2024-02-01,899.0
2024-02-02,895.8
2024-02-03,895.8
2024-02-04,895.8
2024-02-05,931.9
2024-02-06,998.5
2024-02-07,966.8
2024-02-08,949.2
