date,price
2023-08-25,155.0
2023-08-26,155.0
2023-08-27,155.0
2023-08-28,162.0
2023-08-29,161.94
2023-08-30,168.15
2023-08-31,172.45
2023-09-01,168.81
2023-09-02,168.81
2023-09-03,168.81
2023-09-04,170.94
2023-09-05,170.12
2023-09-06,171.01
2023-09-07,169.38
2023-09-08,168.22
2023-09-09,168.22
2023-09-10,168.22
2023-09-11,167.4
2023-09-12,170.79
2023-09-13,169.97
2023-09-14,170.67
2023-09-15,176.3
2023-09-16,176.3
2023-09-17,176.3
2023-09-18,175.5
2023-09-19,173.72
2023-09-20,172.05
2023-09-21,173.3
2023-09-22,182.81
2023-09-23,182.81
2023-09-24,182.81
2023-09-25,182.44
2023-09-26,181.0
2023-09-27,182.77
2023-09-28,178.0
2023-09-29,179.8
2023-09-30,179.8
2023-10-01,179.8
2023-10-02,182.83
2023-10-03,182.55
2023-10-04,182.01
2023-10-05,182.79
2023-10-06,182.29
2023-10-07,182.29
2023-10-08,182.29
2023-10-09,181.04
2023-10-10,182.5
2023-10-11,182.45
2023-10-12,186.49
2023-10-13,185.56
2023-10-14,185.56
2023-10-15,185.56
2023-10-16,187.97
2023-10-17,190.65
2023-10-18,189.79
2023-10-19,190.5
2023-10-20,188.51
2023-10-21,188.51
2023-10-22,188.51
2023-10-23,187.37
2023-10-24,189.45
2023-10-25,187.83
2023-10-26,188.2
2023-10-27,191.68
2023-10-28,191.68
2023-10-29,191.68
2023-10-30,191.54
2023-10-31,190.7
2023-11-01,192.56
2023-11-02,194.63
2023-11-03,201.98
2023-11-04,201.98
2023-11-05,201.98
2023-11-06,205.1
2023-11-07,205.65
2023-11-08,204.5
2023-11-09,205.37
2023-11-10,210.25
2023-11-11,210.25
2023-11-12,210.25
2023-11-13,204.84
2023-11-14,199.8
2023-11-15,202.93
2023-11-16,203.05
2023-11-17,202.13
2023-11-18,202.13
2023-11-19,202.13
2023-11-20,202.12
2023-11-21,205.7
2023-11-22,206.22
2023-11-23,205.03
2023-11-24,205.65
2023-11-25,205.65
2023-11-26,205.65
2023-11-27,207.03
2023-11-28,204.35
2023-11-29,202.0
2023-11-30,199.6
2023-12-01,199.3
2023-12-02,199.3
2023-12-03,199.3
2023-12-04,201.46
2023-12-05,202.97
2023-12-06,201.95
2023-12-07,197.72
2023-12-08,197.38
2023-12-09,197.38
2023-12-10,197.38
2023-12-11,190.3
2023-12-12,187.24
2023-12-13,186.31
2023-12-14,189.95
2023-12-15,194.74
2023-12-16,194.74
2023-12-17,194.74
2023-12-18,202.35
2023-12-19,199.02
2023-12-20,200.7
2023-12-21,193.21
2023-12-22,195.3
2023-12-23,195.3
2023-12-24,195.3
2023-12-25,192.99
2023-12-26,192.25
2023-12-27,190.6
2023-12-28,0.0
2023-12-29,189.13
2023-12-30,189.13
2023-12-31,189.13
2024-01-01,189.13
2024-01-02,189.13
2024-01-03,195.0
2024-01-04,194.27
2024-01-05,192.76
2024-01-06,192.76
2024-01-07,192.76
2024-01-08,192.91
2024-01-09,193.7
2024-01-10,194.47
2024-01-11,192.5
2024-01-12,192.51
2024-01-13,192.51
2024-01-14,192.51
2024-01-15,193.61
2024-01-16,192.16
2024-01-17,193.12
2024-01-18,194.35
2024-01-19,193.15
2024-01-20,193.15
2024-01-21,193.15
2024-01-22,199.83
2024-01-23,198.03
2024-01-24,197.74
2024-01-25,197.4
2024-01-26,197.7
2024-01-27,197.7
2024-01-28,197.7
2024-01-29,202.02
2024-01-30,203.45
2024-01-31,203.88
2024-02-01,205.0
2024-02-02,203.49
2024-02-03,203.49
2024-02-04,203.49
2024-02-05,200.14
2024-02-06,200.47
2024-02-07,202.25
2024-02-08,198.72
2024-02-09,198.96
2024-02-10,198.96
2024-02-11,198.96
2024-02-12,199.96
2024-02-13,199.44
2024-02-14,198.76
2024-02-15,198.34
2024-02-16,195.5
2024-02-17,195.5
2024-02-18,195.5
2024-02-19,197.17
2024-02-20,195.54
2024-02-21,190.56
2024-02-22,191.75
2024-02-23,191.75
2024-02-24,191.75
2024-02-25,191.75
2024-02-26,196.4
2024-02-27,199.56
2024-02-28,199.8
2024-02-29,199.36
2024-03-01,199.8
2024-03-02,199.8
2024-03-03,199.8
2024-03-04,199.62
2024-03-05,199.59
2024-03-06,205.21
2024-03-07,0.0
2024-03-08,208.5
2024-03-09,208.5
2024-03-10,208.5
2024-03-11,208.09
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,210.5
2024-03-16,210.5
2024-03-17,210.5
2024-03-18,208.34
2024-03-19,209.6
2024-03-20,210.86
2024-03-21,212.98
2024-03-22,215.64
2024-03-23,215.64
2024-03-24,215.64
2024-03-25,212.92
2024-03-26,215.0
2024-03-27,220.5
2024-03-28,219.0
2024-03-29,222.3
2024-03-30,222.3
2024-03-31,222.3
2024-04-01,224.55
2024-04-02,228.5
2024-04-03,228.67
2024-04-04,227.08
2024-04-05,231.07
2024-04-06,231.07
2024-04-07,231.07
2024-04-08,230.88
2024-04-09,230.7
2024-04-10,228.99
2024-04-11,226.51
2024-04-12,230.7
2024-04-13,230.7
2024-04-14,230.7
2024-04-15,229.32
2024-04-16,229.1
2024-04-17,228.53
2024-04-18,229.0
2024-04-19,227.9
2024-04-20,227.9
2024-04-21,227.9
2024-04-22,227.75
2024-04-23,226.05
2024-04-24,225.15
2024-04-25,227.58
2024-04-26,229.9
2024-04-27,232.6
2024-04-28,232.6
2024-04-29,235.08
2024-04-30,235.61
2024-05-01,235.61
2024-05-02,234.94
2024-05-03,235.06
2024-05-04,235.06
2024-05-05,235.06
2024-05-06,229.0
2024-05-07,231.91
2024-05-08,231.1
2024-05-09,231.1
2024-05-10,233.2
2024-05-11,233.2
2024-05-12,233.2
2024-05-13,232.25
2024-05-14,232.97
2024-05-15,232.14
2024-05-16,238.4
2024-05-17,239.32
2024-05-18,239.32
2024-05-19,239.32
2024-05-20,235.82
2024-05-21,238.86
2024-05-22,237.78
2024-05-23,237.8
2024-05-24,237.0
2024-05-25,237.0
2024-05-26,237.0
2024-05-27,238.23
2024-05-28,240.19
2024-05-29,245.01
2024-05-30,244.58
2024-05-31,239.93
2024-06-01,239.93
2024-06-02,239.93
2024-06-03,236.35
2024-06-04,246.8
2024-06-05,248.01
2024-06-06,249.0
2024-06-07,248.31
2024-06-08,248.31
2024-06-09,248.31
2024-06-10,248.36
2024-06-11,251.15
2024-06-12,251.15
2024-06-13,244.2
2024-06-14,240.36
2024-06-15,240.36
2024-06-16,240.36
2024-06-17,236.63
2024-06-18,228.88
2024-06-19,228.65
2024-06-20,232.0
2024-06-21,231.0
2024-06-22,231.0
2024-06-23,231.0
2024-06-24,221.46
2024-06-25,225.2
2024-06-26,228.5
2024-06-27,228.54
2024-06-28,228.63
2024-06-29,228.63
2024-06-30,228.63
2024-07-01,230.6
2024-07-02,238.07
2024-07-03,236.99
2024-07-04,235.1
2024-07-05,235.4
2024-07-06,235.4
2024-07-07,235.4
2024-07-08,233.75
2024-07-09,226.97
2024-07-10,222.9
2024-07-11,227.78
2024-07-12,225.99
2024-07-13,225.99
2024-07-14,225.99
2024-07-15,226.0
2024-07-16,226.28
2024-07-17,227.3
2024-07-18,228.61
2024-07-19,231.2
2024-07-20,231.2
2024-07-21,231.2
2024-07-22,233.85
2024-07-23,231.9
2024-07-24,232.96
2024-07-25,233.55
2024-07-26,237.95
2024-07-27,237.95
2024-07-28,237.95
2024-07-29,233.52
2024-07-30,233.36
2024-07-31,230.66
2024-08-01,230.31
2024-08-02,229.6
2024-08-03,229.6
2024-08-04,229.6
2024-08-05,224.6
2024-08-06,226.37
2024-08-07,227.2
2024-08-08,227.55
2024-08-09,226.3
2024-08-10,226.3
2024-08-11,226.3
2024-08-12,227.45
2024-08-13,226.87
2024-08-14,223.8
2024-08-15,224.19
2024-08-16,222.4
2024-08-17,222.4
2024-08-18,222.4
2024-08-19,213.79
2024-08-20,211.44
2024-08-21,209.9
2024-08-22,210.8
2024-08-23,204.57
2024-08-24,204.57
2024-08-25,204.57
2024-08-26,213.12
2024-08-27,210.0
2024-08-28,209.2
2024-08-29,207.71
2024-08-30,203.31
2024-08-31,203.31
2024-09-01,203.31
2024-09-02,193.08
2024-09-03,192.55
2024-09-04,200.34
2024-09-05,196.0
2024-09-06,198.11
2024-09-07,198.11
2024-09-08,198.11
2024-09-09,206.51
2024-09-10,204.42
2024-09-11,205.7
2024-09-12,203.72
2024-09-13,207.52
2024-09-14,207.52
2024-09-15,207.52
2024-09-16,213.3
2024-09-17,216.01
2024-09-18,208.64
2024-09-19,210.75
2024-09-20,212.64
2024-09-21,212.64
2024-09-22,212.64
2024-09-23,217.45
2024-09-24,216.44
2024-09-25,215.83
2024-09-26,213.35
2024-09-27,218.88
2024-09-28,218.88
2024-09-29,218.88
2024-09-30,220.0
2024-10-01,215.2
2024-10-02,212.01
2024-10-03,210.68
2024-10-04,213.28
2024-10-05,213.28
2024-10-06,213.28
2024-10-07,210.15
2024-10-08,212.0
2024-10-09,210.56
2024-10-10,210.95
2024-10-11,206.0
2024-10-12,206.0
2024-10-13,206.0
2024-10-14,208.55
2024-10-15,209.65
2024-10-16,208.5
2024-10-17,206.58
2024-10-18,204.28
2024-10-19,204.28
2024-10-20,204.28
2024-10-21,205.36
2024-10-22,203.91
2024-10-23,202.2
2024-10-24,200.47
2024-10-25,200.16
2024-10-26,200.16
2024-10-27,200.16
2024-10-28,193.13
2024-10-29,194.0
2024-10-30,194.0
2024-10-31,187.12
2024-11-01,186.7
2024-11-02,188.6
2024-11-03,188.6
2024-11-04,188.6
2024-11-05,190.26
2024-11-06,196.15
2024-11-07,198.4
2024-11-08,209.0
2024-11-09,209.0
2024-11-10,209.0
2024-11-11,217.39
2024-11-12,211.95
2024-11-13,211.0
2024-11-14,206.1
2024-11-15,206.89
2024-11-16,206.89
2024-11-17,206.89
2024-11-18,206.02
2024-11-19,200.34
2024-11-20,196.08
2024-11-21,195.0
2024-11-22,198.51
2024-11-23,198.51
2024-11-24,198.51
2024-11-25,191.8
2024-11-26,186.65
2024-11-27,184.0
2024-11-28,185.01
2024-11-29,185.2
2024-11-30,185.2
2024-12-01,185.2
2024-12-02,189.63
2024-12-03,184.05
2024-12-04,180.83
2024-12-05,179.03
2024-12-06,178.51
2024-12-07,178.51
2024-12-08,178.51
2024-12-09,184.53
2024-12-10,179.35
2024-12-11,178.69
2024-12-12,176.69
2024-12-13,176.4
2024-12-14,176.4
2024-12-15,176.4
2024-12-16,171.42
2024-12-17,170.0
2024-12-18,173.8
2024-12-19,179.04
2024-12-20,189.78
2024-12-21,189.78
2024-12-22,189.78
2024-12-23,189.22
2024-12-24,186.44
2024-12-25,194.8
2024-12-26,195.83
2024-12-27,191.85
2024-12-28,190.5
2024-12-29,190.5
2024-12-30,198.49
2024-12-31,198.49
2025-01-01,198.49
2025-01-02,198.49
2025-01-03,194.73
2025-01-04,194.73
2025-01-05,194.73
2025-01-06,194.93
2025-01-07,194.93
2025-01-08,197.5
2025-01-09,192.73
2025-01-10,198.0
2025-01-11,198.0
2025-01-12,198.0
2025-01-13,200.83
2025-01-14,204.34
2025-01-15,204.55
2025-01-16,206.86
2025-01-17,207.59
2025-01-18,207.59
2025-01-19,207.59
2025-01-20,208.2
2025-01-21,206.0
2025-01-22,208.76
2025-01-23,204.94
2025-01-24,211.18
2025-01-25,211.18
2025-01-26,211.18
2025-01-27,206.77
2025-01-28,208.17
2025-01-29,205.46
2025-01-30,204.51
2025-01-31,206.2
2025-02-01,206.2
2025-02-02,206.2
2025-02-03,204.0
2025-02-04,200.93
2025-02-05,204.07
2025-02-06,204.18
2025-02-07,204.0
2025-02-08,204.0
2025-02-09,204.0
2025-02-10,209.61
2025-02-11,213.0
2025-02-12,214.7
2025-02-13,233.7
2025-02-14,230.15
2025-02-15,230.15
2025-02-16,230.15
2025-02-17,236.4
2025-02-18,236.91
2025-02-19,237.18
2025-02-20,238.0
2025-02-21,232.5
2025-02-22,232.5
2025-02-23,232.5
2025-02-24,233.01
2025-02-25,231.75
2025-02-26,224.8
2025-02-27,220.95
2025-02-28,216.98
2025-03-01,216.98
2025-03-02,216.98
2025-03-03,215.5
2025-03-04,222.7
2025-03-05,222.55
2025-03-06,216.8
2025-03-07,210.11
2025-03-08,210.11
2025-03-09,210.11
2025-03-10,209.0
2025-03-11,213.21
2025-03-12,211.5
2025-03-13,205.74
2025-03-14,212.76
2025-03-15,212.76
2025-03-16,212.76
2025-03-17,215.61
2025-03-18,217.5
2025-03-19,216.78
2025-03-20,215.89
2025-03-21,213.68
2025-03-22,213.68
2025-03-23,213.68
2025-03-24,210.84
2025-03-25,209.81
2025-03-26,207.68
2025-03-27,203.03
2025-03-28,201.8
2025-03-29,201.8
2025-03-30,201.8
2025-03-31,199.59
2025-04-01,199.05
2025-04-02,200.59
2025-04-03,197.0
2025-04-04,198.0
2025-04-05,198.0
2025-04-06,198.0
2025-04-07,191.8
2025-04-08,194.25
2025-04-09,186.84
2025-04-10,191.16
2025-04-11,193.23
2025-04-12,193.23
2025-04-13,193.23
2025-04-14,194.09
2025-04-15,190.65
2025-04-16,195.24
2025-04-17,194.2
2025-04-18,192.52
2025-04-19,192.52
2025-04-20,192.52
2025-04-21,196.59
2025-04-22,204.75
2025-04-23,205.69
2025-04-24,208.58
2025-04-25,207.56
2025-04-26,207.56
2025-04-27,207.56
2025-04-28,206.54
2025-04-29,200.05
2025-04-30,198.5
2025-05-01,198.5
2025-05-02,192.15
2025-05-03,192.15
2025-05-04,192.15
2025-05-05,192.35
2025-05-06,198.9
2025-05-07,199.36
2025-05-08,198.92
2025-05-09,198.92
2025-05-10,198.92
2025-05-11,198.92
2025-05-12,204.75
2025-05-13,203.3
2025-05-14,201.85
2025-05-15,198.28
2025-05-16,195.51
2025-05-17,195.51
2025-05-18,195.51
2025-05-19,198.93
2025-05-20,195.2
2025-05-21,192.48
2025-05-22,190.0
2025-05-23,188.0
2025-05-24,188.0
2025-05-25,188.0
2025-05-26,183.5
2025-05-27,184.88
2025-05-28,187.0
2025-05-29,187.0
2025-05-30,187.96
2025-05-31,187.96
2025-06-01,187.96
2025-06-02,188.6
2025-06-03,191.5
2025-06-04,191.35
2025-06-05,192.6
2025-06-06,189.01
2025-06-07,189.01
2025-06-08,189.01
2025-06-09,187.85
2025-06-10,186.9
2025-06-11,189.57
2025-06-12,189.57
2025-06-13,189.32
2025-06-14,189.32
2025-06-15,189.32
2025-06-16,187.15
2025-06-17,188.92
2025-06-18,190.3
2025-06-19,191.3
2025-06-20,191.94
2025-06-21,191.94
2025-06-22,191.94
2025-06-23,191.21
2025-06-24,195.15
2025-06-25,199.4
2025-06-26,197.0
2025-06-27,198.66
2025-06-28,198.66
2025-06-29,198.66
2025-06-30,200.9
2025-07-01,201.5
2025-07-02,199.82
2025-07-03,200.0
2025-07-04,197.76
2025-07-05,197.76
