date,price
2023-08-25,2.9515000000000002
2023-08-26,2.9515000000000002
2023-08-27,2.9515000000000002
2023-08-28,2.9625
2023-08-29,3.006
2023-08-30,3.0645
2023-08-31,3.0445
2023-09-01,3.0485
2023-09-02,3.0485
2023-09-03,3.0485
2023-09-04,3.1435
2023-09-05,3.406
2023-09-06,3.4245
2023-09-07,3.2295
2023-09-08,3.1845
2023-09-09,3.1845
2023-09-10,3.1845
2023-09-11,3.1535
2023-09-12,3.26
2023-09-13,3.223
2023-09-14,3.033
2023-09-15,3.082
2023-09-16,3.082
2023-09-17,3.082
2023-09-18,3.075
2023-09-19,3.001
2023-09-20,2.969
2023-09-21,2.9074999999999998
2023-09-22,2.9314999999999998
2023-09-23,2.9314999999999998
2023-09-24,2.9314999999999998
2023-09-25,3.001
2023-09-26,3.004
2023-09-27,3.0115
2023-09-28,3.0745
2023-09-29,3.076
2023-09-30,3.076
2023-10-01,3.076
2023-10-02,3.084
2023-10-03,3.047
2023-10-04,3.016
2023-10-05,3.0265
2023-10-06,3.035
2023-10-07,3.035
2023-10-08,3.035
2023-10-09,3.0335
2023-10-10,3.07
2023-10-11,3.0565
2023-10-12,3.045
2023-10-13,3.0305
2023-10-14,3.0305
2023-10-15,3.0305
2023-10-16,3.07
2023-10-17,3.17
2023-10-18,3.114
2023-10-19,3.1635
2023-10-20,3.153
2023-10-21,3.153
2023-10-22,3.153
2023-10-23,3.333
2023-10-24,3.27
2023-10-25,3.259
2023-10-26,3.178
2023-10-27,3.1925
2023-10-28,3.1925
2023-10-29,3.1925
2023-10-30,3.233
2023-10-31,3.151
2023-11-01,3.226
2023-11-02,3.2175
2023-11-03,3.2005
2023-11-04,3.2005
2023-11-05,3.2005
2023-11-06,3.183
2023-11-07,3.1805
2023-11-08,3.2359999999999998
2023-11-09,3.1785
2023-11-10,3.1775
2023-11-11,3.1775
2023-11-12,3.1775
2023-11-13,3.163
2023-11-14,3.0575
2023-11-15,3.089
2023-11-16,3.1125
2023-11-17,3.064
2023-11-18,3.064
2023-11-19,3.064
2023-11-20,3.0935
2023-11-21,3.124
2023-11-22,3.087
2023-11-23,3.0865
2023-11-24,3.046
2023-11-25,3.046
2023-11-26,3.046
