date,price
2023-08-25,290.65
2023-08-26,290.65
2023-08-27,290.65
2023-08-28,290.5
2023-08-29,288.35
2023-08-30,286.0
2023-08-31,283.15
2023-09-01,283.45
2023-09-02,283.45
2023-09-03,283.45
2023-09-04,286.75
2023-09-05,287.95
2023-09-06,287.95
2023-09-07,284.0
2023-09-08,281.1
2023-09-09,281.1
2023-09-10,281.1
2023-09-11,279.65
2023-09-12,279.85
2023-09-13,279.35
2023-09-14,277.6
2023-09-15,277.75
2023-09-16,277.75
2023-09-17,277.75
2023-09-18,275.75
2023-09-19,272.85
2023-09-20,270.85
2023-09-21,270.05
2023-09-22,270.5
2023-09-23,270.5
2023-09-24,270.5
2023-09-25,270.4
2023-09-26,273.75
2023-09-27,275.9
2023-09-28,276.6
2023-09-29,274.95
2023-09-30,274.95
2023-10-01,274.95
2023-10-02,272.0
2023-10-03,271.1
2023-10-04,272.0
2023-10-05,271.15
2023-10-06,271.45
2023-10-07,271.45
2023-10-08,271.45
2023-10-09,270.9
2023-10-10,271.55
2023-10-11,272.95
2023-10-12,271.2
2023-10-13,272.95
2023-10-14,272.95
2023-10-15,272.95
2023-10-16,274.0
2023-10-17,276.0
2023-10-18,276.2
2023-10-19,274.7
2023-10-20,274.95
2023-10-21,274.95
2023-10-22,274.95
2023-10-23,275.75
2023-10-24,278.65
2023-10-25,282.75
2023-10-26,281.2
2023-10-27,280.85
2023-10-28,280.85
2023-10-29,280.85
2023-10-30,278.15
2023-10-31,273.0
2023-11-01,272.7
2023-11-02,270.2
2023-11-03,270.85
2023-11-04,270.85
2023-11-05,270.85
2023-11-06,272.0
2023-11-07,273.7
2023-11-08,274.0
2023-11-09,276.15
2023-11-10,275.4
2023-11-11,275.4
2023-11-12,275.4
2023-11-13,278.25
2023-11-14,274.3
2023-11-15,276.9
2023-11-16,272.45
2023-11-17,270.4
2023-11-18,270.4
2023-11-19,270.4
2023-11-20,269.65
2023-11-21,272.0
2023-11-22,269.9
2023-11-23,266.55
2023-11-24,262.85
2023-11-25,262.85
2023-11-26,262.85
2023-11-27,260.9
2023-11-28,260.15
2023-11-29,259.0
2023-11-30,254.9
2023-12-01,252.95
2023-12-02,252.95
2023-12-03,252.95
2023-12-04,251.65
2023-12-05,252.55
2023-12-06,249.55
2023-12-07,251.4
2023-12-08,253.25
2023-12-09,253.25
2023-12-10,253.25
2023-12-11,251.15
2023-12-12,248.5
2023-12-13,251.25
2023-12-14,249.9
2023-12-15,249.3
