date,price
2023-08-25,1679.8
2023-08-26,1679.8
2023-08-27,1679.8
2023-08-28,1680.0
2023-08-29,1677.0
2023-08-30,1682.0
2023-08-31,1691.0
2023-09-01,1695.0
2023-09-02,1695.0
2023-09-03,1695.0
2023-09-04,1699.8
2023-09-05,1706.4
2023-09-06,1687.8
2023-09-07,1655.0
2023-09-08,1644.2
2023-09-09,1644.2
2023-09-10,1644.2
2023-09-11,1636.4
2023-09-12,1663.0
2023-09-13,1643.0
2023-09-14,1650.0
2023-09-15,1656.4
2023-09-16,1656.4
2023-09-17,1656.4
2023-09-18,1631.2
2023-09-19,1607.6
2023-09-20,1633.8
2023-09-21,1608.0
2023-09-22,1629.0
2023-09-23,1629.0
2023-09-24,1629.0
2023-09-25,1620.0
2023-09-26,1629.0
2023-09-27,1640.0
2023-09-28,1664.0
2023-09-29,1670.0
2023-09-30,1670.0
2023-10-01,1670.0
2023-10-02,1701.8
2023-10-03,1705.8
2023-10-04,1702.4
2023-10-05,1712.2
2023-10-06,1722.0
2023-10-07,1722.0
2023-10-08,1722.0
2023-10-09,1747.8
2023-10-10,1721.0
2023-10-11,1711.6
2023-10-12,1701.0
2023-10-13,1705.4
2023-10-14,1705.4
2023-10-15,1705.4
2023-10-16,1728.0
2023-10-17,1725.6
2023-10-18,1729.8
2023-10-19,1723.0
2023-10-20,1714.6
2023-10-21,1714.6
2023-10-22,1714.6
2023-10-23,1699.2
2023-10-24,1685.0
2023-10-25,1693.2
2023-10-26,1687.4
2023-10-27,1680.0
2023-10-28,1680.0
2023-10-29,1680.0
2023-10-30,1680.0
2023-10-31,1669.4
2023-11-01,1665.8
2023-11-02,1632.0
2023-11-03,1615.2
2023-11-04,1615.2
2023-11-05,1615.2
2023-11-06,1639.0
2023-11-07,1641.0
2023-11-08,1634.0
2023-11-09,1618.8
2023-11-10,1622.0
2023-11-11,1622.0
2023-11-12,1622.0
2023-11-13,1620.0
2023-11-14,1596.6
2023-11-15,1580.8
2023-11-16,1551.4
2023-11-17,1552.0
2023-11-18,1552.0
2023-11-19,1552.0
2023-11-20,1542.0
2023-11-21,1537.8
2023-11-22,1527.8
2023-11-23,1519.0
2023-11-24,1519.0
2023-11-25,1519.0
2023-11-26,1519.0
2023-11-27,1518.8
2023-11-28,1507.6
2023-11-29,1498.2
2023-11-30,1511.2
2023-12-01,1507.2
2023-12-02,1507.2
2023-12-03,1507.2
2023-12-04,1514.6
2023-12-05,1531.4
2023-12-06,1531.2
2023-12-07,1521.4
2023-12-08,1529.0
2023-12-09,1529.0
2023-12-10,1529.0
2023-12-11,1502.0
2023-12-12,1495.0
2023-12-13,1504.6
2023-12-14,1486.2
2023-12-15,1493.2
2023-12-16,1493.2
2023-12-17,1493.2
2023-12-18,1505.0
2023-12-19,1530.0
2023-12-20,1525.8
2023-12-21,1485.0
2023-12-22,1491.0
2023-12-23,1491.0
2023-12-24,1491.0
2023-12-25,1485.0
2023-12-26,1479.0
2023-12-27,1451.0
2023-12-28,0.0
2023-12-29,1464.4
2023-12-30,1464.4
2023-12-31,1464.4
2024-01-01,1464.4
2024-01-02,1464.4
2024-01-03,1481.0
2024-01-04,1479.6
2024-01-05,1479.2
2024-01-06,1479.2
2024-01-07,1479.2
2024-01-08,1482.0
2024-01-09,1484.0
2024-01-10,1504.0
2024-01-11,1506.8
2024-01-12,1500.0
2024-01-13,1500.0
2024-01-14,1500.0
2024-01-15,1495.0
2024-01-16,1484.0
2024-01-17,1475.0
2024-01-18,1468.0
2024-01-19,1459.0
2024-01-20,1459.0
2024-01-21,1459.0
2024-01-22,1440.4
2024-01-23,1436.8
2024-01-24,1445.8
2024-01-25,1433.2
2024-01-26,1420.6
2024-01-27,1420.6
2024-01-28,1420.6
2024-01-29,1435.0
2024-01-30,1433.2
2024-01-31,1435.4
2024-02-01,1442.6
2024-02-02,1447.2
2024-02-03,1447.2
2024-02-04,1447.2
2024-02-05,1464.0
2024-02-06,1481.0
2024-02-07,1471.8
2024-02-08,1459.8
2024-02-09,1423.0
2024-02-10,1423.0
2024-02-11,1423.0
2024-02-12,1418.8
2024-02-13,1416.0
2024-02-14,1417.0
2024-02-15,1410.0
2024-02-16,1405.0
2024-02-17,1405.0
2024-02-18,1405.0
2024-02-19,1399.0
2024-02-20,1395.8
2024-02-21,1365.0
2024-02-22,1326.6
2024-02-23,1326.6
2024-02-24,1326.6
2024-02-25,1326.6
2024-02-26,1348.0
2024-02-27,1363.0
2024-02-28,1347.2
2024-02-29,1349.0
2024-03-01,1345.0
2024-03-02,1345.0
2024-03-03,1345.0
2024-03-04,1332.8
2024-03-05,1340.6
2024-03-06,1380.2
2024-03-07,0.0
