date,price
2023-08-25,197.08
2023-08-26,197.08
2023-08-27,197.08
2023-08-28,200.3
2023-08-29,200.48
2023-08-30,200.8
2023-08-31,202.78
2023-09-01,203.12
2023-09-02,203.12
2023-09-03,203.12
2023-09-04,203.3
2023-09-05,198.5
2023-09-06,193.3
2023-09-07,192.0
2023-09-08,187.36
2023-09-09,187.36
2023-09-10,187.36
2023-09-11,189.8
2023-09-12,193.78
2023-09-13,191.32
2023-09-14,192.9
2023-09-15,192.82
2023-09-16,192.82
2023-09-17,192.82
2023-09-18,190.62
2023-09-19,195.9
2023-09-20,200.58
2023-09-21,198.86
2023-09-22,205.0
2023-09-23,205.0
2023-09-24,205.0
2023-09-25,202.6
2023-09-26,209.0
2023-09-27,205.9
2023-09-28,209.64
2023-09-29,210.2
2023-09-30,210.2
2023-10-01,210.2
2023-10-02,210.0
2023-10-03,209.58
2023-10-04,212.52
2023-10-05,211.24
2023-10-06,211.06
2023-10-07,211.06
2023-10-08,211.06
2023-10-09,210.12
2023-10-10,208.76
2023-10-11,205.7
2023-10-12,200.0
2023-10-13,197.42
2023-10-14,197.42
2023-10-15,197.42
2023-10-16,199.56
2023-10-17,199.82
2023-10-18,198.36
2023-10-19,197.5
2023-10-20,198.26
2023-10-21,198.26
2023-10-22,198.26
2023-10-23,195.34
2023-10-24,194.48
2023-10-25,191.52
2023-10-26,192.5
2023-10-27,191.72
2023-10-28,191.72
2023-10-29,191.72
2023-10-30,192.5
2023-10-31,189.8
2023-11-01,189.26
2023-11-02,188.46
2023-11-03,193.36
2023-11-04,193.36
2023-11-05,193.36
2023-11-06,197.62
2023-11-07,197.22
2023-11-08,196.24
2023-11-09,196.52
2023-11-10,195.88
2023-11-11,195.88
2023-11-12,195.88
2023-11-13,197.0
2023-11-14,193.54
2023-11-15,191.28
2023-11-16,190.2
2023-11-17,191.0
2023-11-18,191.0
2023-11-19,191.0
2023-11-20,188.1
2023-11-21,186.94
2023-11-22,187.04
2023-11-23,185.0
2023-11-24,182.92
2023-11-25,182.92
2023-11-26,182.92
2023-11-27,179.56
2023-11-28,179.28
2023-11-29,176.26
2023-11-30,172.6
2023-12-01,172.38
2023-12-02,172.38
2023-12-03,172.38
2023-12-04,172.02
2023-12-05,172.32
2023-12-06,168.96
2023-12-07,167.0
2023-12-08,167.0
2023-12-09,167.0
2023-12-10,167.0
2023-12-11,166.52
2023-12-12,164.0
2023-12-13,166.08
2023-12-14,164.0
2023-12-15,167.56
2023-12-16,167.56
2023-12-17,167.56
2023-12-18,168.02
2023-12-19,173.8
2023-12-20,176.9
2023-12-21,175.7
2023-12-22,177.0
2023-12-23,177.0
2023-12-24,177.0
2023-12-25,177.44
2023-12-26,179.4
2023-12-27,179.52
2023-12-28,0.0
2023-12-29,179.5
2023-12-30,179.5
2023-12-31,179.5
2024-01-01,179.5
2024-01-02,179.5
2024-01-03,180.66
2024-01-04,182.94
2024-01-05,183.0
2024-01-06,183.0
2024-01-07,183.0
2024-01-08,184.74
2024-01-09,182.9
2024-01-10,185.36
2024-01-11,197.5
2024-01-12,197.8
2024-01-13,197.8
