date,price
2023-08-25,7537.0
2023-08-26,7537.0
2023-08-27,7537.0
2023-08-28,7540.0
2023-08-29,7492.0
2023-08-30,7392.0
2023-08-31,7295.0
2023-09-01,7190.0
2023-09-02,7190.0
2023-09-03,7190.0
2023-09-04,7223.0
2023-09-05,7213.0
2023-09-06,7310.0
2023-09-07,7267.0
2023-09-08,7185.0
2023-09-09,7185.0
2023-09-10,7185.0
2023-09-11,7164.0
2023-09-12,7182.0
2023-09-13,7148.0
2023-09-14,7081.0
2023-09-15,7115.0
2023-09-16,7115.0
2023-09-17,7115.0
2023-09-18,7036.0
2023-09-19,6905.0
2023-09-20,6936.0
2023-09-21,6744.0
2023-09-22,6660.0
2023-09-23,6660.0
2023-09-24,6660.0
2023-09-25,6593.0
2023-09-26,6655.0
2023-09-27,6726.0
2023-09-28,6802.0
2023-09-29,6791.0
2023-09-30,6791.0
2023-10-01,6791.0
2023-10-02,6800.0
2023-10-03,6775.0
2023-10-04,6550.0
2023-10-05,6567.0
2023-10-06,6857.0
2023-10-07,6857.0
2023-10-08,6857.0
2023-10-09,6860.0
2023-10-10,6859.0
2023-10-11,6795.0
2023-10-12,6772.0
2023-10-13,6743.0
2023-10-14,6743.0
2023-10-15,6743.0
2023-10-16,6840.0
2023-10-17,6865.0
2023-10-18,6904.0
2023-10-19,6884.0
2023-10-20,6790.0
2023-10-21,6790.0
2023-10-22,6790.0
2023-10-23,6808.0
2023-10-24,6821.0
2023-10-25,6877.0
2023-10-26,6816.0
2023-10-27,6827.0
2023-10-28,6827.0
2023-10-29,6827.0
2023-10-30,6738.0
2023-10-31,6670.0
2023-11-01,6645.0
2023-11-02,6700.0
2023-11-03,6643.0
2023-11-04,6643.0
2023-11-05,6643.0
2023-11-06,6751.0
2023-11-07,6794.0
2023-11-08,6791.0
2023-11-09,6865.0
2023-11-10,6866.0
2023-11-11,6866.0
2023-11-12,6866.0
2023-11-13,6830.0
2023-11-14,6865.0
2023-11-15,6847.0
2023-11-16,6790.0
2023-11-17,6813.0
2023-11-18,6813.0
2023-11-19,6813.0
2023-11-20,6805.0
2023-11-21,6800.0
2023-11-22,6796.0
2023-11-23,6831.0
2023-11-24,6777.0
2023-11-25,6777.0
2023-11-26,6777.0
2023-11-27,6704.0
2023-11-28,6802.0
2023-11-29,6765.0
2023-11-30,6782.0
2023-12-01,6694.0
2023-12-02,6694.0
2023-12-03,6694.0
2023-12-04,6726.0
2023-12-05,6756.0
2023-12-06,6678.0
2023-12-07,6693.0
2023-12-08,6660.0
2023-12-09,6660.0
2023-12-10,6660.0
2023-12-11,6709.0
2023-12-12,6612.0
2023-12-13,6598.0
2023-12-14,6579.0
2023-12-15,6700.0
2023-12-16,6700.0
2023-12-17,6700.0
2023-12-18,6710.0
2023-12-19,6710.0
2023-12-20,6795.0
2023-12-21,6840.0
2023-12-22,6845.0
2023-12-23,6845.0
2023-12-24,6845.0
2023-12-25,6659.0
2023-12-26,6669.0
2023-12-27,6588.0
2023-12-28,0.0
2023-12-29,6600.0
2023-12-30,6600.0
2023-12-31,6600.0
2024-01-01,6600.0
2024-01-02,6600.0
2024-01-03,6645.0
2024-01-04,6661.0
2024-01-05,6664.0
2024-01-06,6664.0
2024-01-07,6664.0
2024-01-08,6690.0
2024-01-09,6650.0
2024-01-10,6670.0
2024-01-11,6730.0
2024-01-12,6683.0
2024-01-13,6683.0
2024-01-14,6683.0
2024-01-15,6702.0
2024-01-16,6764.0
2024-01-17,6753.0
2024-01-18,6821.0
2024-01-19,6822.0
2024-01-20,6822.0
2024-01-21,6822.0
2024-01-22,6785.0
2024-01-23,6800.0
2024-01-24,6760.0
2024-01-25,6762.0
2024-01-26,6785.0
2024-01-27,6785.0
2024-01-28,6785.0
2024-01-29,6775.0
2024-01-30,6708.0
2024-01-31,6770.0
2024-02-01,6765.0
2024-02-02,6741.0
2024-02-03,6741.0
2024-02-04,6741.0
2024-02-05,6772.0
2024-02-06,6793.0
2024-02-07,6760.0
2024-02-08,6787.0
2024-02-09,6819.0
2024-02-10,6819.0
2024-02-11,6819.0
2024-02-12,6826.0
2024-02-13,6900.0
2024-02-14,6925.0
2024-02-15,6914.0
2024-02-16,6855.0
2024-02-17,6855.0
2024-02-18,6855.0
2024-02-19,6875.0
2024-02-20,6741.0
2024-02-21,6630.0
2024-02-22,6689.0
2024-02-23,6689.0
2024-02-24,6689.0
2024-02-25,6689.0
2024-02-26,6802.0
2024-02-27,6738.0
2024-02-28,6703.0
2024-02-29,6738.0
2024-03-01,6784.0
2024-03-02,6784.0
2024-03-03,6784.0
2024-03-04,6741.0
2024-03-05,6798.0
2024-03-06,6778.0
2024-03-07,0.0
2024-03-08,6790.0
2024-03-09,6790.0
2024-03-10,6790.0
2024-03-11,6749.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,6761.0
2024-03-16,6761.0
2024-03-17,6761.0
2024-03-18,6709.0
2024-03-19,6662.0
2024-03-20,6650.0
2024-03-21,6660.0
