date,price
2023-08-25,838.0
2023-08-26,838.0
2023-08-27,838.0
2023-08-28,839.0
2023-08-29,847.0
2023-08-30,830.0
2023-08-31,829.2
2023-09-01,823.8
2023-09-02,823.8
2023-09-03,823.8
2023-09-04,837.4
2023-09-05,835.0
2023-09-06,823.6
2023-09-07,796.0
2023-09-08,793.1
2023-09-09,793.1
2023-09-10,793.1
2023-09-11,773.7
2023-09-12,786.7
2023-09-13,783.6
2023-09-14,777.5
2023-09-15,782.9
2023-09-16,782.9
2023-09-17,782.9
2023-09-18,767.5
2023-09-19,751.1
2023-09-20,750.0
2023-09-21,738.1
2023-09-22,763.0
2023-09-23,763.0
2023-09-24,763.0
2023-09-25,760.0
2023-09-26,755.0
2023-09-27,750.0
2023-09-28,755.1
2023-09-29,753.1
2023-09-30,753.1
2023-10-01,753.1
2023-10-02,737.1
2023-10-03,728.1
2023-10-04,725.5
2023-10-05,706.1
2023-10-06,729.6
2023-10-07,729.6
2023-10-08,729.6
2023-10-09,733.1
2023-10-10,736.3
2023-10-11,758.2
2023-10-12,743.0
2023-10-13,756.0
2023-10-14,756.0
2023-10-15,756.0
2023-10-16,752.0
2023-10-17,762.1
2023-10-18,768.5
2023-10-19,765.3
2023-10-20,760.0
2023-10-21,760.0
2023-10-22,760.0
2023-10-23,766.0
2023-10-24,756.7
2023-10-25,751.5
2023-10-26,747.0
2023-10-27,723.9
2023-10-28,723.9
2023-10-29,723.9
2023-10-30,723.5
2023-10-31,705.4
2023-11-01,722.0
2023-11-02,714.0
2023-11-03,717.9
2023-11-04,717.9
2023-11-05,717.9
2023-11-06,725.5
2023-11-07,734.6
2023-11-08,733.6
2023-11-09,729.0
2023-11-10,714.7
2023-11-11,714.7
2023-11-12,714.7
2023-11-13,713.1
2023-11-14,714.1
2023-11-15,713.8
2023-11-16,703.8
2023-11-17,708.9
2023-11-18,708.9
2023-11-19,708.9
2023-11-20,702.1
2023-11-21,707.1
2023-11-22,705.1
2023-11-23,704.2
2023-11-24,703.0
2023-11-25,703.0
2023-11-26,703.0
2023-11-27,704.3
2023-11-28,710.0
2023-11-29,698.8
2023-11-30,677.2
2023-12-01,670.0
2023-12-02,670.0
2023-12-03,670.0
2023-12-04,673.0
2023-12-05,676.8
2023-12-06,669.9
2023-12-07,664.8
2023-12-08,665.1
2023-12-09,665.1
2023-12-10,665.1
2023-12-11,658.0
2023-12-12,667.0
2023-12-13,668.9
2023-12-14,665.8
2023-12-15,673.0
2023-12-16,673.0
2023-12-17,673.0
2023-12-18,685.0
2023-12-19,671.9
2023-12-20,676.6
2023-12-21,662.6
2023-12-22,672.1
2023-12-23,672.1
2023-12-24,672.1
2023-12-25,683.0
2023-12-26,675.6
2023-12-27,664.0
2023-12-28,0.0
2023-12-29,678.6
2023-12-30,678.6
2023-12-31,678.6
2024-01-01,678.6
2024-01-02,678.6
2024-01-03,676.9
2024-01-04,673.1
2024-01-05,671.6
2024-01-06,671.6
2024-01-07,671.6
2024-01-08,699.2
2024-01-09,707.4
2024-01-10,698.6
2024-01-11,705.1
2024-01-12,705.6
2024-01-13,705.6
2024-01-14,705.6
2024-01-15,701.5
2024-01-16,719.1
2024-01-17,712.0
2024-01-18,708.1
2024-01-19,705.0
2024-01-20,705.0
2024-01-21,705.0
2024-01-22,719.8
2024-01-23,724.0
2024-01-24,721.7
2024-01-25,719.5
