date,price
2023-08-25,11460.0
2023-08-26,11460.0
2023-08-27,11460.0
2023-08-28,11726.5
2023-08-29,11720.0
2023-08-30,11672.0
2023-08-31,11700.0
2023-09-01,11801.0
2023-09-02,11801.0
2023-09-03,11801.0
2023-09-04,12090.0
2023-09-05,12053.0
2023-09-06,11841.5
2023-09-07,11535.5
2023-09-08,11390.0
2023-09-09,11390.0
2023-09-10,11390.0
2023-09-11,11496.0
2023-09-12,11475.0
2023-09-13,11480.0
2023-09-14,11500.0
2023-09-15,11609.0
2023-09-16,11609.0
2023-09-17,11609.0
2023-09-18,11600.0
2023-09-19,11420.0
2023-09-20,11378.0
2023-09-21,11244.5
2023-09-22,11239.0
2023-09-23,11239.0
2023-09-24,11239.0
2023-09-25,11090.0
2023-09-26,11180.5
2023-09-27,11157.5
2023-09-28,11280.0
2023-09-29,11429.0
2023-09-30,11429.0
2023-10-01,11429.0
2023-10-02,11206.0
2023-10-03,11390.0
2023-10-04,11455.5
2023-10-05,11360.5
2023-10-06,11511.5
2023-10-07,11511.5
2023-10-08,11511.5
2023-10-09,11651.5
2023-10-10,11599.5
2023-10-11,11650.0
2023-10-12,11556.0
2023-10-13,11700.0
2023-10-14,11700.0
2023-10-15,11700.0
2023-10-16,11761.0
2023-10-17,11810.0
2023-10-18,11940.0
2023-10-19,11879.5
2023-10-20,11887.5
2023-10-21,11887.5
2023-10-22,11887.5
2023-10-23,11814.0
2023-10-24,11750.0
2023-10-25,11764.0
2023-10-26,11620.0
2023-10-27,11613.0
2023-10-28,11613.0
2023-10-29,11613.0
2023-10-30,11670.5
2023-10-31,11494.5
2023-11-01,11446.5
2023-11-02,11452.0
2023-11-03,11435.0
2023-11-04,11435.0
2023-11-05,11435.0
2023-11-06,11400.0
2023-11-07,11385.0
2023-11-08,11348.0
2023-11-09,11360.0
2023-11-10,11214.5
2023-11-11,11214.5
2023-11-12,11214.5
2023-11-13,11279.0
2023-11-14,11280.5
2023-11-15,11251.5
2023-11-16,11202.0
2023-11-17,11296.0
2023-11-18,11296.0
2023-11-19,11296.0
2023-11-20,11245.0
2023-11-21,11319.5
2023-11-22,11349.0
2023-11-23,11360.0
2023-11-24,11243.0
2023-11-25,11243.0
2023-11-26,11243.0
2023-11-27,11128.5
2023-11-28,11150.0
2023-11-29,11051.0
2023-11-30,10876.5
2023-12-01,10982.5
2023-12-02,10982.5
2023-12-03,10982.5
2023-12-04,10849.0
2023-12-05,10819.5
2023-12-06,10690.0
2023-12-07,10625.0
2023-12-08,10580.0
2023-12-09,10580.0
2023-12-10,10580.0
2023-12-11,10238.0
2023-12-12,9973.5
2023-12-13,9965.0
2023-12-14,10029.0
2023-12-15,10200.0
2023-12-16,10200.0
2023-12-17,10200.0
2023-12-18,10190.0
2023-12-19,10355.0
2023-12-20,10590.0
2023-12-21,10590.0
2023-12-22,10620.5
2023-12-23,10620.5
2023-12-24,10620.5
2023-12-25,10553.0
2023-12-26,10618.0
2023-12-27,10679.5
2023-12-28,0.0
2023-12-29,10677.5
2023-12-30,10677.5
2023-12-31,10677.5
2024-01-01,10677.5
2024-01-02,10677.5
2024-01-03,10764.0
2024-01-04,10850.0
2024-01-05,10815.0
2024-01-06,10815.0
2024-01-07,10815.0
2024-01-08,10914.0
2024-01-09,10875.0
2024-01-10,10839.5
