date,price
2023-08-18,2315.6
2023-08-19,2315.6
2023-08-20,2315.6
2023-08-21,2257.0
2023-08-22,2272.8
2023-08-23,2234.6
2023-08-24,2262.0
2023-08-25,2243.8
2023-08-26,2243.8
2023-08-27,2243.8
2023-08-28,2292.8
2023-08-29,2297.0
2023-08-30,2322.0
2023-08-31,2370.0
2023-09-01,2365.0
2023-09-02,2365.0
2023-09-03,2365.0
2023-09-04,2411.4
2023-09-05,2390.0
2023-09-06,2373.0
2023-09-07,2362.6
2023-09-08,2324.6
2023-09-09,2324.6
2023-09-10,2324.6
2023-09-11,2333.8
2023-09-12,2395.2
2023-09-13,2362.8
2023-09-14,2350.6
2023-09-15,2415.6
2023-09-16,2415.6
2023-09-17,2415.6
2023-09-18,2375.0
2023-09-19,2351.0
2023-09-20,2280.0
2023-09-21,2311.8
2023-09-22,2306.0
2023-09-23,2306.0
2023-09-24,2306.0
2023-09-25,2308.2
2023-09-26,2328.8
2023-09-27,2322.2
2023-09-28,2370.0
2023-09-29,2363.0
2023-09-30,2363.0
2023-10-01,2363.0
2023-10-02,2423.6
2023-10-03,2401.2
2023-10-04,2438.0
2023-10-05,2448.0
2023-10-06,2464.8
2023-10-07,2464.8
2023-10-08,2464.8
2023-10-09,2498.2
2023-10-10,2514.2
2023-10-11,2494.8
2023-10-12,2508.4
2023-10-13,2540.0
2023-10-14,2540.0
2023-10-15,2540.0
2023-10-16,2474.4
2023-10-17,2330.0
2023-10-18,2322.6
2023-10-19,2299.6
2023-10-20,2285.4
2023-10-21,2285.4
2023-10-22,2285.4
2023-10-23,2225.4
2023-10-24,2198.0
2023-10-25,2253.8
2023-10-26,2214.4
2023-10-27,2200.0
2023-10-28,2200.0
2023-10-29,2200.0
2023-10-30,2170.0
2023-10-31,2139.0
2023-11-01,2170.0
2023-11-02,2159.0
2023-11-03,2191.0
2023-11-04,2191.0
2023-11-05,2191.0
2023-11-06,2240.2
2023-11-07,2217.0
2023-11-08,2200.0
2023-11-09,2179.6
2023-11-10,2167.0
2023-11-11,2167.0
2023-11-12,2167.0
2023-11-13,2140.0
2023-11-14,2094.8
2023-11-15,2096.8
2023-11-16,2080.4
2023-11-17,2084.8
2023-11-18,2084.8
2023-11-19,2084.8
2023-11-20,2118.0
2023-11-21,2107.2
2023-11-22,2114.0
2023-11-23,2121.6
2023-11-24,2138.2
2023-11-25,2138.2
2023-11-26,2138.2
2023-11-27,2110.6
2023-11-28,2104.6
2023-11-29,2100.2
2023-11-30,2090.6
2023-12-01,2092.6
2023-12-02,2092.6
2023-12-03,2092.6
2023-12-04,2045.0
2023-12-05,2018.0
2023-12-06,2000.4
2023-12-07,2003.0
2023-12-08,1990.4
2023-12-09,1990.4
2023-12-10,1990.4
2023-12-11,1929.4
2023-12-12,1900.0
2023-12-13,1940.2
2023-12-14,1937.6
2023-12-15,1925.2
2023-12-16,1925.2
2023-12-17,1925.2
2023-12-18,1982.8
