date,price
2023-08-25,113.28
2023-08-26,113.28
2023-08-27,113.28
2023-08-28,113.52
2023-08-29,110.5
2023-08-30,112.98
2023-08-31,112.36
2023-09-01,113.18
2023-09-02,113.18
2023-09-03,113.18
2023-09-04,112.92
2023-09-05,112.9
2023-09-06,112.96
2023-09-07,112.0
2023-09-08,111.02
2023-09-09,111.02
2023-09-10,111.02
2023-09-11,109.32
2023-09-12,109.68
2023-09-13,113.46
2023-09-14,108.8
2023-09-15,110.34
2023-09-16,110.34
2023-09-17,110.34
2023-09-18,109.7
2023-09-19,108.34
2023-09-20,106.6
2023-09-21,101.28
2023-09-22,105.4
2023-09-23,105.4
2023-09-24,105.4
2023-09-25,108.32
2023-09-26,108.0
2023-09-27,109.0
2023-09-28,109.18
2023-09-29,109.2
2023-09-30,109.2
2023-10-01,109.2
2023-10-02,109.22
2023-10-03,109.14
2023-10-04,108.28
2023-10-05,107.06
2023-10-06,106.8
2023-10-07,106.8
2023-10-08,106.8
2023-10-09,106.86
2023-10-10,100.12
2023-10-11,98.84
2023-10-12,97.16
2023-10-13,95.74
2023-10-14,95.74
2023-10-15,95.74
2023-10-16,98.5
2023-10-17,101.08
2023-10-18,101.92
2023-10-19,101.3
2023-10-20,99.88
2023-10-21,99.88
2023-10-22,99.88
2023-10-23,99.46
2023-10-24,98.72
2023-10-25,97.8
2023-10-26,97.3
2023-10-27,95.6
2023-10-28,95.6
2023-10-29,95.6
2023-10-30,95.32
2023-10-31,94.98
2023-11-01,98.2
2023-11-02,96.5
2023-11-03,96.0
2023-11-04,96.0
2023-11-05,96.0
2023-11-06,96.2
2023-11-07,95.74
2023-11-08,96.92
2023-11-09,96.72
2023-11-10,96.3
2023-11-11,96.3
2023-11-12,96.3
2023-11-13,96.0
2023-11-14,97.0
2023-11-15,96.46
2023-11-16,100.7
2023-11-17,97.66
2023-11-18,97.66
2023-11-19,97.66
2023-11-20,98.1
2023-11-21,97.38
2023-11-22,96.68
2023-11-23,96.12
2023-11-24,97.0
2023-11-25,97.0
2023-11-26,97.0
2023-11-27,95.78
2023-11-28,93.0
2023-11-29,93.52
2023-11-30,91.0
2023-12-01,89.62
2023-12-02,89.62
2023-12-03,89.62
2023-12-04,86.7
2023-12-05,90.0
2023-12-06,89.68
2023-12-07,89.0
2023-12-08,89.02
2023-12-09,89.02
2023-12-10,89.02
2023-12-11,86.0
2023-12-12,85.5
2023-12-13,85.5
2023-12-14,85.78
2023-12-15,86.0
2023-12-16,86.0
2023-12-17,86.0
2023-12-18,91.2
2023-12-19,90.68
2023-12-20,91.14
2023-12-21,90.5
2023-12-22,93.78
2023-12-23,93.78
2023-12-24,93.78
2023-12-25,94.4
2023-12-26,96.92
2023-12-27,98.7
2023-12-28,0.0
2023-12-29,94.0
2023-12-30,94.0
2023-12-31,94.0
2024-01-01,94.0
2024-01-02,94.0
2024-01-03,94.0
2024-01-04,96.46
2024-01-05,95.62
2024-01-06,95.62
2024-01-07,95.62
2024-01-08,96.46
2024-01-09,95.0
2024-01-10,94.5
2024-01-11,95.1
2024-01-12,95.02
2024-01-13,95.02
2024-01-14,95.02
2024-01-15,98.36
2024-01-16,96.44
2024-01-17,97.12
2024-01-18,95.68
2024-01-19,94.4
2024-01-20,94.4
2024-01-21,94.4
2024-01-22,96.96
2024-01-23,95.54
2024-01-24,96.16
2024-01-25,100.46
2024-01-26,99.12
2024-01-27,99.12
2024-01-28,99.12
2024-01-29,99.0
2024-01-30,97.48
2024-01-31,98.3
2024-02-01,97.0
2024-02-02,97.0
2024-02-03,97.0
2024-02-04,97.0
2024-02-05,95.0
2024-02-06,96.02
2024-02-07,98.44
2024-02-08,98.16
2024-02-09,97.06
2024-02-10,97.06
2024-02-11,97.06
2024-02-12,98.36
2024-02-13,97.9
2024-02-14,99.42
2024-02-15,102.56
2024-02-16,100.1
2024-02-17,100.1
2024-02-18,100.1
2024-02-19,101.88
2024-02-20,101.98
2024-02-21,98.84
2024-02-22,99.0
2024-02-23,99.0
2024-02-24,99.0
2024-02-25,99.0
2024-02-26,102.5
2024-02-27,103.0
2024-02-28,101.6
2024-02-29,101.8
2024-03-01,102.34
2024-03-02,102.34
2024-03-03,102.34
2024-03-04,102.0
2024-03-05,103.5
2024-03-06,105.0
2024-03-07,0.0
2024-03-08,105.64
2024-03-09,105.64
2024-03-10,105.64
2024-03-11,105.9
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,100.38
2024-03-16,100.38
2024-03-17,100.38
2024-03-18,102.22
2024-03-19,100.76
2024-03-20,100.5
2024-03-21,101.0
2024-03-22,99.88
2024-03-23,99.88
2024-03-24,99.88
2024-03-25,99.86
2024-03-26,100.14
2024-03-27,100.42
2024-03-28,100.1
2024-03-29,100.24
2024-03-30,100.24
2024-03-31,100.24
2024-04-01,102.28
2024-04-02,102.0
2024-04-03,103.86
2024-04-04,102.58
2024-04-05,101.64
2024-04-06,101.64
2024-04-07,101.64
2024-04-08,101.78
2024-04-09,100.22
2024-04-10,101.58
2024-04-11,101.24
2024-04-12,101.0
2024-04-13,101.0
2024-04-14,101.0
2024-04-15,103.78
2024-04-16,105.92
2024-04-17,105.56
2024-04-18,105.7
2024-04-19,107.1
2024-04-20,107.1
2024-04-21,107.1
2024-04-22,106.0
2024-04-23,104.62
2024-04-24,104.0
2024-04-25,107.36
2024-04-26,105.7
2024-04-27,107.14
2024-04-28,107.14
2024-04-29,107.04
2024-04-30,108.06
2024-05-01,108.06
2024-05-02,108.5
2024-05-03,109.0
2024-05-04,109.0
2024-05-05,109.0
2024-05-06,106.34
2024-05-07,107.52
2024-05-08,107.46
2024-05-09,107.46
2024-05-10,106.24
2024-05-11,106.24
2024-05-12,106.24
2024-05-13,106.78
2024-05-14,108.3
2024-05-15,108.0
2024-05-16,109.88
2024-05-17,111.12
2024-05-18,111.12
2024-05-19,111.12
2024-05-20,112.96
2024-05-21,112.0
2024-05-22,110.76
2024-05-23,109.0
2024-05-24,106.2
2024-05-25,106.2
2024-05-26,106.2
2024-05-27,104.02
2024-05-28,104.16
2024-05-29,104.32
2024-05-30,103.94
2024-05-31,100.32
2024-06-01,100.32
2024-06-02,100.32
2024-06-03,97.92
2024-06-04,102.38
2024-06-05,103.78
2024-06-06,102.34
2024-06-07,105.68
2024-06-08,105.68
2024-06-09,105.68
2024-06-10,102.0
2024-06-11,101.36
2024-06-12,101.36
2024-06-13,101.14
2024-06-14,104.0
2024-06-15,104.0
2024-06-16,104.0
2024-06-17,103.04
2024-06-18,99.8
2024-06-19,99.52
2024-06-20,99.54
2024-06-21,99.74
2024-06-22,99.74
2024-06-23,99.74
2024-06-24,96.46
2024-06-25,94.4
2024-06-26,99.0
2024-06-27,97.1
2024-06-28,98.16
2024-06-29,98.16
2024-06-30,98.16
2024-07-01,97.5
2024-07-02,98.12
2024-07-03,97.42
2024-07-04,96.96
2024-07-05,94.54
2024-07-06,94.54
2024-07-07,94.54
2024-07-08,92.18
2024-07-09,89.86
2024-07-10,86.0
2024-07-11,88.22
2024-07-12,92.14
2024-07-13,92.14
2024-07-14,92.14
2024-07-15,90.0
2024-07-16,87.56
2024-07-17,87.9
2024-07-18,89.86
2024-07-19,92.58
2024-07-20,92.58
2024-07-21,92.58
2024-07-22,91.1
2024-07-23,91.3
2024-07-24,91.42
2024-07-25,90.0
2024-07-26,88.78
2024-07-27,88.78
2024-07-28,88.78
2024-07-29,85.0
2024-07-30,86.0
2024-07-31,88.9
2024-08-01,90.06
2024-08-02,87.5
2024-08-03,87.5
2024-08-04,87.5
2024-08-05,85.56
2024-08-06,89.0
2024-08-07,94.06
2024-08-08,92.6
2024-08-09,92.96
2024-08-10,92.96
2024-08-11,92.96
2024-08-12,92.76
2024-08-13,94.5
2024-08-14,94.66
2024-08-15,94.5
2024-08-16,95.5
2024-08-17,95.5
2024-08-18,95.5
2024-08-19,94.34
2024-08-20,96.26
2024-08-21,95.7
2024-08-22,94.5
2024-08-23,93.74
2024-08-24,93.74
2024-08-25,93.74
2024-08-26,96.1
2024-08-27,94.8
2024-08-28,95.0
2024-08-29,95.38
2024-08-30,91.6
2024-08-31,91.6
2024-09-01,91.6
2024-09-02,86.68
2024-09-03,86.78
2024-09-04,90.3
2024-09-05,89.08
2024-09-06,90.58
2024-09-07,90.58
2024-09-08,90.58
2024-09-09,94.58
2024-09-10,91.34
2024-09-11,91.64
2024-09-12,90.0
2024-09-13,89.86
2024-09-14,89.86
2024-09-15,89.86
2024-09-16,93.96
2024-09-17,95.28
2024-09-18,95.0
2024-09-19,94.52
2024-09-20,97.22
2024-09-21,97.22
2024-09-22,97.22
2024-09-23,98.5
2024-09-24,98.64
2024-09-25,95.66
2024-09-26,99.26
2024-09-27,97.8
2024-09-28,97.8
2024-09-29,97.8
2024-09-30,98.0
2024-10-01,96.82
2024-10-02,98.2
2024-10-03,96.38
2024-10-04,97.56
2024-10-05,97.56
2024-10-06,97.56
2024-10-07,97.52
2024-10-08,97.7
2024-10-09,96.56
2024-10-10,96.16
2024-10-11,96.44
2024-10-12,96.44
2024-10-13,96.44
2024-10-14,95.82
2024-10-15,97.48
2024-10-16,97.8
2024-10-17,96.6
2024-10-18,96.22
2024-10-19,96.22
2024-10-20,96.22
2024-10-21,97.32
2024-10-22,95.72
2024-10-23,93.52
2024-10-24,93.7
