date,price
2023-08-25,539.5
2023-08-26,539.5
2023-08-27,539.5
2023-08-28,542.5
2023-08-29,540.0
2023-08-30,554.95
2023-08-31,556.8
2023-09-01,558.9
2023-09-02,558.9
2023-09-03,558.9
2023-09-04,566.85
2023-09-05,572.55
2023-09-06,578.05
2023-09-07,566.8
2023-09-08,559.0
2023-09-09,559.0
2023-09-10,559.0
2023-09-11,553.5
2023-09-12,557.0
2023-09-13,556.4
2023-09-14,558.5
2023-09-15,562.0
2023-09-16,562.0
2023-09-17,562.0
2023-09-18,560.8
2023-09-19,551.05
2023-09-20,531.5
2023-09-21,510.75
2023-09-22,510.0
2023-09-23,510.0
2023-09-24,510.0
2023-09-25,522.15
2023-09-26,517.4
2023-09-27,526.55
2023-09-28,535.5
2023-09-29,537.5
2023-09-30,537.5
2023-10-01,537.5
2023-10-02,535.4
2023-10-03,538.0
2023-10-04,543.15
2023-10-05,537.1
2023-10-06,533.5
2023-10-07,533.5
2023-10-08,533.5
2023-10-09,552.65
2023-10-10,549.0
2023-10-11,554.0
2023-10-12,548.35
2023-10-13,554.35
2023-10-14,554.35
2023-10-15,554.35
2023-10-16,564.4
2023-10-17,567.9
2023-10-18,580.05
2023-10-19,583.4
2023-10-20,603.05
2023-10-21,603.05
2023-10-22,603.05
2023-10-23,595.5
2023-10-24,587.4
2023-10-25,585.5
2023-10-26,584.3
2023-10-27,586.2
2023-10-28,586.2
2023-10-29,586.2
2023-10-30,589.3
2023-10-31,580.0
2023-11-01,582.45
2023-11-02,582.05
2023-11-03,582.7
2023-11-04,582.7
2023-11-05,582.7
2023-11-06,587.4
2023-11-07,587.4
2023-11-08,584.45
2023-11-09,584.65
2023-11-10,600.4
2023-11-11,600.4
2023-11-12,600.4
2023-11-13,601.7
2023-11-14,595.0
2023-11-15,589.55
2023-11-16,581.55
2023-11-17,582.4
2023-11-18,582.4
2023-11-19,582.4
2023-11-20,583.8
2023-11-21,584.6
2023-11-22,581.5
2023-11-23,581.25
2023-11-24,579.1
2023-11-25,579.1
2023-11-26,579.1
2023-11-27,578.0
2023-11-28,586.0
2023-11-29,586.25
2023-11-30,586.85
2023-12-01,581.1
2023-12-02,581.1
2023-12-03,581.1
2023-12-04,570.25
2023-12-05,574.1
2023-12-06,569.25
2023-12-07,564.75
2023-12-08,565.0
2023-12-09,565.0
2023-12-10,565.0
2023-12-11,558.5
2023-12-12,552.7
2023-12-13,551.9
2023-12-14,540.05
2023-12-15,557.0
2023-12-16,557.0
2023-12-17,557.0
2023-12-18,564.0
2023-12-19,572.2
2023-12-20,580.3
2023-12-21,577.95
2023-12-22,583.2
2023-12-23,583.2
2023-12-24,583.2
2023-12-25,583.8
2023-12-26,589.15
2023-12-27,591.45
2023-12-28,0.0
2023-12-29,594.5
2023-12-30,594.5
2023-12-31,594.5
2024-01-01,594.5
2024-01-02,594.5
2024-01-03,600.05
2024-01-04,601.25
2024-01-05,602.4
2024-01-06,602.4
2024-01-07,602.4
2024-01-08,602.05
2024-01-09,600.3
2024-01-10,601.95
2024-01-11,580.0
2024-01-12,583.0
2024-01-13,583.0
2024-01-14,583.0
2024-01-15,580.0
2024-01-16,580.65
2024-01-17,575.25
2024-01-18,573.5
2024-01-19,577.1
2024-01-20,577.1
2024-01-21,577.1
2024-01-22,576.65
2024-01-23,580.0
2024-01-24,575.9
2024-01-25,575.0
2024-01-26,573.15
2024-01-27,573.15
2024-01-28,573.15
2024-01-29,574.85
2024-01-30,573.9
2024-01-31,574.45
2024-02-01,579.5
2024-02-02,584.95
2024-02-03,584.95
2024-02-04,584.95
2024-02-05,590.5
2024-02-06,592.4
2024-02-07,591.0
2024-02-08,588.8
2024-02-09,589.6
2024-02-10,589.6
2024-02-11,589.6
2024-02-12,588.1
2024-02-13,592.3
2024-02-14,592.3
2024-02-15,590.35
2024-02-16,585.95
2024-02-17,585.95
2024-02-18,585.95
2024-02-19,587.0
2024-02-20,578.8
2024-02-21,562.05
2024-02-22,561.9
2024-02-23,561.9
2024-02-24,561.9
2024-02-25,561.9
2024-02-26,574.85
2024-02-27,567.0
2024-02-28,567.75
2024-02-29,577.5
2024-03-01,580.9
2024-03-02,580.9
2024-03-03,580.9
2024-03-04,582.0
2024-03-05,585.8
2024-03-06,586.0
2024-03-07,0.0
2024-03-08,589.0
