date,price
2023-08-25,74.6
2023-08-26,74.6
2023-08-27,74.6
2023-08-28,75.11
2023-08-29,75.01
2023-08-30,75.1
2023-08-31,75.92
2023-09-01,75.96
2023-09-02,75.96
2023-09-03,75.96
2023-09-04,76.04
2023-09-05,76.31
2023-09-06,77.83
2023-09-07,75.67
2023-09-08,76.8
2023-09-09,76.8
2023-09-10,76.8
2023-09-11,75.46
2023-09-12,76.4
2023-09-13,75.89
2023-09-14,74.83
2023-09-15,74.42
2023-09-16,74.42
2023-09-17,74.42
2023-09-18,75.0
2023-09-19,72.57
2023-09-20,73.27
2023-09-21,71.44
2023-09-22,71.85
2023-09-23,71.85
2023-09-24,71.85
2023-09-25,72.2
2023-09-26,73.3
2023-09-27,73.69
2023-09-28,73.89
2023-09-29,72.96
2023-09-30,72.96
2023-10-01,72.96
2023-10-02,72.97
2023-10-03,72.24
2023-10-04,72.39
2023-10-05,72.37
2023-10-06,72.0
2023-10-07,72.0
2023-10-08,72.0
2023-10-09,75.1
2023-10-10,74.86
2023-10-11,75.22
2023-10-12,75.71
2023-10-13,75.8
2023-10-14,75.8
2023-10-15,75.8
2023-10-16,75.84
2023-10-17,78.01
2023-10-18,77.24
2023-10-19,77.27
2023-10-20,77.5
2023-10-21,77.5
2023-10-22,77.5
2023-10-23,77.77
2023-10-24,77.37
2023-10-25,77.68
2023-10-26,77.1
2023-10-27,76.23
2023-10-28,76.23
2023-10-29,76.23
2023-10-30,76.25
2023-10-31,75.4
2023-11-01,75.11
2023-11-02,75.12
2023-11-03,74.77
2023-11-04,74.77
2023-11-05,74.77
2023-11-06,75.51
2023-11-07,76.48
2023-11-08,76.7
2023-11-09,77.72
2023-11-10,78.09
2023-11-11,78.09
2023-11-12,78.09
2023-11-13,81.45
2023-11-14,80.22
2023-11-15,81.11
2023-11-16,80.83
2023-11-17,81.0
2023-11-18,81.0
2023-11-19,81.0
2023-11-20,82.68
2023-11-21,81.9
2023-11-22,81.58
2023-11-23,81.45
2023-11-24,81.07
2023-11-25,81.07
2023-11-26,81.07
2023-11-27,80.65
2023-11-28,81.5
2023-11-29,81.8
2023-11-30,81.3
2023-12-01,74.68
2023-12-02,74.68
2023-12-03,74.68
2023-12-04,73.81
2023-12-05,73.11
2023-12-06,70.86
2023-12-07,71.35
2023-12-08,72.05
2023-12-09,72.05
2023-12-10,72.05
2023-12-11,70.56
2023-12-12,69.74
2023-12-13,69.28
2023-12-14,68.17
2023-12-15,69.55
2023-12-16,69.55
2023-12-17,69.55
2023-12-18,71.5
2023-12-19,72.1
2023-12-20,73.31
2023-12-21,71.41
2023-12-22,71.28
2023-12-23,71.28
2023-12-24,71.28
2023-12-25,70.26
2023-12-26,69.73
2023-12-27,69.99
2023-12-28,0.0
2023-12-29,68.27
2023-12-30,68.27
2023-12-31,68.27
2024-01-01,68.27
2024-01-02,68.27
2024-01-03,69.7
2024-01-04,69.95
2024-01-05,70.3
2024-01-06,70.3
2024-01-07,70.3
2024-01-08,70.95
2024-01-09,71.0
2024-01-10,72.11
2024-01-11,73.15
2024-01-12,72.62
2024-01-13,72.62
2024-01-14,72.62
2024-01-15,73.73
2024-01-16,74.55
2024-01-17,76.42
2024-01-18,76.67
2024-01-19,75.35
2024-01-20,75.35
2024-01-21,75.35
2024-01-22,76.81
2024-01-23,76.31
2024-01-24,75.49
2024-01-25,75.4
2024-01-26,75.9
2024-01-27,75.9
2024-01-28,75.9
2024-01-29,77.03
2024-01-30,76.11
2024-01-31,76.46
2024-02-01,76.3
2024-02-02,75.8
2024-02-03,75.8
2024-02-04,75.8
2024-02-05,75.29
2024-02-06,76.19
2024-02-07,76.1
2024-02-08,75.64
2024-02-09,75.39
2024-02-10,75.39
2024-02-11,75.39
2024-02-12,74.44
2024-02-13,78.66
2024-02-14,80.66
2024-02-15,83.47
2024-02-16,83.59
2024-02-17,83.59
2024-02-18,83.59
2024-02-19,87.0
2024-02-20,88.61
2024-02-21,85.97
2024-02-22,85.64
2024-02-23,85.64
2024-02-24,85.64
2024-02-25,85.64
2024-02-26,89.06
2024-02-27,90.45
2024-02-28,91.68
2024-02-29,91.25
2024-03-01,92.35
2024-03-02,92.35
2024-03-03,92.35
2024-03-04,91.45
2024-03-05,91.79
2024-03-06,90.9
2024-03-07,0.0
2024-03-08,91.95
2024-03-09,91.95
2024-03-10,91.95
2024-03-11,92.42
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,91.96
2024-03-16,91.96
2024-03-17,91.96
2024-03-18,91.39
2024-03-19,90.7
2024-03-20,94.61
2024-03-21,95.55
2024-03-22,94.5
2024-03-23,94.5
2024-03-24,94.5
2024-03-25,93.63
2024-03-26,94.46
2024-03-27,95.4
2024-03-28,97.9
2024-03-29,102.0
2024-03-30,102.0
2024-03-31,102.0
2024-04-01,102.29
2024-04-02,101.72
2024-04-03,100.25
2024-04-04,99.34
2024-04-05,97.79
2024-04-06,97.79
2024-04-07,97.79
2024-04-08,97.6
2024-04-09,97.25
2024-04-10,97.26
2024-04-11,96.76
2024-04-12,97.1
2024-04-13,97.1
2024-04-14,97.1
2024-04-15,99.05
2024-04-16,98.95
2024-04-17,98.38
2024-04-18,99.74
2024-04-19,99.79
2024-04-20,99.79
2024-04-21,99.79
2024-04-22,98.5
2024-04-23,95.31
2024-04-24,95.85
2024-04-25,97.74
2024-04-26,97.15
2024-04-27,97.13
2024-04-28,97.13
2024-04-29,97.01
2024-04-30,96.69
2024-05-01,96.69
2024-05-02,95.62
2024-05-03,95.51
2024-05-04,95.51
2024-05-05,95.51
2024-05-06,97.03
2024-05-07,96.22
2024-05-08,96.86
2024-05-09,96.86
2024-05-10,97.06
2024-05-11,97.06
2024-05-12,97.06
2024-05-13,96.4
2024-05-14,95.43
2024-05-15,95.76
2024-05-16,102.2
2024-05-17,107.12
2024-05-18,107.12
2024-05-19,107.12
2024-05-20,105.19
2024-05-21,103.65
2024-05-22,106.89
2024-05-23,104.77
2024-05-24,105.36
2024-05-25,105.36
2024-05-26,105.36
2024-05-27,100.95
2024-05-28,100.65
2024-05-29,97.25
2024-05-30,94.42
2024-05-31,93.0
2024-06-01,93.0
2024-06-02,93.0
2024-06-03,92.18
2024-06-04,94.31
2024-06-05,93.2
2024-06-06,93.05
2024-06-07,95.22
2024-06-08,95.22
2024-06-09,95.22
2024-06-10,93.01
2024-06-11,90.24
2024-06-12,90.24
2024-06-13,92.03
2024-06-14,93.24
2024-06-15,93.24
2024-06-16,93.24
2024-06-17,90.3
2024-06-18,88.7
2024-06-19,87.53
2024-06-20,89.47
2024-06-21,91.87
2024-06-22,91.87
2024-06-23,91.87
2024-06-24,94.29
2024-06-25,93.12
2024-06-26,92.7
2024-06-27,91.32
2024-06-28,91.14
2024-06-29,91.14
2024-06-30,91.14
2024-07-01,89.86
2024-07-02,89.17
2024-07-03,87.96
2024-07-04,86.54
2024-07-05,84.47
2024-07-06,84.47
2024-07-07,84.47
2024-07-08,85.33
2024-07-09,84.83
2024-07-10,81.06
2024-07-11,84.0
2024-07-12,82.78
2024-07-13,82.78
2024-07-14,82.78
2024-07-15,82.01
2024-07-16,83.39
2024-07-17,86.79
2024-07-18,88.11
2024-07-19,87.94
2024-07-20,87.94
2024-07-21,87.94
2024-07-22,85.98
2024-07-23,85.96
2024-07-24,86.01
2024-07-25,87.42
2024-07-26,84.5
2024-07-27,84.5
2024-07-28,84.5
2024-07-29,82.64
2024-07-30,82.6
2024-07-31,82.38
2024-08-01,82.43
2024-08-02,80.85
2024-08-03,80.85
2024-08-04,80.85
2024-08-05,78.99
2024-08-06,78.42
2024-08-07,80.85
2024-08-08,80.56
2024-08-09,80.98
2024-08-10,80.98
2024-08-11,80.98
2024-08-12,81.55
2024-08-13,85.62
2024-08-14,85.78
2024-08-15,84.64
2024-08-16,84.51
2024-08-17,84.51
2024-08-18,84.51
2024-08-19,82.2
2024-08-20,81.98
2024-08-21,81.46
2024-08-22,79.23
2024-08-23,76.51
2024-08-24,76.51
2024-08-25,76.51
2024-08-26,80.25
2024-08-27,79.61
2024-08-28,78.76
2024-08-29,78.91
2024-08-30,76.1
2024-08-31,76.1
2024-09-01,76.1
2024-09-02,70.65
2024-09-03,69.77
2024-09-04,71.96
2024-09-05,73.46
2024-09-06,72.72
2024-09-07,72.72
2024-09-08,72.72
2024-09-09,75.75
2024-09-10,75.64
2024-09-11,74.84
2024-09-12,73.06
2024-09-13,75.03
2024-09-14,75.03
2024-09-15,75.03
2024-09-16,78.26
2024-09-17,79.31
2024-09-18,79.42
2024-09-19,78.03
2024-09-20,79.67
2024-09-21,79.67
2024-09-22,79.67
2024-09-23,80.5
2024-09-24,80.97
2024-09-25,80.19
2024-09-26,80.0
2024-09-27,76.54
2024-09-28,76.54
2024-09-29,76.54
2024-09-30,76.0
2024-10-01,75.0
2024-10-02,73.29
2024-10-03,71.61
2024-10-04,73.57
2024-10-05,73.57
2024-10-06,73.57
2024-10-07,71.32
2024-10-08,74.4
2024-10-09,72.22
2024-10-10,72.87
2024-10-11,72.9
2024-10-12,72.9
2024-10-13,72.9
2024-10-14,72.6
2024-10-15,73.2
2024-10-16,73.54
2024-10-17,72.77
2024-10-18,71.51
2024-10-19,71.51
2024-10-20,71.51
2024-10-21,71.1
2024-10-22,70.85
2024-10-23,69.44
2024-10-24,68.16
2024-10-25,65.94
2024-10-26,65.94
2024-10-27,65.94
2024-10-28,61.99
2024-10-29,61.96
2024-10-30,62.65
