date,price
2023-08-24,41.14
2023-08-25,41.13
2023-08-26,41.13
2023-08-27,41.13
2023-08-28,41.84
2023-08-29,41.275
2023-08-30,41.15
2023-08-31,41.935
2023-09-01,41.97
2023-09-02,41.97
2023-09-03,41.97
2023-09-04,43.795
2023-09-05,43.35
2023-09-06,43.295
2023-09-07,42.5
2023-09-08,42.265
2023-09-09,42.265
2023-09-10,42.265
2023-09-11,42.26
2023-09-12,42.7
2023-09-13,42.405
2023-09-14,42.315
2023-09-15,42.555
2023-09-16,42.555
2023-09-17,42.555
2023-09-18,42.435
2023-09-19,41.2
2023-09-20,40.93
2023-09-21,41.12
2023-09-22,40.85
2023-09-23,40.85
2023-09-24,40.85
2023-09-25,40.25
2023-09-26,39.895
2023-09-27,39.82
2023-09-28,40.605
2023-09-29,41.6
2023-09-30,41.6
2023-10-01,41.6
2023-10-02,40.505
2023-10-03,40.615
2023-10-04,40.3
2023-10-05,39.95
2023-10-06,39.93
2023-10-07,39.93
2023-10-08,39.93
2023-10-09,40.145
2023-10-10,40.18
2023-10-11,40.16
2023-10-12,39.795
2023-10-13,39.655
2023-10-14,39.655
2023-10-15,39.655
2023-10-16,40.135
2023-10-17,40.24
2023-10-18,40.04
2023-10-19,40.07
2023-10-20,40.36
2023-10-21,40.36
2023-10-22,40.36
2023-10-23,40.58
2023-10-24,40.555
2023-10-25,40.35
2023-10-26,39.925
2023-10-27,39.96
2023-10-28,39.96
2023-10-29,39.96
2023-10-30,39.62
2023-10-31,39.49
2023-11-01,39.38
2023-11-02,39.335
2023-11-03,40.26
2023-11-04,40.26
2023-11-05,40.26
2023-11-06,40.015
2023-11-07,40.25
2023-11-08,40.105
2023-11-09,40.28
2023-11-10,39.985
2023-11-11,39.985
2023-11-12,39.985
2023-11-13,39.58
2023-11-14,39.255
2023-11-15,39.39
2023-11-16,39.065
2023-11-17,39.05
2023-11-18,39.05
2023-11-19,39.05
2023-11-20,38.955
2023-11-21,38.9
2023-11-22,38.82
2023-11-23,38.54
2023-11-24,38.15
2023-11-25,38.15
2023-11-26,38.15
2023-11-27,37.93
2023-11-28,37.285
2023-11-29,37.16
2023-11-30,36.755
2023-12-01,36.85
2023-12-02,36.85
2023-12-03,36.85
2023-12-04,36.705
2023-12-05,36.405
2023-12-06,35.98
2023-12-07,36.0
2023-12-08,35.6
2023-12-09,35.6
2023-12-10,35.6
2023-12-11,35.0
2023-12-12,34.48
2023-12-13,35.055
2023-12-14,34.945
2023-12-15,35.005
2023-12-16,35.005
2023-12-17,35.005
2023-12-18,35.09
2023-12-19,35.325
2023-12-20,35.235
2023-12-21,34.995
2023-12-22,34.75
2023-12-23,34.75
2023-12-24,34.75
2023-12-25,34.3
2023-12-26,34.095
2023-12-27,34.275
2023-12-28,0.0
2023-12-29,34.225
2023-12-30,34.225
2023-12-31,34.225
2024-01-01,34.225
2024-01-02,34.225
2024-01-03,34.5
2024-01-04,34.835
2024-01-05,34.875
2024-01-06,34.875
2024-01-07,34.875
2024-01-08,35.005
2024-01-09,34.89
2024-01-10,34.77
2024-01-11,35.685
2024-01-12,35.835
2024-01-13,35.835
2024-01-14,35.835
2024-01-15,35.64
2024-01-16,35.345
2024-01-17,35.31
2024-01-18,35.425
2024-01-19,35.37
2024-01-20,35.37
2024-01-21,35.37
2024-01-22,35.15
2024-01-23,34.985
2024-01-24,34.71
2024-01-25,34.84
2024-01-26,34.72
2024-01-27,34.72
2024-01-28,34.72
2024-01-29,34.8
2024-01-30,35.02
2024-01-31,35.345
2024-02-01,35.5
2024-02-02,35.35
2024-02-03,35.35
2024-02-04,35.35
2024-02-05,35.895
2024-02-06,36.255
2024-02-07,36.18
2024-02-08,35.845
2024-02-09,35.685
2024-02-10,35.685
2024-02-11,35.685
2024-02-12,35.435
2024-02-13,35.145
2024-02-14,35.56
2024-02-15,35.255
2024-02-16,34.78
2024-02-17,34.78
2024-02-18,34.78
2024-02-19,34.625
2024-02-20,34.495
2024-02-21,34.03
2024-02-22,34.18
2024-02-23,34.18
2024-02-24,34.18
2024-02-25,34.18
2024-02-26,34.53
2024-02-27,34.38
2024-02-28,34.25
2024-02-29,34.7
2024-03-01,34.56
2024-03-02,34.56
2024-03-03,34.56
2024-03-04,34.715
2024-03-05,34.555
2024-03-06,34.6
2024-03-07,0.0
2024-03-08,34.685
2024-03-09,34.685
2024-03-10,34.685
2024-03-11,34.5
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,34.8
2024-03-16,34.8
2024-03-17,34.8
2024-03-18,34.83
2024-03-19,34.225
2024-03-20,34.035
