date,price
2023-08-25,261.0
2023-08-26,261.0
2023-08-27,261.0
2023-08-28,267.0
2023-08-29,266.47
2023-08-30,265.45
2023-08-31,265.4
2023-09-01,265.0
2023-09-02,265.0
2023-09-03,265.0
2023-09-04,267.17
2023-09-05,265.51
2023-09-06,263.5
2023-09-07,257.9
2023-09-08,256.45
2023-09-09,256.45
2023-09-10,256.45
2023-09-11,256.27
2023-09-12,260.75
2023-09-13,259.47
2023-09-14,260.38
2023-09-15,260.89
2023-09-16,260.89
2023-09-17,260.89
2023-09-18,259.95
2023-09-19,253.6
2023-09-20,254.72
2023-09-21,250.89
2023-09-22,252.1
2023-09-23,252.1
2023-09-24,252.1
2023-09-25,253.0
2023-09-26,255.51
2023-09-27,256.16
2023-09-28,257.67
2023-09-29,261.7
2023-09-30,261.7
2023-10-01,261.7
2023-10-02,258.0
2023-10-03,259.89
2023-10-04,259.68
2023-10-05,259.05
2023-10-06,260.42
2023-10-07,260.42
2023-10-08,260.42
2023-10-09,264.2
2023-10-10,264.7
2023-10-11,263.49
2023-10-12,263.63
2023-10-13,263.7
2023-10-14,263.7
2023-10-15,263.7
2023-10-16,268.0
2023-10-17,270.46
2023-10-18,268.4
2023-10-19,268.67
2023-10-20,269.9
2023-10-21,269.9
2023-10-22,269.9
2023-10-23,270.9
2023-10-24,270.49
2023-10-25,273.72
2023-10-26,270.0
2023-10-27,270.01
2023-10-28,270.01
2023-10-29,270.01
2023-10-30,270.52
2023-10-31,268.86
2023-11-01,269.0
2023-11-02,268.52
2023-11-03,269.48
2023-11-04,269.48
2023-11-05,269.48
2023-11-06,272.5
2023-11-07,273.89
2023-11-08,277.4
2023-11-09,277.08
2023-11-10,280.0
2023-11-11,280.0
2023-11-12,280.0
2023-11-13,283.54
2023-11-14,282.4
2023-11-15,282.52
2023-11-16,281.47
2023-11-17,282.0
2023-11-18,282.0
2023-11-19,282.0
2023-11-20,282.84
2023-11-21,283.18
2023-11-22,285.53
2023-11-23,286.0
2023-11-24,286.0
2023-11-25,286.0
2023-11-26,286.0
2023-11-27,281.57
2023-11-28,280.06
2023-11-29,277.57
2023-11-30,276.8
2023-12-01,275.09
2023-12-02,275.09
2023-12-03,275.09
2023-12-04,272.95
2023-12-05,276.56
2023-12-06,269.24
2023-12-07,265.5
2023-12-08,265.3
2023-12-09,265.3
2023-12-10,265.3
2023-12-11,257.2
2023-12-12,259.76
2023-12-13,259.25
2023-12-14,258.18
2023-12-15,267.1
2023-12-16,267.1
2023-12-17,267.1
2023-12-18,269.4
2023-12-19,267.78
2023-12-20,267.33
2023-12-21,265.8
2023-12-22,270.55
2023-12-23,270.55
2023-12-24,270.55
2023-12-25,271.6
2023-12-26,271.91
2023-12-27,271.55
2023-12-28,0.0
2023-12-29,271.8
2023-12-30,271.8
2023-12-31,271.8
2024-01-01,271.8
2024-01-02,271.8
2024-01-03,273.64
2024-01-04,274.04
2024-01-05,273.46
2024-01-06,273.46
2024-01-07,273.46
2024-01-08,275.81
2024-01-09,276.0
2024-01-10,275.68
2024-01-11,275.9
2024-01-12,275.4
2024-01-13,275.4
2024-01-14,275.4
2024-01-15,276.1
2024-01-16,275.7
2024-01-17,277.7
2024-01-18,277.78
2024-01-19,275.29
2024-01-20,275.29
2024-01-21,275.29
2024-01-22,275.01
2024-01-23,276.0
2024-01-24,274.1
2024-01-25,272.96
2024-01-26,273.12
2024-01-27,273.12
2024-01-28,273.12
2024-01-29,273.73
2024-01-30,274.71
2024-01-31,275.9
2024-02-01,277.0
2024-02-02,276.51
2024-02-03,276.51
2024-02-04,276.51
2024-02-05,277.26
2024-02-06,278.75
2024-02-07,282.22
2024-02-08,282.82
2024-02-09,283.6
2024-02-10,283.6
2024-02-11,283.6
2024-02-12,287.75
2024-02-13,287.49
2024-02-14,289.7
2024-02-15,290.0
2024-02-16,288.0
2024-02-17,288.0
2024-02-18,288.0
2024-02-19,289.0
2024-02-20,287.17
2024-02-21,281.55
2024-02-22,282.74
2024-02-23,282.74
2024-02-24,282.74
2024-02-25,282.74
2024-02-26,290.7
2024-02-27,292.52
2024-02-28,292.81
2024-02-29,293.0
2024-03-01,294.44
2024-03-02,294.44
2024-03-03,294.44
2024-03-04,298.97
2024-03-05,298.7
2024-03-06,298.15
2024-03-07,0.0
2024-03-08,299.38
2024-03-09,299.38
2024-03-10,299.38
2024-03-11,300.05
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,298.6
2024-03-16,298.6
2024-03-17,298.6
2024-03-18,299.11
2024-03-19,295.7
2024-03-20,295.0
2024-03-21,295.99
2024-03-22,295.44
2024-03-23,295.44
2024-03-24,295.44
2024-03-25,294.3
2024-03-26,293.84
2024-03-27,294.92
2024-03-28,298.69
2024-03-29,298.9
2024-03-30,298.9
2024-03-31,298.9
2024-04-01,299.76
2024-04-02,300.55
2024-04-03,306.2
2024-04-04,305.94
2024-04-05,305.7
2024-04-06,305.7
2024-04-07,305.7
2024-04-08,306.92
2024-04-09,307.03
2024-04-10,306.89
2024-04-11,307.33
2024-04-12,306.8
2024-04-13,306.8
2024-04-14,306.8
2024-04-15,308.0
2024-04-16,307.97
2024-04-17,306.43
2024-04-18,308.16
2024-04-19,307.9
2024-04-20,307.9
2024-04-21,307.9
2024-04-22,313.3
2024-04-23,308.3
2024-04-24,307.86
2024-04-25,308.4
2024-04-26,309.15
2024-04-27,309.47
2024-04-28,309.47
2024-04-29,308.38
