date,price
2025-07-03,1051.400000
2025-07-04,1037.200000
2025-07-05,1038.400000
2025-07-06,1040.400000
2025-07-07,1036.400000
2025-07-08,1004.200000
2025-07-09,998.400000
2025-07-10,998.400000
2025-07-11,984.400000
2025-07-12,991.000000
2025-07-13,984.200000
2025-07-14,995.600000
2025-07-15,1035.000000
2025-07-16,1039.400000
2025-07-17,1027.600000
2025-07-18,1040.600000
2025-07-19,1042.800000
2025-07-20,1045.000000
2025-07-21,1047.600000
2025-07-22,1056.000000
2025-07-23,1049.800000
2025-07-24,1049.800000
2025-07-25,1031.000000
2025-07-26,1012.400000
2025-07-27,1009.200000
2025-07-28,1001.800000
2025-07-29,1009.400000
2025-07-30,1005.200000
2025-07-31,1005.200000
2025-08-01,1005.200000
2025-08-04,1006.600000
2025-08-05,1005.200000
2025-08-06,1007.200000
2025-08-07,1025.600000
2025-08-08,1034.000000
2025-08-11,1127.800000
