date,price
2023-08-24,648.3
2023-08-25,659.65
2023-08-26,659.65
2023-08-27,659.65
2023-08-28,660.3
2023-08-29,654.7
2023-08-30,653.45
2023-08-31,653.0
2023-09-01,657.2
2023-09-02,657.2
2023-09-03,657.2
2023-09-04,666.95
2023-09-05,667.75
2023-09-06,672.0
2023-09-07,654.55
2023-09-08,645.3
2023-09-09,645.3
2023-09-10,645.3
2023-09-11,658.0
2023-09-12,664.7
2023-09-13,672.8
2023-09-14,664.3
2023-09-15,665.5
2023-09-16,665.5
2023-09-17,665.5
2023-09-18,679.0
2023-09-19,659.95
2023-09-20,667.05
2023-09-21,649.75
2023-09-22,659.85
2023-09-23,659.85
2023-09-24,659.85
2023-09-25,659.65
2023-09-26,661.65
2023-09-27,669.65
2023-09-28,683.3
2023-09-29,711.0
2023-09-30,711.0
2023-10-01,711.0
2023-10-02,714.0
2023-10-03,718.0
2023-10-04,708.0
2023-10-05,714.5
2023-10-06,717.0
2023-10-07,717.0
2023-10-08,717.0
2023-10-09,730.6
2023-10-10,734.75
2023-10-11,745.0
2023-10-12,730.3
2023-10-13,744.7
2023-10-14,744.7
2023-10-15,744.7
2023-10-16,761.0
2023-10-17,761.35
2023-10-18,786.2
2023-10-19,781.3
2023-10-20,805.45
2023-10-21,805.45
2023-10-22,805.45
2023-10-23,796.25
2023-10-24,792.3
2023-10-25,788.75
2023-10-26,787.1
2023-10-27,794.95
2023-10-28,794.95
2023-10-29,794.95
2023-10-30,794.5
2023-10-31,792.95
2023-11-01,810.2
2023-11-02,812.35
2023-11-03,816.5
2023-11-04,816.5
2023-11-05,816.5
2023-11-06,825.2
2023-11-07,833.0
2023-11-08,814.0
2023-11-09,849.05
2023-11-10,854.95
2023-11-11,854.95
2023-11-12,854.95
2023-11-13,866.05
2023-11-14,859.6
2023-11-15,854.5
2023-11-16,849.5
2023-11-17,847.65
2023-11-18,847.65
2023-11-19,847.65
2023-11-20,853.95
2023-11-21,849.2
2023-11-22,860.05
2023-11-23,865.0
2023-11-24,868.0
2023-11-25,868.0
2023-11-26,868.0
2023-11-27,872.7
2023-11-28,868.8
2023-11-29,869.0
2023-11-30,879.0
2023-12-01,869.0
2023-12-02,869.0
2023-12-03,869.0
2023-12-04,865.75
2023-12-05,869.1
2023-12-06,860.65
2023-12-07,851.95
2023-12-08,857.55
2023-12-09,857.55
2023-12-10,857.55
2023-12-11,857.5
2023-12-12,850.9
2023-12-13,843.0
2023-12-14,835.8
2023-12-15,851.0
2023-12-16,851.0
2023-12-17,851.0
2023-12-18,867.15
2023-12-19,876.6
2023-12-20,905.15
2023-12-21,916.3
2023-12-22,910.55
2023-12-23,910.55
2023-12-24,910.55
2023-12-25,909.5
2023-12-26,929.95
2023-12-27,860.65
2023-12-28,0.0
2023-12-29,847.05
2023-12-30,847.05
2023-12-31,847.05
2024-01-01,847.05
2024-01-02,847.05
2024-01-03,846.9
2024-01-04,844.2
2024-01-05,842.55
2024-01-06,842.55
2024-01-07,842.55
2024-01-08,834.0
2024-01-09,839.0
2024-01-10,859.15
2024-01-11,852.25
2024-01-12,852.2
2024-01-13,852.2
2024-01-14,852.2
2024-01-15,853.6
2024-01-16,847.75
2024-01-17,852.0
2024-01-18,847.1
2024-01-19,847.1
2024-01-20,847.1
2024-01-21,847.1
2024-01-22,841.95
2024-01-23,831.55
2024-01-24,817.75
2024-01-25,810.15
2024-01-26,818.0
2024-01-27,818.0
2024-01-28,818.0
2024-01-29,823.45
2024-01-30,818.85
2024-01-31,816.55
2024-02-01,820.0
2024-02-02,819.5
2024-02-03,819.5
2024-02-04,819.5
2024-02-05,830.0
2024-02-06,832.6
2024-02-07,837.25
2024-02-08,832.0
2024-02-09,827.55
2024-02-10,827.55
2024-02-11,827.55
2024-02-12,831.7
2024-02-13,827.0
2024-02-14,823.0
2024-02-15,816.7
2024-02-16,818.0
2024-02-17,818.0
2024-02-18,818.0
2024-02-19,814.0
2024-02-20,809.2
2024-02-21,791.0
2024-02-22,789.0
2024-02-23,789.0
2024-02-24,789.0
2024-02-25,789.0
2024-02-26,801.35
2024-02-27,795.5
2024-02-28,791.5
2024-02-29,801.75
2024-03-01,807.6
2024-03-02,807.6
2024-03-03,807.6
2024-03-04,826.25
2024-03-05,829.6
2024-03-06,830.85
2024-03-07,0.0
2024-03-08,828.0
2024-03-09,828.0
2024-03-10,828.0
2024-03-11,831.85
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,810.1
2024-03-16,810.1
2024-03-17,810.1
2024-03-18,816.1
2024-03-19,774.45
2024-03-20,755.55
2024-03-21,753.3
2024-03-22,744.4
2024-03-23,744.4
2024-03-24,744.4
2024-03-25,741.6
2024-03-26,738.95
2024-03-27,729.85
2024-03-28,728.45
2024-03-29,740.75
2024-03-30,740.75
2024-03-31,740.75
2024-04-01,749.0
2024-04-02,755.9
2024-04-03,759.85
2024-04-04,774.9
2024-04-05,765.25
2024-04-06,765.25
2024-04-07,765.25
2024-04-08,763.3
2024-04-09,754.25
2024-04-10,768.4
2024-04-11,768.0
2024-04-12,770.8
2024-04-13,770.8
2024-04-14,770.8
2024-04-15,774.0
2024-04-16,787.3
2024-04-17,776.5
2024-04-18,759.1
2024-04-19,757.5
2024-04-20,757.5
2024-04-21,757.5
2024-04-22,750.15
2024-04-23,756.65
2024-04-24,752.25
2024-04-25,751.15
2024-04-26,750.1
2024-04-27,749.5
2024-04-28,749.5
2024-04-29,750.1
2024-04-30,748.8
2024-05-01,748.8
2024-05-02,746.0
2024-05-03,740.05
2024-05-04,740.05
2024-05-05,740.05
2024-05-06,735.85
2024-05-07,739.0
2024-05-08,749.9
2024-05-09,749.9
2024-05-10,753.15
2024-05-11,753.15
2024-05-12,753.15
2024-05-13,746.25
2024-05-14,739.35
2024-05-15,753.2
2024-05-16,765.7
2024-05-17,762.0
2024-05-18,762.0
2024-05-19,762.0
2024-05-20,757.55
2024-05-21,757.0
2024-05-22,750.9
2024-05-23,744.5
2024-05-24,734.45
2024-05-25,734.45
2024-05-26,734.45
2024-05-27,712.7
2024-05-28,721.8
2024-05-29,700.0
2024-05-30,701.15
2024-05-31,686.95
2024-06-01,686.95
2024-06-02,686.95
2024-06-03,667.55
2024-06-04,655.5
2024-06-05,695.2
2024-06-06,697.55
2024-06-07,728.0
2024-06-08,728.0
2024-06-09,728.0
2024-06-10,715.2
2024-06-11,728.75
2024-06-12,728.75
2024-06-13,737.0
2024-06-14,730.7
2024-06-15,730.7
2024-06-16,730.7
2024-06-17,728.15
2024-06-18,709.35
2024-06-19,694.9
2024-06-20,707.8
2024-06-21,702.05
2024-06-22,702.05
2024-06-23,702.05
2024-06-24,687.0
2024-06-25,702.0
2024-06-26,701.0
2024-06-27,696.8
2024-06-28,694.4
2024-06-29,694.4
2024-06-30,694.4
2024-07-01,704.55
2024-07-02,699.65
2024-07-03,695.85
2024-07-04,685.6
2024-07-05,690.85
2024-07-06,690.85
2024-07-07,690.85
2024-07-08,675.9
2024-07-09,655.9
2024-07-10,634.2
2024-07-11,643.85
2024-07-12,656.0
2024-07-13,656.0
2024-07-14,656.0
2024-07-15,636.95
2024-07-16,645.6
2024-07-17,654.15
2024-07-18,661.9
2024-07-19,678.25
2024-07-20,678.25
2024-07-21,678.25
2024-07-22,693.5
2024-07-23,692.4
2024-07-24,700.5
2024-07-25,705.0
2024-07-26,686.5
2024-07-27,686.5
2024-07-28,686.5
2024-07-29,665.8
2024-07-30,675.35
2024-07-31,680.0
2024-08-01,679.0
2024-08-02,673.55
2024-08-03,673.55
2024-08-04,673.55
2024-08-05,655.65
2024-08-06,669.05
2024-08-07,677.3
2024-08-08,674.15
2024-08-09,669.55
2024-08-10,669.55
2024-08-11,669.55
2024-08-12,673.7
