date,price
2023-08-25,30.6
2023-08-26,30.6
2023-08-27,30.6
2023-08-28,30.895
2023-08-29,31.43
2023-08-30,31.315
2023-08-31,31.445
2023-09-01,31.45
2023-09-02,31.45
2023-09-03,31.45
2023-09-04,31.97
2023-09-05,32.22
2023-09-06,32.11
2023-09-07,31.205
2023-09-08,30.6
2023-09-09,30.6
2023-09-10,30.6
2023-09-11,30.46
2023-09-12,30.605
2023-09-13,30.43
2023-09-14,30.5
2023-09-15,30.495
2023-09-16,30.495
2023-09-17,30.495
2023-09-18,30.475
2023-09-19,29.745
2023-09-20,29.095
2023-09-21,28.605
2023-09-22,28.71
2023-09-23,28.71
2023-09-24,28.71
2023-09-25,29.0
2023-09-26,28.9
2023-09-27,28.97
2023-09-28,29.84
2023-09-29,31.17
2023-09-30,31.17
2023-10-01,31.17
2023-10-02,32.71
2023-10-03,33.51
2023-10-04,33.5
2023-10-05,33.69
2023-10-06,33.745
2023-10-07,33.745
2023-10-08,33.745
2023-10-09,33.52
2023-10-10,33.445
2023-10-11,33.19
2023-10-12,32.315
2023-10-13,32.495
2023-10-14,32.495
2023-10-15,32.495
2023-10-16,32.81
2023-10-17,32.895
2023-10-18,33.095
2023-10-19,32.895
2023-10-20,32.655
2023-10-21,32.655
2023-10-22,32.655
2023-10-23,32.48
2023-10-24,33.02
2023-10-25,33.45
2023-10-26,32.63
2023-10-27,32.365
2023-10-28,32.365
2023-10-29,32.365
2023-10-30,33.025
2023-10-31,32.865
2023-11-01,32.205
2023-11-02,32.0
2023-11-03,31.85
2023-11-04,31.85
2023-11-05,31.85
2023-11-06,32.39
2023-11-07,32.41
2023-11-08,32.5
2023-11-09,32.315
2023-11-10,32.725
2023-11-11,32.725
2023-11-12,32.725
2023-11-13,32.435
2023-11-14,31.88
2023-11-15,32.03
2023-11-16,31.505
2023-11-17,32.215
2023-11-18,32.215
2023-11-19,32.215
2023-11-20,32.105
2023-11-21,32.32
2023-11-22,32.32
2023-11-23,31.855
2023-11-24,32.02
2023-11-25,32.02
2023-11-26,32.02
2023-11-27,31.505
2023-11-28,31.9
2023-11-29,31.68
2023-11-30,31.6
2023-12-01,30.995
2023-12-02,30.995
2023-12-03,30.995
2023-12-04,30.31
2023-12-05,30.09
2023-12-06,28.6
2023-12-07,28.045
2023-12-08,27.91
2023-12-09,27.91
2023-12-10,27.91
2023-12-11,26.725
2023-12-12,27.0
2023-12-13,27.135
2023-12-14,27.0
2023-12-15,27.85
2023-12-16,27.85
2023-12-17,27.85
2023-12-18,28.2
2023-12-19,27.83
2023-12-20,28.225
