date,price
2023-08-25,585.0
2023-08-26,585.0
2023-08-27,585.0
2023-08-28,587.7
2023-08-29,587.0
2023-08-30,587.8
2023-08-31,590.4
2023-09-01,594.0
2023-09-02,594.0
2023-09-03,594.0
2023-09-04,603.5
2023-09-05,607.1
2023-09-06,608.1
2023-09-07,600.4
2023-09-08,596.3
2023-09-09,596.3
2023-09-10,596.3
2023-09-11,591.5
2023-09-12,603.1
2023-09-13,605.6
2023-09-14,606.4
2023-09-15,612.4
2023-09-16,612.4
2023-09-17,612.4
2023-09-18,626.0
2023-09-19,616.8
2023-09-20,612.5
2023-09-21,599.4
2023-09-22,603.0
2023-09-23,603.0
2023-09-24,603.0
2023-09-25,606.8
2023-09-26,606.2
2023-09-27,611.2
2023-09-28,621.5
2023-09-29,622.0
2023-09-30,622.0
2023-10-01,622.0
2023-10-02,639.7
2023-10-03,640.1
2023-10-04,637.1
2023-10-05,636.7
2023-10-06,639.5
2023-10-07,639.5
2023-10-08,639.5
2023-10-09,642.7
2023-10-10,648.3
2023-10-11,629.3
2023-10-12,618.7
2023-10-13,623.7
2023-10-14,623.7
2023-10-15,623.7
2023-10-16,630.1
2023-10-17,627.4
2023-10-18,634.5
2023-10-19,630.5
2023-10-20,633.8
2023-10-21,633.8
2023-10-22,633.8
2023-10-23,628.0
2023-10-24,627.5
2023-10-25,622.0
2023-10-26,618.0
2023-10-27,619.1
2023-10-28,619.1
2023-10-29,619.1
2023-10-30,622.6
2023-10-31,607.1
2023-11-01,603.1
2023-11-02,602.2
2023-11-03,603.0
2023-11-04,603.0
2023-11-05,603.0
2023-11-06,607.0
2023-11-07,613.0
2023-11-08,617.5
2023-11-09,618.7
2023-11-10,620.0
2023-11-11,620.0
2023-11-12,620.0
2023-11-13,620.6
2023-11-14,612.5
2023-11-15,611.3
2023-11-16,607.4
2023-11-17,616.0
2023-11-18,616.0
2023-11-19,616.0
2023-11-20,616.1
2023-11-21,633.0
2023-11-22,639.0
2023-11-23,644.0
2023-11-24,646.4
2023-11-25,646.4
2023-11-26,646.4
2023-11-27,642.0
2023-11-28,643.4
2023-11-29,638.1
2023-11-30,638.6
2023-12-01,634.5
2023-12-02,634.5
2023-12-03,634.5
2023-12-04,627.7
