date,price
2025-02-12,0.7842
2025-02-13,0.7724
2025-02-14,0.763
2025-02-15,
2025-02-16,
2025-02-17,0.7753
2025-02-18,0.764
2025-02-19,0.7661
2025-02-20,0.7693
2025-02-21,0.7685
2025-02-22,
2025-02-23,
2025-02-24,0.7715
2025-02-25,0.7721
2025-02-26,0.7434
2025-02-27,0.7209
2025-02-28,0.7274
2025-03-01,
2025-03-02,
2025-03-03,0.7133
2025-03-04,0.7399
2025-03-05,0.762
2025-03-06,0.75
2025-03-07,0.7365
2025-03-08,
2025-03-09,
2025-03-10,0.7388
2025-03-11,0.7396
2025-03-12,0.7466
2025-03-13,0.7459
2025-03-14,0.755
2025-03-15,
2025-03-16,
2025-03-17,0.7655
2025-03-18,0.7547
2025-03-19,0.7614
2025-03-20,0.7587
2025-03-21,0.7492
2025-03-22,
2025-03-23,
2025-03-24,0.7318
2025-03-25,0.7405
2025-03-26,0.721
2025-03-27,0.702
2025-03-28,0.7384
2025-03-29,
2025-03-30,
2025-03-31,0.7304
2025-04-01,0.7152
2025-04-02,0.72
2025-04-03,0.7105
2025-04-04,0.6755
2025-04-05,
2025-04-06,
2025-04-07,0.6666
2025-04-08,0.6869
2025-04-09,0.7058
2025-04-10,0.716
2025-04-11,0.7247
2025-04-12,
2025-04-13,
2025-04-14,0.7292
2025-04-15,0.7314
2025-04-16,0.7633
2025-04-17,0.7459
2025-04-18,0.7262
2025-04-19,
2025-04-20,
2025-04-21,0.7275
2025-04-22,0.7185
2025-04-23,0.7
2025-04-24,0.6872
2025-04-25,0.6845
2025-04-26,
2025-04-27,
2025-04-28,0.676
2025-04-29,0.6602
2025-04-30,0.6554
2025-05-01,
2025-05-02,0.6254
2025-05-03,
2025-05-04,
2025-05-05,0.6274
2025-05-06,0.632
2025-05-07,0.6293
2025-05-08,0.63
2025-05-09,
2025-05-10,
2025-05-11,
2025-05-12,0.6339
2025-05-13,0.6337
2025-05-14,0.6249
2025-05-15,0.6275
2025-05-16,0.6199
2025-05-17,
2025-05-18,
2025-05-19,0.6224
2025-05-20,0.6213
2025-05-21,0.6136
2025-05-22,0.6072
2025-05-23,0.6113
2025-05-24,
2025-05-25,
2025-05-26,0.586
2025-05-27,0.5998
2025-05-28,0.6156
2025-05-29,0.6111
2025-05-30,0.6221
2025-05-31,
2025-06-01,
2025-06-02,0.6347
2025-06-03,0.6462
2025-06-04,0.6514
2025-06-05,0.669
2025-06-06,0.6463
2025-06-07,
2025-06-08,
2025-06-09,0.6404
2025-06-10,0.6317
2025-06-11,0.6335
2025-06-12,
2025-06-13,0.6387
2025-06-14,
2025-06-15,
2025-06-16,0.6255
2025-06-17,0.6298
2025-06-18,0.6234
2025-06-19,0.6229
2025-06-20,0.6192
2025-06-21,
2025-06-22,
2025-06-23,0.6079
2025-06-24,0.6194
2025-06-25,0.6235
2025-06-26,0.6343
2025-06-27,0.6268
2025-06-28,
2025-06-29,
2025-06-30,0.6459
2025-07-01,0.6733
2025-07-02,0.5744
2025-07-03,0.4774
2025-07-04,0.4768
2025-07-05,
2025-07-06,
2025-07-07,
2025-07-08,
2025-07-09,
2025-07-10,
2025-07-11,
2025-07-12,
2025-07-13,
2025-07-14,0.553
2025-07-15,0.5936
2025-07-16,0.5963
2025-07-17,0.568
2025-07-18,0.5767
2025-07-19,
2025-07-20,
2025-07-21,0.5936
2025-07-22,0.5899
2025-07-23,0.5859
2025-07-24,0.5769
2025-07-25,0.5695
2025-07-26,
2025-07-27,
2025-07-28,0.5708
2025-07-29,0.5756
2025-07-30,0.5711
2025-07-31,0.5633
2025-08-01,0.5587
2025-08-02,
2025-08-03,
2025-08-04,0.5599
2025-08-05,0.5595
2025-08-06,0.5797
2025-08-07,0.5831
2025-08-08,0.6158
2025-08-09,
2025-08-10,
2025-08-11,0.608
2025-08-12,0.6132
2025-08-27,1069.4
