date,price
2023-08-24,2.127
2023-08-25,2.148
2023-08-26,2.148
2023-08-27,2.148
2023-08-28,2.157
2023-08-29,2.16
2023-08-30,2.221
2023-08-31,2.375
2023-09-01,2.531
2023-09-02,2.531
2023-09-03,2.531
2023-09-04,2.533
2023-09-05,2.483
2023-09-06,2.511
2023-09-07,2.449
2023-09-08,2.437
2023-09-09,2.437
2023-09-10,2.437
2023-09-11,2.39
2023-09-12,2.515
2023-09-13,2.448
2023-09-14,2.385
2023-09-15,2.441
2023-09-16,2.441
2023-09-17,2.441
2023-09-18,2.388
2023-09-19,2.341
2023-09-20,2.274
2023-09-21,2.324
2023-09-22,2.315
2023-09-23,2.315
2023-09-24,2.315
2023-09-25,2.32
2023-09-26,2.297
2023-09-27,2.324
2023-09-28,2.341
2023-09-29,2.325
2023-09-30,2.325
2023-10-01,2.325
2023-10-02,2.291
2023-10-03,2.274
2023-10-04,2.252
2023-10-05,2.202
2023-10-06,2.215
2023-10-07,2.215
2023-10-08,2.215
2023-10-09,2.3
2023-10-10,2.321
2023-10-11,2.306
2023-10-12,2.295
2023-10-13,2.295
2023-10-14,2.295
2023-10-15,2.295
2023-10-16,2.306
2023-10-17,2.301
2023-10-18,2.323
2023-10-19,2.317
2023-10-20,2.32
2023-10-21,2.32
2023-10-22,2.32
2023-10-23,2.438
2023-10-24,2.412
2023-10-25,2.417
2023-10-26,2.368
2023-10-27,2.376
2023-10-28,2.376
2023-10-29,2.376
2023-10-30,2.392
2023-10-31,2.375
2023-11-01,2.357
2023-11-02,2.373
2023-11-03,2.3609999999999998
2023-11-04,2.3609999999999998
2023-11-05,2.3609999999999998
2023-11-06,2.39
2023-11-07,2.391
2023-11-08,2.382
2023-11-09,2.359
2023-11-10,2.311
2023-11-11,2.311
2023-11-12,2.311
2023-11-13,2.259
2023-11-14,2.215
2023-11-15,2.282
2023-11-16,2.245
2023-11-17,2.247
2023-11-18,2.247
2023-11-19,2.247
2023-11-20,2.255
2023-11-21,2.2439999999999998
2023-11-22,2.263
2023-11-23,2.24
2023-11-24,2.186
2023-11-25,2.186
2023-11-26,2.186
2023-11-27,2.1189999999999998
2023-11-28,2.1189999999999998
2023-11-29,2.075
2023-11-30,2.027
2023-12-01,2.006
2023-12-02,2.006
2023-12-03,2.006
2023-12-04,1.925
2023-12-05,1.956
2023-12-06,1.919
2023-12-07,1.937
