date,price
2023-11-01,584.0
2023-11-02,588.8
2023-11-03,614.0
2023-11-04,614.0
2023-11-05,614.0
2023-11-06,628.2
2023-11-07,632.0
2023-11-08,620.4
2023-11-09,606.4
2023-11-10,592.0
2023-11-11,592.0
2023-11-12,592.0
2023-11-13,608.2
2023-11-14,603.2
2023-11-15,603.0
2023-11-16,611.0
2023-11-17,620.2
2023-11-18,620.2
2023-11-19,620.2
2023-11-20,631.4
2023-11-21,639.8
2023-11-22,642.0
2023-11-23,632.8
2023-11-24,624.0
2023-11-25,624.0
2023-11-26,624.0
2023-11-27,614.0
2023-11-28,630.6
2023-11-29,628.0
2023-11-30,615.2
2023-12-01,604.0
2023-12-02,604.0
2023-12-03,604.0
2023-12-04,604.6
2023-12-05,598.8
2023-12-06,594.0
2023-12-07,579.0
2023-12-08,575.8
2023-12-09,575.8
2023-12-10,575.8
2023-12-11,552.2
2023-12-12,538.2
2023-12-13,552.2
2023-12-14,550.6
2023-12-15,566.0
2023-12-16,566.0
2023-12-17,566.0
2023-12-18,584.6
2023-12-19,572.0
2023-12-20,578.0
2023-12-21,567.6
2023-12-22,569.6
2023-12-23,569.6
2023-12-24,569.6
2023-12-25,561.6
2023-12-26,556.8
2023-12-27,553.4
2023-12-28,0.0
2023-12-29,560.2
2023-12-30,560.2
2023-12-31,560.2
2024-01-01,560.2
2024-01-02,560.2
2024-01-03,563.4
2024-01-04,582.4
2024-01-05,580.0
2024-01-06,580.0
2024-01-07,580.0
2024-01-08,588.4
2024-01-09,622.0
2024-01-10,628.0
2024-01-11,628.0
2024-01-12,638.2
2024-01-13,638.2
2024-01-14,638.2
2024-01-15,644.6
2024-01-16,637.2
2024-01-17,634.4
2024-01-18,632.4
2024-01-19,635.4
2024-01-20,635.4
2024-01-21,635.4
2024-01-22,661.0
2024-01-23,655.6
2024-01-24,656.0
2024-01-25,662.4
2024-01-26,680.0
2024-01-27,680.0
2024-01-28,680.0
2024-01-29,680.0
2024-01-30,676.2
2024-01-31,694.4
2024-02-01,689.4
2024-02-02,676.0
2024-02-03,676.0
2024-02-04,676.0
2024-02-05,673.0
2024-02-06,679.0
2024-02-07,671.0
2024-02-08,660.4
2024-02-09,655.4
2024-02-10,655.4
2024-02-11,655.4
2024-02-12,666.0
2024-02-13,688.6
2024-02-14,683.2
2024-02-15,700.6
2024-02-16,662.2
2024-02-17,662.2
2024-02-18,662.2
2024-02-19,665.4
2024-02-20,661.4
2024-02-21,634.4
2024-02-22,637.0
2024-02-23,637.0
2024-02-24,637.0
2024-02-25,637.0
2024-02-26,657.0
2024-02-27,649.2
2024-02-28,644.6
2024-02-29,652.0
2024-03-01,656.6
2024-03-02,656.6
2024-03-03,656.6
2024-03-04,658.6
2024-03-05,661.4
2024-03-06,654.4
2024-03-07,0.0
2024-03-08,654.4
2024-03-09,654.4
2024-03-10,654.4
2024-03-11,655.4
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,632.0
2024-03-16,632.0
2024-03-17,632.0
2024-03-18,641.8
2024-03-19,629.4
2024-03-20,627.2
2024-03-21,630.6
2024-03-22,609.2
2024-03-23,609.2
2024-03-24,609.2
2024-03-25,613.0
2024-03-26,615.8
2024-03-27,615.2
2024-03-28,610.2
2024-03-29,609.8
2024-03-30,609.8
2024-03-31,609.8
2024-04-01,613.8
2024-04-02,613.6
2024-04-03,632.2
2024-04-04,622.6
2024-04-05,607.4
2024-04-06,607.4
2024-04-07,607.4
2024-04-08,607.6
2024-04-09,602.6
2024-04-10,603.0
2024-04-11,600.0
2024-04-12,604.2
2024-04-13,604.2
2024-04-14,604.2
2024-04-15,605.4
2024-04-16,607.0
2024-04-17,606.8
2024-04-18,602.8
2024-04-19,600.8
2024-04-20,600.8
2024-04-21,600.8
2024-04-22,604.4
2024-04-23,600.2
2024-04-24,595.2
2024-04-25,604.2
2024-04-26,595.0
2024-04-27,586.4
2024-04-28,586.4
2024-04-29,581.4
2024-04-30,581.6
2024-05-01,581.6
2024-05-02,578.4
2024-05-03,586.8
2024-05-04,586.8
2024-05-05,586.8
2024-05-06,576.4
2024-05-07,576.6
2024-05-08,579.0
2024-05-09,579.0
2024-05-10,575.0
2024-05-11,575.0
2024-05-12,575.0
2024-05-13,578.2
2024-05-14,601.4
2024-05-15,614.8
2024-05-16,611.4
2024-05-17,632.0
2024-05-18,632.0
2024-05-19,632.0
2024-05-20,617.6
2024-05-21,612.6
2024-05-22,605.2
2024-05-23,612.8
2024-05-24,587.8
2024-05-25,587.8
2024-05-26,587.8
2024-05-27,576.0
2024-05-28,576.2
2024-05-29,572.6
2024-05-30,575.8
2024-05-31,567.4
2024-06-01,567.4
2024-06-02,567.4
2024-06-03,551.8
2024-06-04,559.0
2024-06-05,562.8
2024-06-06,559.4
2024-06-07,568.0
2024-06-08,568.0
2024-06-09,568.0
2024-06-10,557.8
2024-06-11,552.4
2024-06-12,552.4
2024-06-13,548.0
2024-06-14,560.6
2024-06-15,560.6
2024-06-16,560.6
2024-06-17,545.8
2024-06-18,531.2
2024-06-19,501.0
2024-06-20,523.0
2024-06-21,511.2
2024-06-22,511.2
2024-06-23,511.2
2024-06-24,501.4
2024-06-25,509.6
2024-06-26,518.8
2024-06-27,514.0
2024-06-28,500.4
2024-06-29,500.4
2024-06-30,500.4
2024-07-01,512.6
2024-07-02,523.0
2024-07-03,513.2
2024-07-04,497.4
2024-07-05,495.4
2024-07-06,495.4
2024-07-07,495.4
2024-07-08,485.0
2024-07-09,468.0
2024-07-10,441.4
2024-07-11,454.6
2024-07-12,455.2
2024-07-13,455.2
2024-07-14,455.2
2024-07-15,439.6
2024-07-16,450.4
2024-07-17,440.6
2024-07-18,455.0
2024-07-19,460.4
2024-07-20,460.4
2024-07-21,460.4
2024-07-22,461.4
2024-07-23,465.4
2024-07-24,467.8
2024-07-25,474.0
2024-07-26,461.0
2024-07-27,461.0
2024-07-28,461.0
2024-07-29,445.6
2024-07-30,458.6
2024-07-31,454.2
2024-08-01,458.0
2024-08-02,448.2
2024-08-03,448.2
2024-08-04,448.2
2024-08-05,442.0
2024-08-06,443.8
2024-08-07,453.0
2024-08-08,444.0
2024-08-09,431.4
2024-08-10,431.4
2024-08-11,431.4
2024-08-12,426.6
2024-08-13,423.4
2024-08-14,419.2
2024-08-15,412.4
2024-08-16,411.0
2024-08-17,411.0
2024-08-18,411.0
2024-08-19,401.0
2024-08-20,399.0
2024-08-21,382.2
2024-08-22,370.0
2024-08-23,356.6
2024-08-24,356.6
2024-08-25,356.6
2024-08-26,378.0
2024-08-27,368.0
2024-08-28,357.8
2024-08-29,360.0
2024-08-30,350.2
2024-08-31,350.2
2024-09-01,350.2
2024-09-02,321.4
2024-09-03,319.2
2024-09-04,343.0
2024-09-05,340.8
2024-09-06,343.8
