date,price
2025-02-12,88.14
2025-02-13,89.54
2025-02-14,87.79
2025-02-15,
2025-02-16,
2025-02-17,98.76
2025-02-18,91.73
2025-02-19,94.5
2025-02-20,92.92
2025-02-21,92.36
2025-02-22,
2025-02-23,
2025-02-24,96.22
2025-02-25,93.68
2025-02-26,90.48
2025-02-27,89.3
2025-02-28,91.7
2025-03-01,
2025-03-02,
2025-03-03,90.77
2025-03-04,93.18
2025-03-05,90.52
2025-03-06,91.15
2025-03-07,91.07
2025-03-08,
2025-03-09,
2025-03-10,90.99
2025-03-11,90.7
2025-03-12,90.31
2025-03-13,89.86
2025-03-14,90.99
2025-03-15,
2025-03-16,
2025-03-17,92.6
2025-03-18,90.13
2025-03-19,90.65
2025-03-20,90.72
2025-03-21,89.82
2025-03-22,
2025-03-23,
2025-03-24,89.05
2025-03-25,90.99
2025-03-26,89.11
2025-03-27,87.07
2025-03-28,82.35
2025-03-29,
2025-03-30,
2025-03-31,81.96
2025-04-01,78.78
2025-04-02,79.88
2025-04-03,77.86
2025-04-04,72.25
2025-04-05,
2025-04-06,
2025-04-07,70.89
2025-04-08,67.76
2025-04-09,73.28
2025-04-10,73.16
2025-04-11,76.76
2025-04-12,
2025-04-13,
2025-04-14,75.5
2025-04-15,77.1
2025-04-16,79.73
2025-04-17,83.28
2025-04-18,83.3
2025-04-19,
2025-04-20,
2025-04-21,85.39
2025-04-22,86.32
2025-04-23,85.4
2025-04-24,85.52
2025-04-25,87.24
2025-04-26,
2025-04-27,
2025-04-28,98.55
2025-04-29,97.3
2025-04-30,98.1
2025-05-01,
2025-05-02,96.6
2025-05-03,
2025-05-04,
2025-05-05,96.19
2025-05-06,97.42
2025-05-07,97.64
2025-05-08,97.75
2025-05-09,
2025-05-10,
2025-05-11,
2025-05-12,99.72
2025-05-13,99.17
2025-05-14,97.0
2025-05-15,97.25
2025-05-16,97.19
2025-05-17,
2025-05-18,
2025-05-19,96.97
2025-05-20,96.3
2025-05-21,95.65
2025-05-22,95.18
2025-05-23,95.5
2025-05-24,
2025-05-25,
2025-05-26,92.25
2025-05-27,93.59
2025-05-28,95.78
2025-05-29,94.17
2025-05-30,93.9
2025-05-31,
2025-06-01,
2025-06-02,93.47
2025-06-03,95.41
2025-06-04,95.1
2025-06-05,95.44
2025-06-06,93.27
2025-06-07,
2025-06-08,
2025-06-09,94.27
2025-06-10,93.5
2025-06-11,93.44
2025-06-12,
2025-06-13,98.12
2025-06-14,
2025-06-15,
2025-06-16,96.69
2025-06-17,97.85
2025-06-18,97.37
2025-06-19,97.97
2025-06-20,101.75
2025-06-21,
2025-06-22,
2025-06-23,104.23
2025-06-24,106.45
2025-06-25,107.48
2025-06-26,106.46
2025-06-27,106.75
2025-06-28,
2025-06-29,
2025-06-30,106.22
2025-07-01,104.69
2025-07-02,102.57
2025-07-03,99.94
2025-07-04,99.38
2025-07-05,
2025-07-06,
2025-07-07,96.6
2025-07-08,94.38
2025-07-09,94.45
2025-07-10,93.46
2025-07-11,72.79
2025-07-12,
2025-07-13,
2025-07-14,74.91
2025-07-15,78.85
2025-07-16,79.38
2025-07-17,78.02
2025-07-18,81.0
2025-07-19,
2025-07-20,
2025-07-21,82.05
2025-07-22,82.51
2025-07-23,82.6
2025-07-24,82.28
2025-07-25,83.6
2025-07-26,
2025-07-27,
2025-07-28,79.59
2025-07-29,78.72
2025-07-30,78.19
2025-07-31,77.77
2025-08-01,76.68
2025-08-02,
2025-08-03,
2025-08-04,76.62
2025-08-05,78.85
2025-08-06,79.6
2025-08-07,79.6
2025-08-08,80.53
2025-08-09,
2025-08-10,
2025-08-11,79.52
2025-08-12,79.38
2025-08-27,1069.4
