date,price
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,0.0
2024-07-16,0.0
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,4111.5
2024-07-25,4135.0
2024-07-26,3984.0
2024-07-27,3984.0
2024-07-28,3984.0
2024-07-29,3840.0
2024-07-30,3895.0
2024-07-31,3894.0
2024-08-01,3910.0
2024-08-02,3775.0
2024-08-03,3775.0
2024-08-04,3775.0
2024-08-05,3615.0
2024-08-06,3640.0
2024-08-07,3836.0
2024-08-08,3870.0
2024-08-09,3846.0
2024-08-10,3846.0
2024-08-11,3846.0
2024-08-12,3916.5
2024-08-13,3912.0
2024-08-14,3873.0
2024-08-15,3848.0
2024-08-16,3840.0
2024-08-17,3840.0
2024-08-18,3840.0
2024-08-19,3719.5
2024-08-20,3762.5
2024-08-21,3800.0
2024-08-22,3790.0
2024-08-23,3766.0
2024-08-24,3766.0
2024-08-25,3766.0
2024-08-26,3888.0
2024-08-27,3854.0
2024-08-28,3874.5
2024-08-29,3920.0
2024-08-30,3768.0
2024-08-31,3768.0
2024-09-01,3768.0
2024-09-02,3590.0
2024-09-03,3621.0
2024-09-04,3712.0
2024-09-05,3688.5
2024-09-06,3723.0
2024-09-07,3723.0
2024-09-08,3723.0
2024-09-09,3881.0
2024-09-10,3800.0
2024-09-11,3872.5
2024-09-12,3815.0
2024-09-13,3920.0
2024-09-14,3920.0
2024-09-15,3920.0
2024-09-16,4120.0
2024-09-17,4105.0
2024-09-18,4039.0
2024-09-19,4150.0
2024-09-20,4100.0
2024-09-21,4100.0
2024-09-22,4100.0
2024-09-23,4229.0
2024-09-24,4163.0
2024-09-25,4030.0
2024-09-26,3988.0
2024-09-27,4055.0
2024-09-28,4055.0
2024-09-29,4055.0
2024-09-30,4040.5
2024-10-01,3963.0
2024-10-02,3925.0
2024-10-03,3939.5
2024-10-04,3959.0
2024-10-05,3959.0
2024-10-06,3959.0
2024-10-07,3914.5
2024-10-08,3974.5
2024-10-09,3917.5
2024-10-10,3975.0
2024-10-11,4000.0
2024-10-12,4000.0
2024-10-13,4000.0
2024-10-14,4071.0
2024-10-15,4103.5
2024-10-16,4033.5
2024-10-17,4005.0
2024-10-18,3975.0
2024-10-19,3975.0
2024-10-20,3975.0
2024-10-21,4032.0
2024-10-22,3976.0
2024-10-23,3953.0
2024-10-24,3960.0
2024-10-25,3835.0
2024-10-26,3835.0
2024-10-27,3835.0
2024-10-28,3685.5
2024-10-29,3739.0
2024-10-30,3753.5
2024-10-31,3648.0
2024-11-01,3678.5
2024-11-02,3661.0
2024-11-03,3661.0
2024-11-04,3661.0
2024-11-05,3639.5
2024-11-06,3670.0
2024-11-07,3765.0
2024-11-08,3818.5
2024-11-09,3818.5
2024-11-10,3818.5
2024-11-11,3895.0
2024-11-12,3769.5
2024-11-13,3718.5
2024-11-14,3658.0
2024-11-15,3690.0
2024-11-16,3690.0
2024-11-17,3690.0
2024-11-18,3682.0
2024-11-19,3557.5
2024-11-20,3512.5
2024-11-21,3403.5
2024-11-22,3426.5
2024-11-23,3426.5
2024-11-24,3426.5
2024-11-25,3368.0
2024-11-26,3214.0
2024-11-27,3307.0
2024-11-28,3378.0
2024-11-29,3344.0
2024-11-30,3344.0
2024-12-01,3344.0
2024-12-02,3381.0
